N	3gram	Tiupa_Lite_3	Myslijsy
1	более или менее	1	8
2	в том что	4	7
3	в свою очередь	1	6
4	тем не менее	1	5
5	подобно тому как	2	4
6	на то что	2	3
7	с одной стороны	4	3
8	может быть не	1	3
9	и т п	1	3
10	место в ряду	1	2
11	не только по	1	2
12	на самом деле	1	2
13	между тем как	1	2
14	то что в	1	2
15	тогда как в	3	2
16	отношения к другим	1	2
17	с другой стороны	2	2
18	для того чтобы	1	2
19	то же время	7	2
20	не может быть	3	2
21	но не в	1	2
22	в то же	7	2
23	и не имеет	1	2
24	сама по себе	1	2
25	мы чувствуем что	1	1
26	могли бы быть	1	1
27	состоит в том	2	1
28	здесь может быть	1	1
29	о том как	1	1
30	одной стороны и	2	1
31	потому что не	2	1
32	может быть только	1	1
33	друг от друга	1	1
34	оно должно быть	1	1
35	только в том	1	1
36	в отличие от	5	1
37	бы то ни	2	1
38	тому как в	1	1
39	из того что	2	1
40	при этом не	1	1
41	но это не	1	1
42	с этой точки	1	1
43	вместе с тем	1	1
44	и тем не	1	1
45	может и не	1	1
46	на мой взгляд	1	1
47	влияние на все	1	1
48	то ни было	2	1
49	и если это	2	1
50	нельзя не согласиться	1	1
51	в себе как	1	1
52	в связи с	1	1
53	и находя в	1	1
54	но не только	1	1
55	при этом и	1	1
56	то есть когда	1	1
57	на вопрос что	1	1
58	в зависимость от	1	1
59	в ряду других	1	1
60	одно из них	1	1
61	от той же	1	1
62	при этом как	1	1
63	пространство и в	1	1
64	то что я	2	1
65	которое может быть	1	1
66	это последнее имеет	2	1
67	в жизни всякого	1	1
68	в том чтобы	2	1
69	о том что	4	1
70	ничего общего с	1	1
71	в одном из	2	1
72	и тем самым	2	1
73	и в самом	2	1
74	вопрос о том	1	1
75	в целом как	1	1
76	мы уже не	1	1
77	это как бы	1	1
78	втором случае человек	1	1
79	если это последнее	2	1
80	обратим внимание на	2	1
