N	3gram	Propp_Russ_1	PoTuStor
1	с точки зрения	3	6
2	на самом деле	1	4
3	во всяком случае	1	3
4	и пр и	1	3
5	можно сказать что	1	3
6	в большинстве случаев	2	3
7	так же как	1	2
8	о том что	4	2
9	и в этом	1	2
10	и того же	1	1
11	и связанные с	2	1
12	а иногда и	3	1
13	это вытекает из	1	1
14	подобно тому как	1	1
15	одного и того	1	1
16	во многих случаях	2	1
17	же как и	1	1
18	и та же	1	1
19	в этом отношении	1	1
20	можно было бы	1	1
21	это приводит к	1	1
22	вместе с тем	6	1
23	семьи и всех	1	1
24	так как он	1	1
25	в данном случае	1	1
26	ничего общего не	1	1
27	в связи с	4	1
28	всяком случае не	1	1
29	но вместе с	1	1
30	в том что	15	1
31	мы не можем	3	1
32	только одна из	1	1
33	одна и та	1	1
34	что иное как	2	1
35	но оно в	1	1
36	связанные с ним	1	1
37	не что иное	2	1
38	друг с другом	1	1
39	мы уже знаем	1	1
40	быть не может	1	1
41	мы увидим что	1	1
42	как мы знаем	1	1
