N	2gram	Nazirov_Tr_1	Dialekti
1	не есть	1	40
2	и не	7	30
3	по себе	1	25
4	т е	1	25
5	и т	1	21
6	и в	18	18
7	ничего не	2	17
8	может быть	7	17
9	и есть	1	16
10	в нем	4	16
11	ни в	2	15
12	не имеет	2	15
13	так что	2	15
14	потому что	2	14
15	а не	1	14
16	не только	8	13
17	и даже	4	13
18	то что	4	13
19	что в	4	13
20	в этом	9	12
21	и что	4	12
22	не может	5	12
23	что это	5	11
24	в себе	4	11
25	что он	6	11
26	как бы	7	11
27	все это	4	11
28	то же	5	10
29	несмотря на	5	10
30	прежде всего	4	10
31	и то	2	9
32	отнюдь не	3	9
33	стало быть	1	9
34	так и	5	9
35	это не	5	9
36	том что	4	9
37	никогда не	2	9
38	в том	2	9
39	но это	4	8
40	к нему	3	8
41	совершенно не	1	8
42	и как	3	7
43	то в	1	7
44	что она	2	7
45	что не	1	7
46	отождествляется с	1	7
47	не просто	2	7
48	но и	4	7
49	сам по	1	6
50	хотя бы	1	6
51	в чем	1	6
52	но в	6	6
53	и вот	1	6
54	не в	2	6
55	она не	1	6
56	в то	5	6
57	и образ	1	6
58	с ним	3	6
59	не было	1	6
60	я не	4	5
61	и он	3	5
62	отношение к	2	5
63	в своем	3	5
64	все же	5	5
65	и с	7	5
66	что оно	1	5
67	но если	1	5
68	в виду	1	5
69	в дальнейшем	5	5
70	можно было	1	5
71	как же	2	5
72	он сам	7	5
73	в особенности	1	5
74	говорит о	2	5
75	есть и	1	5
76	об отношении	1	5
77	это и	1	4
78	как он	1	4
79	об этом	4	4
80	он есть	1	4
81	на всю	1	4
82	что эта	1	4
83	и притом	1	4
84	это мы	1	4
85	же время	6	4
86	к ней	1	4
87	к тому	2	4
88	как мы	1	4
89	в душу	1	4
90	быть может	1	4
91	о том	2	4
92	от него	1	4
93	мы видим	1	4
94	но не	1	4
95	в котором	1	4
96	в конце	3	4
97	– в	1	4
98	как это	3	4
99	так же	4	4
100	во всяком	1	4
101	самом деле	1	3
102	от самого	1	3
103	должна быть	1	3
104	в ней	1	3
105	говорит что	2	3
106	но эта	2	3
107	в самом	2	3
108	он не	2	3
109	которой не	1	3
110	и еще	1	3
111	не значит	1	3
112	содержит в	1	3
113	но все	2	3
114	в них	1	3
115	должно быть	3	3
116	что я	4	3
117	тому что	1	3
118	вплоть до	1	3
119	но только	1	3
120	ли это	1	3
121	могут быть	1	3
122	его с	1	3
123	указывает на	1	3
124	утверждать что	1	3
125	и о	1	3
126	жизнь и	3	3
127	нуждается в	1	3
128	что и	2	3
129	один из	3	3
130	только в	1	3
131	даже если	2	3
132	только на	1	3
133	даже не	1	3
134	ничем не	2	3
135	а он	1	3
136	и потому	1	3
137	в данном	2	3
138	в его	3	3
139	не является	1	3
140	и все	4	3
141	бы в	1	3
142	конце концов	1	3
143	только что	1	3
144	состоит из	2	3
145	чтобы не	1	2
146	он всегда	4	2
147	деле же	1	2
148	что уже	1	2
149	вопрос о	2	2
150	быть в	1	2
151	но как	1	2
152	что именно	1	2
153	на деле	1	2
154	бы и	2	2
155	не был	2	2
156	все эти	3	2
157	всего необходимо	1	2
158	в виде	2	2
159	не как	1	2
160	сказал что	1	2
161	на земле	1	2
162	что тут	1	2
163	на этом	1	2
164	в мире	3	2
165	это было	1	2
166	но уже	1	2
167	с этой	1	2
168	как и	5	2
169	для чего	1	2
170	и при	1	2
171	в своей	1	2
172	всяком случае	1	2
173	почти не	1	2
174	во всем	1	2
175	я скажу	1	2
176	и от	1	2
177	ко всему	1	2
178	того кто	1	2
179	раз и	2	2
180	не менее	1	2
181	но они	2	2
182	к ним	1	2
183	и эта	1	2
184	и это	2	2
185	с чистой	1	2
186	и совершенно	1	2
187	в другом	1	2
188	мог бы	3	2
189	по сравнению	1	2
190	что под	1	2
191	в эпоху	1	2
192	его самого	1	2
193	это может	1	2
194	о своих	1	2
195	того что	1	2
196	чем он	2	2
197	с ними	1	2
198	с одной	1	2
199	уже не	2	2
200	то и	2	2
201	для него	3	2
202	и их	1	2
203	никто не	3	2
204	т п	1	2
205	как у	2	2
206	тот кто	1	2
207	именно в	1	2
208	о чем	3	2
209	он и	2	2
210	в частности	2	2
211	как в	3	2
212	сравнению с	1	2
213	еще не	4	2
214	она должна	2	2
215	цветов и	1	2
216	я в	1	2
217	нужно для	1	2
218	что даже	1	2
219	точно так	2	2
220	до исступления	1	1
221	я и	1	1
222	а между	1	1
223	скажет что	1	1
224	например в	1	1
225	от самой	1	1
226	что образ	3	1
227	силы и	1	1
228	к своей	1	1
229	из самых	2	1
230	и до	2	1
231	что эти	2	1
232	над которым	1	1
233	и могут	1	1
234	той же	1	1
235	совершенно в	1	1
236	так он	1	1
237	а как	2	1
238	связаны между	1	1
239	которую я	1	1
240	вот я	1	1
241	на себя	1	1
242	а стало	1	1
243	это значит?	1	1
244	может так	1	1
245	без которой	1	1
246	себя а	1	1
247	столь же	2	1
248	во всех	1	1
249	в ее	2	1
250	он сродни	1	1
251	друга и	1	1
252	чем же	1	1
