N	2gram	Propp_Isto_7	Myshleni
1	в том	7	42
2	том что	10	35
3	таким образом	7	25
4	в этом	12	24
5	точки зрения	4	24
6	в качестве	3	21
7	и в	24	20
8	что в	13	19
9	в основе	2	17
10	то же	8	16
11	не только	21	15
12	то что	7	15
13	что они	3	14
14	мышления и	1	14
15	как мы	3	13
16	в их	4	12
17	при этом	4	12
18	может быть	14	12
19	с другой	9	12
20	потому что	9	12
21	с точки	1	11
22	в его	1	11
23	так же	6	11
24	в целом	1	11
25	мы должны	4	11
26	и то	1	10
27	на основе	1	10
28	того что	6	10
29	мы видим	10	10
30	только в	6	10
31	так как	8	10
32	того же	2	9
33	и другие	9	9
34	и как	1	9
35	как и	6	9
36	что и	8	9
37	тот же	2	9
38	с одной	5	9
39	одной стороны	5	9
40	ребенка и	1	9
41	как это	2	9
42	другой стороны	8	9
43	но и	11	9
44	и тем	2	8
45	было бы	2	8
46	тогда когда	3	8
47	и что	10	8
48	вместе с	7	8
49	и не	4	8
50	самом деле	1	7
51	один и	1	7
52	и тот	2	7
53	в своей	1	7
54	и более	1	7
55	тем самым	1	7
56	они являются	1	7
57	же самое	1	7
58	тем что	6	7
59	а не	8	7
60	что мы	3	7
61	как бы	4	7
62	же как	4	6
63	в самом	2	6
64	и на	2	6
65	те же	1	6
66	с тем	1	6
67	мы видели	7	6
68	на м	1	6
69	к тому	1	6
70	можно было	1	6
71	в силу	2	6
72	его в	3	6
73	что он	21	6
74	уже в	3	6
75	не может	14	6
76	сказать что	2	6
77	мы уже	4	5
78	между собой	1	5
79	друг на	1	5
80	как в	12	5
81	с этим	2	5
82	все же	9	5
83	перед нами	2	5
84	и к	1	5
85	в действительности	2	5
86	увидим что	2	5
87	все эти	2	5
88	на то	3	5
89	это не	10	5
90	это положение	2	5
91	на друга	1	5
92	и его	3	5
93	никогда не	4	5
94	так и	5	5
95	если бы	1	5
96	о том	9	5
97	раньше чем	3	5
98	мы можем	4	5
99	для того	1	5
100	в частности	1	5
101	что такое	2	5
102	этой теории	1	4
103	видим таким	1	4
104	в своем	1	4
105	нами в	2	4
106	как он	6	4
107	состоит в	1	4
108	как они	1	4
109	и с	1	4
110	с этой	6	4
111	на первый	4	4
112	в первую	7	4
113	и при	1	4
114	и той	1	4
115	которые в	1	4
116	не в	9	4
117	тому что	2	4
118	на том	2	4
119	по мере	1	4
120	и только	1	4
121	только что	1	4
122	в сознании	1	4
123	из них	2	4
124	друг друга	2	4
125	во всей	1	4
126	образом что	1	4
127	по своему	1	4
128	нами выше	2	4
129	новые и	2	4
130	обратимся к	1	4
131	для нас	6	4
132	этих представлений	1	4
133	к этому	2	4
134	этой точки	3	4
135	как известно	1	3
136	почти всегда	2	3
137	не имеют	2	3
138	приходит к	3	3
139	приводят к	1	3
140	в чем	5	3
141	тем как	1	3
142	а только	1	3
143	себе и	3	3
144	когда он	3	3
145	следующим образом	3	3
146	но в	5	3
147	в которой	2	3
148	представляет собой	4	3
149	в этой	1	3
150	на его	2	3
151	он пользуется	1	3
152	в совершенно	1	3
153	на все	1	3
154	знает что	1	3
155	он приходит	1	3
156	ни в	2	3
157	в один	2	3
158	в этих	13	3
159	нас к	2	3
160	не менее	5	3
161	что эта	1	3
162	этого явления	1	3
163	во всем	2	3
164	связи с	3	3
165	не могут	2	3
166	оно может	1	3
167	и когда	2	3
168	должно быть	1	3
169	составные части	1	3
170	и поэтому	1	3
171	и во	1	3
172	и история	1	3
173	один из	7	3
174	одной из	4	3
175	но не	6	3
176	в какой	1	3
177	так что	3	3
178	но что	1	3
179	от того	1	3
180	со стороны	2	3
181	на этот	2	3
182	именно в	1	3
183	в связи	2	3
184	по существу	4	3
185	этом случае	1	3
186	в условиях	1	3
187	приводит нас	1	3
188	к пониманию	1	3
189	формы и	1	3
190	и от	2	3
191	в виде	1	3
192	точно так	2	3
193	они представляют	1	2
