N	4gram	Losev_Prob_5	Vladivir
1	дело в том что	2	4
2	и в этом смысле	1	3
3	что бы то ни	1	2
4	и вместе с тем	1	2
5	во что бы то	1	2
6	а с другой стороны	3	2
7	еще и потому что	1	2
8	бы то ни стало	1	2
9	в то же время	1	2
10	свидетельствует о том что	1	2
11	также и то что	2	2
12	в то время как	3	2
13	стоит на точке зрения	1	1
14	же в конце концов	1	1
15	и то и другое	1	1
16	с начала до конца	1	1
17	в результате чего вся	1	1
18	бы то ни было	1	1
19	не что иное как	3	1
20	этому поводу необходимо сказать	1	1
21	достаточно указать хотя бы	1	1
22	указать хотя бы на	1	1
23	с этой точки зрения	1	1
24	поводу необходимо сказать что	1	1
25	в том что и	1	1
26	и в том числе	1	1
27	нам представляется что здесь	1	1
28	в том что он	1	1
29	по этому поводу необходимо	1	1
30	с такой точки зрения	1	1
31	означает не что иное	1	1
32	мы должны сказать что	1	1
