N	3gram	Savitsky_P_1	Problemy
1	то же время	7	12
2	в то же	7	12
3	в отношении к	5	7
4	не может быть	1	6
5	и в то	2	5
6	во всяком случае	1	5
7	в этом смысле	1	4
8	с точки зрения	3	4
9	в творчестве достоевского	1	3
10	но в то	1	3
11	с другой стороны	1	3
12	и не может	1	2
13	хотя бы и	1	2
14	вместе с тем	1	2
15	в отличие от	1	2
16	там где он	1	2
17	и в этом	1	2
18	но в общем	1	2
19	друг с другом	1	2
20	в большинстве случаев	1	2
21	именно потому что	1	2
22	и т д	1	2
23	по всему лицу	1	1
24	как она есть	1	1
25	или хотя бы	1	1
26	за то что	1	1
27	заключает в себе	2	1
28	что дело идет	1	1
29	и пр в	1	1
30	и то что	1	1
31	с ними как	1	1
32	в противоречии с	1	1
33	в тот же	2	1
34	но в этом	1	1
35	большинстве случаев только	1	1
36	для того чтобы	1	1
37	в том что	4	1
