N	3gram	Bakhtin_Pr_2	VLabPisa
1	и т д	4	15
2	и т п	9	9
3	в письме к	2	9
4	с другой стороны	3	8
5	не может быть	4	8
6	по отношению к	5	7
7	более или менее	3	6
8	в художественном творчестве	2	5
9	хотя бы и	1	5
10	то же время	5	5
11	в то же	5	5
12	в связи с	1	4
13	можно сказать что	1	4
14	в том что	1	4
15	о том как	1	3
16	о том же	2	3
17	большей или меньшей	1	3
18	о том что	1	3
19	в одном из	1	3
20	не может не	1	2
21	одной стороны и	1	2
22	также и в	1	2
23	в том числе	1	2
24	до сих пор	7	2
25	лишь в пределах	1	2
26	можно было бы	3	2
27	и не может	4	2
28	по крайней мере	1	2
29	или меньшей степени	1	2
30	с одной стороны	1	2
31	в конце концов	2	2
32	для него в	1	2
33	в большей или	1	2
34	во всяком случае	1	2
35	в точном смысле	1	2
36	этой точки зрения	1	2
37	не только не	1	2
38	том числе и	1	2
39	во всех его	1	2
40	бы не было	1	2
41	и в другом	1	2
42	если бы он	1	1
43	то это вовсе	1	1
44	на этот вопрос	2	1
45	хотя и не	2	1
46	в той или	3	1
47	и ту же	1	1
48	по существу своему	1	1
49	иметь в виду	1	1
50	то время как	2	1
51	как один из	1	1
52	в самом деле	4	1
53	в этом смысле	2	1
54	между собою и	1	1
55	в том же	1	1
56	же как и	1	1
57	он говорит в	1	1
58	и во всех	1	1
59	как и все	4	1
60	в таком случае	1	1
61	сами по себе	1	1
62	сама по себе	4	1
63	что он не	1	1
64	и так или	1	1
65	но и в	1	1
66	т д но	1	1
67	это вовсе не	2	1
68	он сам по	2	1
69	том или ином	1	1
70	может быть и	2	1
71	как если бы	2	1
72	письме к страхову	1	1
73	одно и то	2	1
74	так или иначе	1	1
75	говорит в письме	1	1
76	главное для него	1	1
77	в том или	2	1
78	время работы над	1	1
79	может быть даже	1	1
80	но в то	3	1
81	таким образом и	1	1
82	но она не	1	1
83	то же самое	1	1
84	и то же	2	1
85	каждый из них	1	1
86	и в их	1	1
87	то же но	1	1
88	сюда относится например	1	1
89	все же не	1	1
90	служит для него	1	1
91	один из его	1	1
92	а между тем	1	1
93	сих пор не	1	1
94	для него основной	1	1
95	между этими двумя	1	1
96	у него в	1	1
97	в то время	2	1
98	никогда не может	2	1
99	той или иной	3	1
100	уже сама по	1	1
101	после того как	1	1
102	а как бы	1	1
103	и для достижения	1	1
104	как он определяет	1	1
105	неизбежно приводит к	1	1
106	во время работы	1	1
107	одну и ту	1	1
108	все это не	1	1
109	к тому же	3	1
110	как мы знаем	1	1
111	т е в	1	1
