N	3gram	Losev_Vlad_3	Freidism
1	с точки зрения	6	11
2	во всяком случае	3	7
3	не может быть	6	7
4	в самом деле	1	6
5	мы знаем что	1	4
6	то же время	2	4
7	в то же	3	4
8	в данном случае	2	4
9	как мы видели	3	4
10	для того чтобы	1	3
11	в таком случае	2	3
12	бы то ни	3	3
13	с самого начала	1	3
14	для него только	1	2
15	а потому и	1	2
16	он не только	1	2
17	то же самое	1	2
18	что же касается	5	2
19	до сих пор	1	2
20	в отличие от	3	2
21	это вовсе не	1	2
22	может быть и	1	2
23	а с другой	2	2
24	благодаря тому что	1	2
25	все то что	1	2
26	в этом отношении	2	2
27	и притом в	1	2
28	это и есть	1	2
29	то ни было	1	2
30	с одной стороны	3	2
31	тем не менее	9	2
32	мы уже знаем	1	2
33	в конце концов	5	2
34	том что в	3	1
35	это учение о	2	1
36	но как раз	1	1
37	в нашем сознании	1	1
38	сводится к тому	2	1
39	то ни стало	2	1
40	на примере анализа	1	1
41	да и не	1	1
42	ни в каких	2	1
43	и не делает	1	1
44	раз и не	1	1
45	так как в	1	1
46	в котором он	1	1
47	и в отношении	3	1
48	в таком виде	1	1
49	но даже и	2	1
50	те же самые	1	1
51	в этом случае	1	1
52	и нигде не	1	1
53	и в данном	1	1
54	во что бы	2	1
55	как раз и	5	1
56	о которой мы	1	1
57	он не был	1	1
58	хотя бы и	3	1
59	того что мы	1	1
60	невольно возникает вопрос	1	1
61	в глаза при	1	1
62	на самом же	2	1
63	только то что	1	1
64	в себе и	2	1
65	не менее он	1	1
66	при таких условиях	2	1
67	и необходимость его	1	1
68	но когда мы	1	1
69	в основе своей	1	1
70	и вовсе не	1	1
71	и тем не	1	1
72	отнюдь не является	1	1
73	он никогда не	2	1
74	ни в какой	1	1
75	даже и не	2	1
76	никакого отношения к	3	1
77	что бы то	2	1
78	в этой работе	1	1
79	в последний период	1	1
80	далеко не всегда	1	1
81	тому что все	1	1
82	однако и здесь	1	1
83	но вместе с	1	1
84	в себя и	1	1
85	а также и	6	1
86	как будто бы	1	1
87	так и с	1	1
88	и потому не	1	1
89	то что он	1	1
90	только с точки	1	1
91	и она не	1	1
92	понятно и не	1	1
93	бросается в глаза	2	1
94	потому не может	1	1
95	сих пор не	1	1
96	это было бы	1	1
97	и ни в	1	1
98	ни в каком	2	1
99	вместо этого он	1	1
100	и об отношении	1	1
101	мы не можем	1	1
102	в то время	4	1
103	мы не будем	1	1
104	и представления но	1	1
105	сказать и о	1	1
106	в некоторых отношениях	1	1
107	люди а не	1	1
108	о том что	8	1
109	ничего общего с	2	1
110	никогда и нигде	1	1
111	к нему и	2	1
112	не только не	1	1
113	какие были в	1	1
114	человеческой души в	1	1
115	его совершенно не	1	1
116	той или иной	1	1
117	но и не	1	1
118	и как мы	1	1
119	но вовсе не	1	1
120	в этом смысле	3	1
121	самом деле ведь	1	1
122	самом же деле	2	1
123	в том что	10	1
124	бы для него	1	1
125	критическом отношении к	1	1
126	что и в	3	1
127	он еще не	1	1
128	мог бы сделать	1	1
