N	4gram	Tiupa_Anal_3	Problema
1	не что иное как	1	4
2	есть не что иное	1	4
3	дело в том что	2	2
4	в той или иной	1	2
5	но с другой стороны	1	2
6	заключается в том что	1	2
7	по крайней мере в	2	1
8	одного и того же	3	1
9	дело не в самом	1	1
10	в данном случае совершенно	1	1
11	подобно тому например как	1	1
12	во всяком случае не	1	1
13	дело здесь не только	1	1
14	данном случае совершенно не	1	1
15	в том что он	2	1
16	здесь не только в	1	1
17	по крайней мере не	1	1
18	тех случаях когда мы	1	1
19	в тех случаях когда	1	1
