N	2gram	Voloshinov_1	VLabPisa
1	таким образом	6	27
2	в этом	2	26
3	и в	13	25
4	не только	6	22
5	может быть	8	21
6	хотя бы	5	20
7	и не	8	19
8	художественного творчества	1	18
9	не может	8	17
10	в его	7	15
11	в процессе	5	14
12	этом отношении	1	13
13	в том	2	13
14	прежде всего	9	13
15	как это	1	12
16	все это	4	12
17	с другой	2	11
18	представляет собою	1	10
19	то же	4	9
20	что в	3	9
21	об этом	1	9
22	для него	2	9
23	но и	3	9
24	и др	2	9
25	к этому	1	9
26	в своем	1	8
27	ни один	3	8
28	все эти	2	8
29	другой стороны	2	8
30	могут быть	2	8
31	по отношению	3	7
32	было бы	4	7
33	как и	3	7
34	том что	2	7
35	в конечном	1	7
36	произведения и	1	7
37	не было	1	7
38	а не	2	7
39	вместе с	1	7
40	отношению к	3	7
41	художественного произведения	5	6
42	это и	1	6
43	в зависимости	2	6
44	художественном творчестве	1	6
45	более или	1	6
46	в себе	3	6
47	в нем	2	6
48	или менее	1	6
49	их в	1	6
50	и его	12	6
51	в то	1	6
52	так и	3	6
53	между тем	2	6
54	то что	6	6
55	одним из	1	5
56	и есть	1	5
57	в их	3	5
58	зависимости от	2	5
59	конечном счете	1	5
60	все же	5	5
61	в пределах	3	5
62	и при	2	5
63	не в	3	5
64	тому что	1	5
65	же время	1	5
66	связи с	1	5
67	на основе	1	5
68	произведения как	4	5
69	один из	1	5
70	он говорит	1	5
71	как бы	6	5
72	не является	4	5
73	сказать что	1	5
74	только в	6	5
75	в искусстве	3	5
76	и сводится	1	4
77	с его	1	4
78	замысла и	1	4
79	в этой	1	4
80	чем же	2	4
81	в самом	2	4
82	в целом	2	4
83	в статье	1	4
84	в них	2	4
85	одна из	1	4
86	никогда не	3	4
87	говорит следующее	1	4
88	к тому	2	4
89	в ее	3	4
90	познания в	1	4
91	с ними	2	4
92	что он	1	4
93	в нашей	1	4
94	в одном	3	4
95	в связи	2	4
96	художественное произведение	2	4
97	равно как	1	4
98	в своей	4	4
99	например в	1	3
100	человека и	1	3
101	и он	1	3
102	в которых	1	3
103	явлений и	2	3
104	нет и	1	3
105	что они	2	3
106	с этим	3	3
107	и как	1	3
108	и к	2	3
109	что без	1	3
110	говорить не	1	3
111	его в	1	3
112	от индивидуальной	1	3
113	далеко не	1	3
114	точки зрения	7	3
115	и ее	2	3
116	как о	1	3
117	сводится к	1	3
118	значительной мере	1	3
119	в виду	1	3
120	в значительной	1	3
121	вслед за	2	3
122	этот вопрос	1	3
123	является не	1	3
124	и их	7	3
125	даже и	1	3
126	в конце	1	3
127	этой проблемы	2	3
128	так же	2	3
129	по поводу	1	3
130	или в	1	3
131	бы в	2	3
132	только что	1	3
133	ее в	2	3
134	смысле слова	2	2
135	как известно	1	2
136	ту же	1	2
137	также и	1	2
138	и через	1	2
139	связана с	3	2
140	и этот	2	2
141	а как	2	2
142	мы имеем	1	2
143	же как	1	2
144	в которой	3	2
145	говорить о	3	2
146	но даже	1	2
147	то это	1	2
148	собою и	1	2
149	в ней	2	2
150	еще не	1	2
151	например у	1	2
152	в различных	1	2
153	в чем	2	2
154	чуть ли	1	2
155	но не	1	2
156	в общем	2	2
157	и достоевский	1	2
158	отнюдь не	1	2
159	но в	4	2
160	не приходится	1	2
161	ни одна	1	2
162	что она	1	2
163	подобно тому	1	2
164	в каждом	4	2
165	в другом	2	2
166	заключается в	1	2
167	только о	1	2
168	само собою	1	2
169	необходимость в	1	2
170	не всегда	1	2
171	он и	1	2
172	между собою	2	2
173	и для	3	2
174	что такое	1	2
175	не столько	3	2
176	если бы	2	2
177	по себе	1	2
178	это особенно	1	2
179	не менее	2	2
180	мышления в	1	2
181	в науке	1	2
182	того чтобы	1	2
183	на язык	2	2
184	не вполне	1	2
185	связанное с	1	2
186	в сознании	4	2
187	в области	2	2
188	ли не	1	2
189	и отбор	2	2
190	же самое	1	2
191	должны быть	1	2
192	другом месте	1	2
193	в самых	1	2
194	для того	1	2
195	что при	1	2
196	формы и	1	2
197	только то	1	2
198	и может	2	2
199	роль в	2	2
200	в образе	1	2
201	произведения не	1	2
202	именно этого	1	2
203	лишь в	4	2
204	во всей	2	2
205	каждом отдельном	1	2
206	всего не	1	2
207	с одной	2	2
208	одной из	1	2
209	вовсе не	2	2
210	образом не	1	2
211	в особенности	1	2
212	одной стороны	2	2
213	еще и	4	2
214	к сожалению	2	2
215	что мы	1	2
216	тому как	1	2
217	в течение	2	2
218	столь резко	1	2
219	все произведение	1	2
220	того или	2	2
221	но для	3	2
222	можно было	1	2
223	в книге	2	2
224	поэта как	1	2
225	в словесном	2	2
226	а в	2	2
227	в системе	1	2
228	в целях	2	2
229	отметить что	1	2
230	в своих	2	2
231	этой точки	1	2
232	они не	1	2
233	вряд ли	3	1
234	можно говорить	1	1
235	в словесной	1	1
236	выражения в	1	1
237	самом деле	3	1
238	художественных произведений	2	1
239	проявляются в	1	1
240	оно может	1	1
241	он всегда	1	1
242	что всякий	1	1
243	содержания в	1	1
244	вопрос о	1	1
245	является уже	2	1
246	и стиль	2	1
247	на себя	1	1
248	из того	1	1
249	и то	3	1
250	комплексы и	1	1
251	не знала	1	1
252	предисловии к	1	1
253	этом говорит	1	1
254	другое если	1	1
255	воплощенной в	1	1
256	или иное	1	1
257	в свои	1	1
258	которые не	1	1
259	в истории	1	1
260	общего с	3	1
261	и наконец	5	1
262	связанный с	1	1
263	роль играет	1	1
264	или иную	1	1
265	под ним	1	1
266	образную систему	1	1
267	уже в	2	1
268	платон в	1	1
269	элементов в	1	1
270	на то	1	1
271	если он	1	1
272	закрепленное в	1	1
273	и если	1	1
274	да и	3	1
275	творца и	1	1
276	всем своем	1	1
277	момента в	1	1
278	в понимании	1	1
279	как совершенно	1	1
280	не как	3	1
281	мы полагаем	1	1
282	словесного материала	5	1
283	проблемы не	1	1
284	эта способность	1	1
285	на этом	1	1
286	его можно	1	1
287	и речи	1	1
288	одно и	3	1
289	этим самым	1	1
290	борьбы и	1	1
291	и характер	1	1
292	связанных с	2	1
293	для своей	1	1
294	в несколько	1	1
295	не нашел	1	1
296	классового сознания	1	1
297	входит в	2	1
298	в музыке	5	1
299	те или	1	1
300	к анализу	2	1
301	кажется что	2	1
302	не чем	2	1
303	для них	1	1
304	соответствии с	2	1
305	и определяет	1	1
306	с этой	2	1
307	отражается в	1	1
308	которой он	1	1
309	несмотря на	2	1
310	же самый	1	1
311	обратимся к	1	1
312	речь может	1	1
313	полностью в	1	1
314	что до	1	1
315	идти только	1	1
316	представляется не	1	1
317	произведения но	2	1
318	есть его	1	1
319	иным как	2	1
320	однако индивидуальный	1	1
321	говорит как	1	1
322	не должна	1	1
323	бы быть	1	1
324	которой является	2	1
325	зрения и	1	1
326	необходимо учитывать	1	1
327	нет никакого	1	1
328	вплоть до	1	1
329	о значении	1	1
330	что эта	2	1
331	замысла так	1	1
332	мысли в	1	1
333	уже из	1	1
334	того как	1	1
335	материала в	4	1
336	и изучение	1	1
337	иметь в	1	1
338	та или	1	1
339	не имеет	2	1
340	философской системы	1	1
341	наиболее полно	2	1
342	и иметь	1	1
343	или иная	1	1
344	сложность и	1	1
345	от него	1	1
346	еще платон	1	1
347	моменты в	1	1
348	только с	1	1
349	в основе	1	1
350	если только	1	1
351	все то	1	1
352	лежит в	1	1
353	в совокупности	1	1
354	раз навсегда	1	1
355	функцию в	2	1
356	ничего общего	3	1
357	данной области	1	1
358	и это	1	1
359	чем иным	2	1
360	своего развития	1	1
361	даже самые	1	1
362	с ее	1	1
363	связи со	1	1
364	же не	1	1
365	данном случае	2	1
366	то или	1	1
367	в дальнейшем	1	1
368	мере возможности	1	1
369	в нескольких	1	1
370	остается только	1	1
371	но у	1	1
372	мы в	1	1
373	понятно что	3	1
374	для этого	1	1
375	по мере	1	1
376	это обычно	1	1
377	утверждает и	1	1
378	связанная с	1	1
379	через напряжение	1	1
380	или только	1	1
381	материала и	3	1
382	в действительной	1	1
383	следует иметь	1	1
384	и что	1	1
385	должна заняться	1	1
386	а также	2	1
387	несомненно и	1	1
388	развития не	1	1
389	или как	1	1
390	высокой и	1	1
391	на одном	1	1
392	даже для	1	1
393	полагая что	1	1
394	быть и	1	1
395	стадиях своего	1	1
396	стиль в	1	1
397	или иные	1	1
398	недостаточно изучены	1	1
399	быть сведены	1	1
400	который в	1	1
401	во времени	2	1
402	и ряд	1	1
403	сам собой	1	1
404	процессов в	1	1
405	определили как	1	1
406	события и	1	1
407	конечно не	1	1
408	можно установить	1	1
409	только на	1	1
410	если конечно	1	1
411	в поэзии	5	1
412	в виде	1	1
413	в начале	1	1
414	и чисто	1	1
415	еще одну	1	1
416	этого процесса	1	1
417	или даже	1	1
418	и других	1	1
419	его и	1	1
420	ту или	1	1
421	себе в	1	1
422	к более	1	1
423	художественного образа	1	1
424	содержания и	1	1
425	отношение к	1	1
426	но что	1	1
427	каждый из	1	1
428	и никогда	1	1
429	тем что	2	1
430	не обязательна	1	1
431	и вместе	1	1
432	в едином	1	1
433	к двум	1	1
434	богатство и	1	1
435	являются материальными	1	1
436	его себе	1	1
437	этим путем	1	1
438	и сложнее	1	1
439	процессе творчества	1	1
440	как же	1	1
441	литературное произведение	2	1
442	себя и	1	1
443	в живом	1	1
444	богаче и	1	1
445	полагаем что	1	1
446	не создает	1	1
447	материал в	2	1
448	поскольку она	1	1
449	из наиболее	1	1
450	и самый	1	1
451	наконец в	2	1
452	на эту	1	1
453	самого начала	2	1
454	особенно часто	1	1
455	если не	1	1
456	есть одно	1	1
457	отмечает и	1	1
458	может иметь	2	1
459	свести к	1	1
460	нет ничего	2	1
461	и особенно	1	1
462	теперь к	1	1
463	как в	2	1
464	статье о	1	1
465	в данном	2	1
466	его учеников	1	1
467	может идти	1	1
468	должно быть	1	1
469	слова и	2	1
470	является для	1	1
471	но это	1	1
472	особенностей и	1	1
473	особенностей в	2	1
474	мы видим	2	1
475	форм и	2	1
476	ее и	1	1
477	у некоторых	1	1
478	в каждой	1	1
479	внимание на	1	1
480	и все	3	1
481	собственно говоря	2	1
482	которая уже	1	1
483	вообще в	1	1
484	потому что	1	1
485	которых он	1	1
486	и наоборот	1	1
487	вся область	2	1
488	еще в	2	1
489	сложную систему	1	1
490	находит свое	1	1
491	его точки	1	1
492	от всех	2	1
493	видим у	1	1
494	в последнем	1	1
495	или иного	2	1
496	творческой работы	1	1
497	этот аппарат	1	1
