N	3gram	Bakhtin_Fr_2	Hudozhes
1	о том что	3	9
2	по отношению к	1	8
3	в то же	6	8
4	то же время	6	8
5	в том что	1	6
6	как и в	1	3
7	жизни и смерти	5	3
8	но в то	3	3
9	в этом отношении	3	3
10	с точки зрения	5	3
11	в первую очередь	1	2
12	для своего времени	1	2
13	самом деле в	1	2
14	того или иного	1	2
15	на то что	1	2
16	это прежде всего	1	2
17	в значительной степени	2	2
18	не только в	5	2
19	во второй половине	1	2
20	только потому что	1	2
21	до сих пор	4	2
22	не может быть	4	2
23	с одной стороны	3	1
24	так и в	1	1
25	в одной из	1	1
26	друг с другом	1	1
27	не только от	1	1
28	можно не только	1	1
29	и там где	1	1
30	мы уже говорили	5	1
31	и в то	2	1
32	не только не	1	1
33	уже говорили о	1	1
34	и когда все	1	1
35	для него уже	1	1
36	во всяком случае	2	1
37	прежде всего о	1	1
38	о своей жизни	1	1
39	видит в нем	2	1
40	и та же	1	1
41	на самом деле	1	1
42	сих пор еще	2	1
43	именно в этом	1	1
44	на самом же	1	1
45	не претендуя на	1	1
46	даже как бы	1	1
47	в первый раз	1	1
48	одной стороны и	1	1
49	одна и та	1	1
50	содержит в себе	2	1
51	но все же	2	1
52	же время это	1	1
53	в конце концов	1	1
54	прежде всего в	1	1
55	в свое время	3	1
56	прежде всего на	1	1
57	самом же деле	1	1
58	не только на	1	1
59	в себе и	2	1
60	что для него	1	1
61	лицо его было	1	1
62	до известной степени	1	1
63	вокруг себя атмосферу	1	1
