N	4gram	Bakhtin_sl_1	Marksizm
1	бы то ни было	1	8
2	одни и те же	1	5
3	в то же время	12	3
4	на самом же деле	1	2
5	но в то же	4	2
6	одной и той же	1	2
7	язык с этой точки	1	1
8	находит свое выражение в	1	1
9	и с точки зрения	1	1
10	в большей или меньшей	3	1
11	с точки зрения самого	2	1
12	в узком смысле и	1	1
13	в тесной связи с	1	1
14	и прежде всего в	1	1
15	не выходит за пределы	3	1
16	ни в какой степени	1	1
17	сих пор совершенно не	1	1
18	исходить из языка как	1	1
19	или во всяком случае	2	1
20	имеют громадное значение в	1	1
21	слово в то же	1	1
22	не значит конечно что	1	1
23	в какой степени не	1	1
24	с этой точки зрения	1	1
25	это не значит конечно	1	1
26	пор совершенно не изученных	1	1
27	в неразрывной связи с	1	1
28	до сих пор совершенно	1	1
