N	2gram	Kanaev_Sov_1	Stilisti
1	и в	7	42
2	не только	4	27
3	как бы	4	27
4	и т.п	1	24
5	прежде всего	5	22
6	и т.д	3	20
7	то же	3	15
8	и не	6	14
9	не может	17	12
10	может быть	12	12
11	мы уже	1	11
12	как и	6	11
13	точки зрения	12	11
14	отнюдь не	3	10
15	в этом	7	10
16	как мы	2	10
17	мы должны	4	10
18	мы не	9	9
19	при этом	3	9
20	в то	1	9
21	в ней	1	8
22	все же	3	8
23	в себе	3	8
24	таким образом	11	8
25	и это	1	8
26	что же	5	8
27	в зависимости	4	7
28	зависимости от	4	7
29	в которой	2	7
30	было бы	3	7
31	так как	4	7
32	никогда не	1	7
33	же время	1	7
34	ничего не	6	7
35	с его	1	7
36	только в	1	7
37	и его	1	7
38	мы можем	6	7
39	а не	3	7
40	и от	1	7
41	во всех	1	6
42	мы будем	1	6
43	точку зрения	4	6
44	в этой	3	6
45	но ведь	1	6
46	на его	2	6
47	в нем	3	6
48	не в	3	6
49	в процессе	1	6
50	или как	1	6
51	в области	3	6
52	когда мы	3	6
53	в конце	3	6
54	или иной	2	6
55	в свою	2	6
56	той же	2	5
57	уже в	3	5
58	в нашем	2	5
59	независимо от	1	5
60	и наконец	5	5
61	же мы	2	5
62	мы видели	4	5
63	с точки	5	5
64	и той	1	5
65	а в	4	5
66	не является	1	5
67	же самое	2	5
68	те же	1	5
69	в его	2	5
70	и следовательно	1	5
71	и их	1	5
72	в живом	2	5
73	с помощью	4	5
74	вместе с	4	5
75	самом деле	2	4
76	тем же	2	4
77	мы называем	3	4
78	и к	3	4
79	но в	3	4
80	в самом	2	4
81	что это	2	4
82	так сказать	2	4
83	уже не	2	4
84	можно было	1	4
85	в каждом	8	4
86	его в	1	4
87	самого начала	3	4
88	у нас	3	4
89	но все	2	4
90	той или	1	4
91	на это	1	4
92	свою очередь	2	4
93	с самого	3	4
94	если бы	1	4
95	о том	1	4
96	все время	1	4
97	один из	1	4
98	мы видим	2	4
99	если мы	4	4
100	точка зрения	1	4
101	и пр	2	4
102	не что	1	4
103	все это	3	4
104	не знаем	2	4
105	так же	1	4
106	на самом	1	3
107	и само	1	3
108	еще не	3	3
109	видели что	3	3
110	то он	1	3
111	нет и	4	3
112	хотя и	1	3
113	та же	1	3
114	вследствие этого	1	3
115	их в	4	3
116	заключает в	1	3
117	не будет	1	3
118	это не	4	3
119	может стать	1	3
120	ведь в	1	3
121	том что	1	3
122	что такое	2	3
123	в какой-нибудь	1	3
124	связи с	1	3
125	в будущем	1	3
126	и развития	1	3
127	роль в	2	3
128	мы в	1	3
129	жизни и	4	3
130	конечно не	1	3
131	только на	1	3
132	в данной	1	3
133	из них	4	3
134	его и	1	3
135	в одном	3	3
136	но что	1	3
137	и даже	2	3
138	и эта	1	3
139	этом случае	1	3
140	в целом	4	3
141	в начале	1	3
142	но для	1	3
143	и для	1	3
144	для нас	3	3
145	и все	3	3
146	между ними	1	3
147	не знает	1	3
148	сказать что	1	3
149	человека и	1	2
150	жизни мы	2	2
151	мы имели	1	2
152	мы имеем	1	2
153	нуждаются в	1	2
154	вопрос о	4	2
155	для наших	1	2
156	между собой	3	2
157	иное как	1	2
158	природы и	1	2
159	но не	1	2
160	достаточно для	1	2
161	и нет	1	2
162	которая и	1	2
163	между двумя	1	2
164	чего же	1	2
165	роль играет	1	2
166	к чему	2	2
167	все эти	5	2
168	и те	1	2
169	этот процесс	1	2
170	еще мало	2	2
171	одной и	1	2
172	человек с	1	2
173	т.е от	1	2
174	человека в	1	2
175	ясно что	3	2
176	есть не	1	2
177	с этим	2	2
178	но мы	3	2
179	при которых	1	2
180	и при	1	2
181	ли он	1	2
182	мы конечно	1	2
183	социальном общении	1	2
184	что вся	1	2
185	но эта	1	2
186	в мире	1	2
187	которые в	1	2
188	при условии	1	2
189	важную роль	1	2
190	для каждого	1	2
191	что иное	1	2
192	эти три	1	2
193	и несколько	1	2
194	в дальнейшем	4	2
195	из двух	3	2
196	времени и	2	2
197	и вообще	1	2
198	с ним	1	2
199	выбор и	1	2
200	как нет	1	2
201	к нему	1	2
202	видим что	1	2
203	как например	1	2
204	в том	4	2
205	тот же	2	2
206	одной из	1	2
207	в какой	1	2
208	тот или	2	2
209	и все-таки	1	2
210	одни и	1	2
211	да еще	1	2
212	ведь если	1	2
213	себе в	1	2
214	допустим что	1	2
215	для них	1	2
216	а на	2	2
217	развития в	2	2
218	и эту	1	2
219	к которому	1	2
220	не было	1	2
221	в связи	1	2
222	равно как	1	2
223	стадии своего	1	2
224	и потому	3	2
225	в предыдущей	1	2
226	из которых	2	2
227	возникновения и	1	2
228	должно быть	1	2
229	сих пор	1	2
230	но это	1	2
231	только одна	6	2
232	или в	1	2
233	и ни	1	2
234	теперь же	2	2
235	несмотря на	1	2
236	этот вопрос	1	2
237	к этому	1	2
238	в своих	1	2
239	жизнь человека	1	1
240	можно говорить	1	1
241	же как	1	1
242	в жизненной	1	1
243	ли оно	2	1
244	лишь там	1	1
245	нас на	1	1
246	и до	1	1
247	бы к	1	1
248	не имеют	1	1
249	от всяких	1	1
250	входящих в	1	1
251	из всех	1	1
252	конечно нет	1	1
253	для своего	1	1
254	теперь мы	1	1
255	именно к	1	1
256	говорить о	2	1
257	жизни как	1	1
258	хотя конечно	1	1
259	того же	1	1
260	же мере	1	1
261	она развивается	1	1
262	быть в	1	1
263	но как	1	1
264	если в	1	1
265	конечном счете	1	1
266	и будет	2	1
267	всю эту	1	1
268	там где	1	1
269	дает нам	2	1
270	в своем	1	1
271	кроме того	1	1
272	процессе развития	1	1
273	и есть	2	1
274	увидим что	1	1
275	именно эта	1	1
276	за собой	1	1
277	он в	3	1
278	из этих	2	1
279	осуществляется в	1	1
280	остановиться на	1	1
281	только один	2	1
282	в наших	3	1
283	все они	1	1
284	и если	1	1
285	которые им	1	1
286	в первых	1	1
287	тем не	2	1
288	он не	1	1
289	носят название	1	1
290	он должен	2	1
291	к одному	1	1
292	необходимо для	1	1
293	явлений жизни	1	1
294	на этом	2	1
295	одному и	1	1
296	от общего	1	1
297	в основу	1	1
298	факт что	1	1
299	становится необходимым	1	1
300	в другом	1	1
301	конечно в	2	1
302	дома и	1	1
303	при которой	1	1
304	образом если	1	1
305	уже знаем	1	1
306	нас есть	1	1
307	одна и	1	1
308	чему мы	1	1
309	должен был	1	1
310	весь мир	1	1
311	совокупность условий	1	1
312	позволяет ему	1	1
313	но уже	1	1
314	нет в	1	1
315	громадную роль	1	1
316	и тогда	1	1
317	путем и	1	1
318	в любом	1	1
319	таким же	1	1
320	наших дней	1	1
321	это только	1	1
322	те явления	1	1
323	и благодаря	1	1
324	же обусловлено	1	1
325	группа из	1	1
326	природы но	1	1
327	является только	1	1
328	этой стадии	2	1
329	положение данного	1	1
330	поэтому в	1	1
331	по крайней	1	1
332	через несколько	1	1
333	бы два	1	1
334	из одного	2	1
335	организм из	1	1
336	зрения и	1	1
337	по себе	1	1
338	и вся	1	1
339	раз и	1	1
340	не менее	2	1
341	но они	1	1
342	что эта	1	1
343	она не	1	1
344	дело если	1	1
345	одна из	3	1
346	в развитии	4	1
347	оно из	1	1
348	только не	1	1
349	и всегда	1	1
350	значительно позже	1	1
351	же этот	1	1
352	без определенного	1	1
353	ничто не	1	1
354	так называемый	1	1
355	представлять себе	2	1
356	имеют место	1	1
357	не могут	2	1
358	это конечно	1	1
359	для его	2	1
360	что при	2	1
361	если же	2	1
362	дальнейшем мы	1	1
363	самый тип	1	1
364	должен быть	1	1
365	происходившие в	1	1
366	оно может	1	1
367	речи мы	1	1
368	а затем	1	1
369	какого-нибудь явления	1	1
370	поэтому мы	3	1
371	здесь нет	1	1
372	в социальном	1	1
373	все свои	1	1
374	еще в	1	1
375	когда в	1	1
376	с человеком	1	1
377	и начало	1	1
378	каждый раз	6	1
379	и та	1	1
380	определенным образом	1	1
381	и что	2	1
382	что его	1	1
383	все его	1	1
384	может не	3	1
385	и во	2	1
386	в конечном	1	1
387	которой организм	1	1
388	при исследовании	1	1
389	эта схема	1	1
390	отметить что	1	1
391	крайней мере	1	1
392	из нескольких	1	1
393	себе даже	1	1
394	и действительно	1	1
395	внешней стороне	1	1
396	что свои	1	1
397	правда и	1	1
398	он уже	1	1
399	до наших	1	1
400	наших целей	1	1
401	которую играет	1	1
402	не можем	7	1
403	в большинстве	1	1
404	развития мы	2	1
405	чтобы он	1	1
406	в виде	2	1
407	его с	1	1
408	не из	1	1
409	по отношению	1	1
410	искать в	1	1
411	ни в	1	1
412	вовсе не	1	1
413	у него	2	1
