N	2gram	Berdyaev_O_1	Literetu
1	и не	13	22
2	в мире	1	16
3	и в	19	16
4	в этом	12	14
5	не только	11	14
6	но и	13	14
7	в том	5	12
8	может быть	11	12
9	а не	11	12
10	то что	5	12
11	в частности	1	11
12	не в	11	10
13	так и	2	9
14	того что	3	9
15	в этой	5	8
16	в жизни	1	8
17	том что	2	8
18	не может	4	8
19	как бы	3	8
20	в своей	2	7
21	со стороны	1	7
22	еще не	3	6
23	с его	4	6
24	в себе	3	6
25	в другом	2	6
26	о том	3	6
27	и его	4	6
28	в его	7	6
29	как в	1	5
30	лишь в	7	5
31	это не	3	5
32	как и	6	5
33	этом отношении	1	5
34	в ее	2	5
35	что он	3	5
36	а именно	1	5
37	особого рода	1	5
38	а в	5	5
39	но не	1	4
40	хотя и	2	4
41	должно быть	2	4
42	никогда не	9	4
43	из них	1	4
44	одно из	2	4
45	в одном	1	4
46	как будто	1	4
47	как у	1	4
48	до конца	7	4
49	и для	2	4
50	жизни в	2	4
51	отношения к	1	3
52	например в	1	3
53	самом деле	1	3
54	и как	1	3
55	и к	2	3
56	но в	2	3
57	то в	1	3
58	бы и	1	3
59	самим собой	1	3
60	в глазах	1	3
61	по своей	1	3
62	потому что	9	3
63	для его	1	3
64	все еще	2	3
65	не случайно	1	3
66	прежде всего	9	3
67	все время	1	3
68	ни к	1	3
69	совершенно не	1	3
70	уже не	1	3
71	в единстве	2	3
72	человеческого духа	3	3
73	в самом	5	3
74	о чем	1	3
75	мира в	1	3
76	как это	1	3
77	в иных	1	3
78	жизни и	1	3
79	вопрос о	10	2
80	не вполне	1	2
81	жизни как	1	2
82	и на	2	2
83	не могу	1	2
84	отношение к	5	2
85	все же	2	2
86	когда он	3	2
87	представляет собой	1	2
88	он в	2	2
89	на то	1	2
90	в нем	10	2
91	о которой	2	2
92	и вот	3	2
93	человека в	11	2
94	в совершенно	1	2
95	и с	2	2
96	в глубине	7	2
97	его в	2	2
98	было бы	3	2
99	и даже	1	2
100	лишь на	1	2
101	она и	1	2
102	он и	1	2
103	и тогда	1	2
104	со всей	1	2
105	художественного творчества	1	2
106	и ее	3	2
107	одном из	1	2
108	быть может	3	2
109	в конце	1	2
110	по себе	2	2
111	с которой	2	2
112	свободы и	2	2
113	в нас	1	2
114	того чтобы	4	2
115	о природе	3	2
116	жизни не	1	2
117	у нас	1	2
118	с образом	1	2
119	и сам	1	2
120	что у	2	2
121	не с	1	2
122	если бы	1	2
123	о нем	1	2
124	что и	2	2
125	как например	1	2
126	с ними	1	2
127	со всеми	1	2
128	ни с	7	2
129	для него	5	2
130	тем что	2	2
131	для того	3	2
132	что не	4	2
133	него не	2	2
134	и потому	2	2
135	быть не	1	2
136	своей жизни	2	2
137	один из	1	2
138	что в	4	2
139	жизни а	1	2
140	но еще	1	2
141	ее в	2	2
142	в своих	3	2
143	к этому	2	2
144	русской литературы	1	2
145	жизнь тогда	1	1
146	была бы	1	1
147	с кем	1	1
148	и то	2	1
149	на самом	1	1
150	и есть	3	1
151	человеком в	1	1
152	между двумя	1	1
153	от самого	2	1
154	из самых	1	1
155	и до	1	1
156	всей ее	1	1
157	который в	1	1
158	тому кто	1	1
159	и он	8	1
160	в ней	1	1
161	он был	8	1
162	он сам	4	1
163	мысли и	3	1
164	во имя	3	1
165	во внешнем	1	1
166	человеку он	1	1
167	у вл	1	1
168	к которой	1	1
169	к богу	1	1
170	человеческих отношений	4	1
171	человеку и	5	1
172	этих словах	1	1
173	в истории	2	1
174	в центре	1	1
175	для русской	1	1
176	в своем	2	1
177	сознания в	1	1
178	героев достоевского	2	1
179	человека всегда	2	1
180	самом начале	1	1
181	в этот	2	1
182	за собой	1	1
183	духа в	1	1
184	светом и	1	1
185	от бога	1	1
186	не оставляет	1	1
187	уже в	2	1
188	и кто	1	1
189	ее как	1	1
190	вы так	1	1
191	больше всего	1	1
192	он не	7	1
193	ключ к	1	1
194	с тобой	1	1
195	в силу	1	1
196	в корне	1	1
197	и человеческого	1	1
198	людей и	1	1
199	после которого	1	1
200	его не	2	1
201	кажется что	1	1
202	только одно	3	1
203	в них	1	1
204	в экстазе	3	1
205	в самую	4	1
206	чем в	2	1
207	ведет к	1	1
208	на этот	1	1
209	в чистом	1	1
210	для своих	1	1
211	был бы	1	1
212	о христе	3	1
213	права на	1	1
214	но это	1	1
215	но он	7	1
216	в россии	5	1
217	и дела	1	1
218	что было	1	1
219	как от	1	1
220	что сам	1	1
221	свобода и	2	1
222	открывается в	1	1
223	вовсе не	1	1
224	в отношении	1	1
225	она не	1	1
226	в русской	3	1
227	мысли в	1	1
228	на два	1	1
229	в процессе	1	1
230	к великим	1	1
231	в уме	1	1
232	не имеет	2	1
233	его творческого	1	1
234	строя жизни	1	1
235	вл соловьева	1	1
236	во всем	1	1
237	не по	1	1
238	нужна была	1	1
239	своего творчества	1	1
240	ведь все	1	1
241	свое собственное	1	1
242	начиная с	1	1
243	и всех	1	1
244	его с	1	1
245	в духовную	1	1
246	и о	2	1
247	в виду	1	1
248	человеческой личности	6	1
249	с каким	1	1
250	свои силы	1	1
251	и от	3	1
252	природе своей	1	1
253	в борьбе	1	1
254	том как	1	1
255	самой жизни	1	1
256	другом месте	1	1
257	с того	1	1
258	человеческие отношения	1	1
259	нет у	1	1
260	людей в	1	1
261	природы в	2	1
262	нуждается в	1	1
263	бы в	1	1
264	чем и	1	1
265	самого конца	2	1
266	человека как	1	1
267	которой в	1	1
268	и мир	1	1
269	к нему	3	1
270	людей а	1	1
271	его собственная	1	1
272	жизнь их	1	1
273	будто бы	1	1
274	и действительно	1	1
275	не идет	1	1
276	всякого человека	1	1
277	в эти	1	1
278	так что	2	1
279	откровения и	1	1
280	своей и	1	1
281	и других	1	1
282	не стал	1	1
283	свой собственный	1	1
284	в котором	1	1
285	так как	2	1
286	человек существует	1	1
287	у него	22	1
288	уж тут	1	1
289	и воистину	1	1
290	в каждом	1	1
291	лишь один	1	1
292	момент в	2	1
293	до самого	5	1
294	к солнцу	1	1
295	для художника	1	1
296	есть не	1	1
297	делает в	1	1
298	что они	2	1
299	о пушкине	1	1
300	это все	1	1
301	а с	1	1
302	на поверхности	1	1
303	что для	2	1
304	к человеку	9	1
305	которой нет	1	1
306	жизни их	1	1
307	не было	9	1
308	с тем	2	1
309	и я	1	1
310	и ему	1	1
311	которого не	1	1
312	возможен лишь	1	1
313	ко всем	2	1
314	его пути	1	1
315	в человеке	9	1
316	русской и	1	1
317	этого типа	1	1
318	в активных	1	1
319	понял что	1	1
320	и там	2	1
321	все это	6	1
322	любовь эта	1	1
323	и более	1	1
324	еще страшнее	1	1
325	он за	1	1
326	человек и	4	1
327	и все	10	1
328	в этих	3	1
329	еще более	1	1
330	хотя бы	3	1
331	потребность в	2	1
332	человека не	1	1
333	отношении к	1	1
334	не есть	2	1
335	нисколько не	1	1
336	себе и	1	1
337	нет ничего	7	1
338	сказать что	2	1
339	и влечет	1	1
340	жизни нет	1	1
341	к его	1	1
342	и состоит	1	1
343	к этой	2	1
