N	3gram	Ircho_Kome_1	OGranits
1	по отношению к	3	3
2	что иное как	1	2
3	в зависимости от	1	2
4	в данном случае	1	2
5	с одной стороны	3	2
6	с другой стороны	5	2
7	с самого начала	1	2
8	не что иное	1	2
9	в том что	9	2
10	том что в	1	1
11	в чем же	1	1
12	этой точки зрения	1	1
13	более или менее	1	1
14	подобно тому как	1	1
15	то же самое	2	1
16	здесь мы не	1	1
17	можно говорить о	1	1
18	в отличие от	1	1
19	в этом отношении	3	1
20	можно было бы	1	1
21	с этой точки	1	1
22	и тем что	2	1
23	для того чтобы	1	1
24	так же как	1	1
25	и тот же	1	1
26	состоит в том	1	1
27	тем не менее	1	1
28	и к тому	1	1
29	в нашу задачу	1	1
30	и в их	1	1
31	в одном случае	1	1
32	в течение всей	1	1
33	чуть ли не	1	1
34	потому что они	1	1
35	не мог бы	1	1
36	в тех случаях	1	1
37	то же время	4	1
38	в борьбе с	1	1
39	в течение всего	1	1
40	и один из	1	1
41	на то что	2	1
42	тех случаях когда	1	1
43	в то же	4	1
44	к тому что	1	1
45	в предисловии к	1	1
46	и это особенно	1	1
47	как и в	2	1
48	и подобно тому	1	1
49	еще и тем	1	1
