N	3gram	Tiupa_Hudo_1	RusskieA
1	в том что	6	18
2	состоит в том	1	13
3	в данном случае	1	6
4	и т д	3	5
5	о том что	9	4
6	в отличие от	1	3
7	в xix в	1	3
8	не может быть	2	3
9	тем не менее	3	2
10	же как и	1	2
11	на самом же	1	2
12	может быть только	1	2
13	самом же деле	1	2
14	с одной стороны	1	2
15	пока еще не	1	2
16	том что в	2	1
17	а между тем	1	1
18	потому что он	1	1
19	не может не	1	1
20	не было ни	1	1
21	более или менее	1	1
22	к жизни столь	1	1
23	о том как	2	1
24	а в поле	1	1
25	как это делалось	1	1
26	и то и	1	1
27	в первую очередь	2	1
28	в этом отношении	3	1
29	можно было бы	4	1
30	человека а не	1	1
31	в предыдущей главе	3	1
32	в это время	1	1
33	в этой связи	4	1
34	во всяком случае	1	1
35	по своему происхождению	1	1
36	на первый взгляд	1	1
37	в город с	1	1
38	и в этом	1	1
39	в такой же	2	1
40	и это не	2	1
41	это еще не	1	1
42	где говорится что	1	1
43	духе а в	1	1
44	в свою очередь	1	1
45	с того что	1	1
46	не только на	1	1
47	на то что	2	1
48	во многих отношениях	1	1
49	мы уже знаем	2	1
50	говорится о том	1	1
51	как и в	3	1
52	к жизни в	1	1
