N	2gram	Tiupa_Lite_2	Tragedij
1	и в	19	18
2	в романе	1	10
3	в году	5	9
4	в этом	9	9
5	не только	8	8
6	он сам	1	7
7	и с	3	7
8	и на	6	7
9	может быть	17	7
10	как бы	2	7
11	и не	11	7
12	но в	2	6
13	и его	3	6
14	в образе	1	6
15	же время	9	6
16	что он	3	6
17	у него	2	6
18	то же	12	5
19	все же	2	5
20	что это	1	5
21	это не	1	5
22	как и	10	5
23	в то	9	5
24	так и	7	5
25	не может	9	5
26	к жизни	2	5
27	а я	1	5
28	я не	5	4
29	еще не	2	4
30	в себе	6	4
31	в целом	2	4
32	в этой	3	4
33	в нем	3	4
34	том что	7	4
35	что я	2	4
36	и что	2	4
37	но и	10	4
38	я люблю	1	4
39	и даже	8	4
40	прежде всего	4	4
41	так же	1	4
42	но это	3	4
43	этот образ	1	4
44	что в	4	4
45	и все	1	4
46	то что	7	4
47	что образ	1	3
48	в мире	9	3
49	и он	3	3
50	своего рода	13	3
51	отнюдь не	4	3
52	как в	1	3
53	в своем	1	3
54	и как	3	3
55	все эти	1	3
56	при этом	6	3
57	то есть	5	3
58	тем самым	3	3
59	с ее	2	3
60	и сам	2	3
61	мог бы	1	3
62	жизнь и	1	3
63	с ним	2	3
64	на страницах	1	3
65	в его	4	3
66	один из	4	3
67	уже в	2	3
68	для него	4	3
69	в конце	2	3
70	один в	1	3
71	как это	2	3
72	в основном	1	3
73	если б	1	2
74	в первом	1	2
75	и до	2	2
76	и за	2	2
77	из своих	2	2
78	никогда не	3	2
79	и то	3	2
80	он был	1	2
81	и личность	1	2
82	столь же	5	2
83	автора но	1	2
84	отличие от	1	2
85	не просто	1	2
86	так что	4	2
87	и я	1	2
88	о жизни	1	2
89	она как	1	2
90	я к	1	2
91	в самом	1	2
92	то и	3	2
93	он не	5	2
94	его в	1	2
95	в глазах	3	2
96	я все	3	2
97	в это	1	2
98	нет в	2	2
99	с тем	2	2
100	сам говорит	1	2
101	не мог	1	2
102	в ходе	1	2
103	роман о	1	2
104	длинные и	1	2
105	в отличие	1	2
106	одном из	2	2
107	но эта	1	2
108	права на	3	2
109	не в	4	2
110	что этот	1	2
111	но они	1	2
112	одна из	5	2
113	я буду	1	2
114	не имеет	1	2
115	в русском	2	2
116	не могут	1	2
117	он и	2	2
118	к тому	1	2
119	в ее	2	2
120	данном случае	3	2
121	не за	1	2
122	еще в	4	2
123	как у	1	2
124	ничего не	3	2
125	о том	2	2
126	времени в	1	2
127	что и	2	2
128	в том	10	2
129	который в	1	2
130	уже не	2	2
131	не так	2	2
132	в одном	2	2
133	друг друга	2	2
134	не случайно	4	2
135	тем что	4	2
136	писателя и	1	2
137	как же	1	2
138	говорит о	1	2
139	до конца	2	2
140	с первого	1	2
141	я тебе	1	2
142	для искусства	1	2
143	в данном	3	2
144	ненависть к	1	2
145	от всего	1	2
146	потому что	2	2
147	личности и	1	2
148	со мной	4	2
149	в частности	4	2
150	русской литературы	1	2
151	в таком	1	2
152	эта новая	1	1
153	я и	4	1
154	ту же	2	1
155	и т	2	1
156	одним из	3	1
157	в сфере	4	1
158	с жизнью	1	1
159	и др	3	1
160	самом деле	1	1
161	это и	1	1
162	перед читателем	1	1
163	на деле	1	1
164	о нет	1	1
165	от самого	1	1
166	поэтому он	1	1
167	исходит из	1	1
168	должна быть	1	1
169	над которым	1	1
170	той же	2	1
171	не меньшей	1	1
172	феномен который	1	1
173	что уже	1	1
174	в становлении	1	1
175	и усиливает	1	1
176	исследования в	1	1
177	не вполне	2	1
178	на себя	2	1
179	ему в	1	1
180	в разговоре	3	1
181	в виду	2	1
182	начала в	1	1
183	в ней	4	1
184	представляет собой	2	1
185	в чем	1	1
186	во всех	3	1
187	но не	5	1
188	но как	2	1
189	что роман	1	1
190	в противовес	3	1
191	свою жизнь	1	1
192	а он	1	1
193	тогда как	9	1
194	за пределы	1	1
195	это самое	1	1
196	в истории	2	1
197	писателя в	1	1
198	вот я	1	1
199	мысль о	1	1
200	и наконец	2	1
201	вызова и	1	1
202	и хотя	1	1
203	то в	2	1
204	со своей	2	1
205	с творческой	2	1
206	право на	3	1
207	жизнь как	2	1
208	как он	2	1
209	жизни ее	1	1
210	на противоположной	1	1
211	в переводе	1	1
212	перестает быть	3	1
213	и еще	2	1
214	не к	2	1
215	в россии	2	1
216	знакомые черты	1	1
217	и по	1	1
218	на этом	2	1
219	на свете	2	1
220	таким образом	1	1
221	здесь мы	1	1
222	а затем	2	1
223	за то	2	1
224	им как	1	1
225	в другом	3	1
226	единственное что	1	1
227	в финале	1	1
228	в ход	1	1
229	полноте и	1	1
230	быть не	2	1
231	характерный для	2	1
232	ты мне	1	1
233	такое соединение	1	1
234	но уже	2	1
235	в них	2	1
236	он же	1	1
237	что ему	1	1
238	а за	2	1
239	всю жизнь	1	1
240	с дороги	1	1
241	которой он	1	1
242	ведет к	1	1
243	в развитии	1	1
244	и прямо	1	1
245	в своей	1	1
246	в такой	2	1
247	где мы	1	1
248	людям в	1	1
249	знает и	1	1
250	не столько	3	1
251	государства но	1	1
252	этого чувства	1	1
253	сам же	1	1
254	и вот	1	1
255	но он	1	1
256	тем не	2	1
257	того кто	1	1
258	тому что	1	1
259	не менее	6	1
260	века а	1	1
261	вплоть до	3	1
262	не раз	2	1
263	на работу	1	1
264	на земле	1	1
265	того как	1	1
266	шагать по	1	1
267	ненависти в	1	1
268	но только	2	1
269	только не	1	1
270	и всегда	1	1
271	в отношениях	1	1
272	и притом	1	1
273	по своей	1	1
274	для нас	2	1
275	и теперь	1	1
