N	2gram	Trubetskoy_1	Marksizm
1	может быть	16	28
2	и пр	1	25
3	и в	23	19
4	и не	8	19
5	как бы	10	19
6	не может	17	18
7	в процессе	2	18
8	точки зрения	13	17
9	и его	1	16
10	то же	4	16
11	как мы	2	15
12	в этом	12	15
13	таким образом	31	14
14	лишь в	5	14
15	в сущности	2	14
16	связи с	4	13
17	с точки	8	13
18	не только	7	13
19	вовсе не	2	11
20	в нем	3	11
21	если бы	8	11
22	не в	8	10
23	так и	10	10
24	но и	9	10
25	том что	19	10
26	как и	9	9
27	самом деле	12	9
28	для него	2	9
29	на почве	3	9
30	в основе	2	9
31	при этом	9	9
32	а не	1	9
33	отношению к	9	8
34	отнюдь не	2	8
35	же время	2	8
36	по отношению	9	8
37	в то	6	8
38	только в	6	8
39	с его	1	8
40	в связи	3	7
41	прежде всего	3	7
42	и для	6	7
43	его в	5	7
44	в таком	4	7
45	на самом	7	7
46	в том	30	7
47	никогда не	4	7
48	одна из	2	7
49	но в	4	7
50	и более	2	7
51	и все	7	6
52	социальной группы	1	6
53	хотя бы	4	6
54	того чтобы	8	6
55	во всех	10	6
56	между тем	12	6
57	к тому	8	6
58	для того	8	6
59	мы уже	4	6
60	ни было	2	6
61	в самом	8	6
62	мы можем	6	6
63	быть и	5	6
64	если мы	4	6
65	и следовательно	1	6
66	и как	1	6
67	же самое	1	6
68	в свою	2	6
69	все же	13	5
70	и того	3	5
71	так же	8	5
72	к нему	2	5
73	в их	4	5
74	совершенно не	3	5
75	на этой	2	5
76	в его	5	5
77	то ни	3	5
78	смысле слова	1	5
79	свою очередь	2	5
80	того же	9	5
81	или иной	1	5
82	лишь на	1	5
83	этого слова	2	5
84	и на	6	5
85	тем более	3	5
86	самого начала	1	5
87	с самого	1	5
88	к этому	5	5
89	в данном	3	5
90	в себе	5	4
91	бы в	3	4
92	все те	1	4
93	бы то	2	4
94	для себя	2	4
95	и ее	2	4
96	и их	5	4
97	должна быть	5	4
98	на то	9	4
99	вполне понятно	1	4
100	в отношении	1	4
101	смысле этого	1	4
102	того что	6	4
103	тем же	2	4
104	это не	3	4
105	мы видели	2	4
106	то что	18	4
107	ведь если	1	4
108	а как	1	4
109	речь в	1	4
110	следует что	2	4
111	русском языке	1	4
112	одного и	3	4
113	сказать что	1	4
114	ничего не	1	4
115	с ними	2	4
116	и т.д	4	4
117	из одного	2	4
118	и тем	1	4
119	к пониманию	1	4
120	тому что	2	4
121	является лишь	1	4
122	что он	7	4
123	было бы	3	4
124	конечно не	3	4
125	только на	1	4
126	все эти	19	3
127	еще не	5	3
128	одно и	1	3
129	во всяком	2	3
130	в другом	2	3
131	мы сказали	3	3
132	исходит из	1	3
133	одной стороны	2	3
134	не будет	5	3
135	не к	1	3
136	не было	2	3
137	бы он	1	3
138	сих пор	8	3
139	до сих	8	3
140	социальной среды	1	3
141	с другими	1	3
142	в своей	1	3
143	они являются	1	3
144	в котором	2	3
145	здесь мы	1	3
146	конечно в	2	3
147	в корне	1	3
148	с этим	11	3
149	что и	7	3
150	высшей степени	1	3
151	только что	3	3
152	в этих	3	3
153	мысли и	1	3
154	не имеет	1	3
155	отличие от	3	3
156	в качестве	1	3
157	у нас	3	3
158	каждый раз	1	3
159	и от	5	3
160	да и	1	3
161	в высшей	1	3
162	он не	3	3
163	в истории	3	3
164	должно быть	4	3
165	той же	1	3
166	вступить в	1	3
167	в этой	6	3
168	могут быть	1	3
169	с одной	3	3
170	а в	3	3
171	в различных	1	3
172	столь же	5	3
173	о том	7	3
174	и до	3	3
175	в ней	3	3
