N	2gram	Medvedev_I_1	Komedia
1	и в	1	26
2	и не	2	14
3	так и	1	12
4	в этом	2	10
5	если бы	1	9
6	что в	2	9
7	того чтобы	1	6
8	для того	1	5
9	и с	3	5
10	более чем	1	4
11	в целом	1	4
12	это было	1	4
13	в них	1	4
14	что для	1	4
15	тех же	1	3
16	того же	1	3
17	по отношению	1	3
18	первую очередь	1	3
19	и сам	1	3
20	после смерти	1	3
21	себя в	1	3
22	тем что	1	3
23	в первую	1	3
24	отношению к	1	3
25	все это	1	3
26	а в	1	3
27	жизни и	1	3
28	по поводу	1	3
29	стали бы	1	2
30	бы искать	1	2
31	говорить о	1	2
32	мы стали	1	2
33	от этого	1	2
34	он не	2	2
35	и еще	1	2
36	с другой	1	2
37	бы в	1	2
38	напрасно мы	1	2
39	и чрезвычайно	1	1
40	не слишком	1	1
41	а для	1	1
42	все эти	1	1
43	в художественном	1	1
44	стороны он	1	1
45	это был	1	1
46	следующим образом	1	1
47	от нее	1	1
48	а по	1	1
49	автора и	1	1
50	в эту	1	1
51	и без	1	1
52	же это	1	1
53	стало быть	1	1
54	только для	1	1
55	нам в	1	1
56	и очень	1	1
57	как о	1	1
58	в основе	1	1
59	никогда не	1	1
60	ничего не	2	1
61	автор не	1	1
62	должен быть	2	1
63	то она	1	1
64	произведения и	1	1
65	а также	1	1
66	и та	1	1
67	то и	1	1
68	причина того	1	1
69	не так	1	1
70	для него	1	1
71	могло бы	1	1
72	его цель	1	1
73	а с	1	1
74	что последний	1	1
75	другой стороны	1	1
76	по существу	1	1
77	оба они	2	1
78	бы столь	1	1
79	бы его	1	1
