N	2gram	Voloshinov_1	KulturaY
1	и в	3	24
2	точки зрения	1	14
3	может быть	1	13
4	и не	1	12
5	в его	1	12
6	не только	1	10
7	язык как	1	9
8	с точки	1	9
9	если бы	1	9
10	то же	1	8
11	в языке	1	8
12	а не	1	8
13	не может	4	7
14	не менее	1	7
15	связи с	1	7
16	бы в	1	7
17	в ней	1	6
18	но и	1	6
19	к тому	1	5
20	языка как	1	5
21	и на	1	4
22	из этих	1	4
23	один из	2	4
24	несмотря на	1	3
25	тому что	1	3
26	социального общения	2	3
27	в особенности	1	3
28	в лингвистике	1	3
29	в системе	1	3
30	на месте	1	2
31	если в	2	2
32	так называемая	1	2
33	и социальной	1	2
34	в каждом	1	2
35	в то	1	2
36	же время	1	2
37	и должно	1	2
38	на примере	1	2
39	общения и	2	2
40	по своим	1	2
41	смысл и	1	2
42	и все	1	2
43	бы на	1	2
44	культурной истории	1	2
45	тех же	1	1
46	удовлетворить не	1	1
47	и больше	1	1
48	можно и	1	1
49	истории русского	1	1
50	ни один	1	1
51	в анализе	1	1
52	во второй	1	1
53	языка было	1	1
54	все права	1	1
55	поэтики и	1	1
56	может и	1	1
57	понятно не	1	1
58	конечно и	1	1
59	для него	1	1
60	речь и	1	1
61	не из	1	1
62	от контекста	1	1
63	и лингвистики	1	1
