N	2gram	Trubetskoy_1	Myslijsy
1	потому что	5	46
2	то есть	1	34
3	в том	17	32
4	и в	14	30
5	может быть	9	28
6	то же	11	23
7	не только	9	21
8	только в	5	21
9	для нас	2	20
10	но и	10	19
11	того что	3	18
12	том что	9	18
13	то что	13	18
14	не есть	3	17
15	что в	4	17
16	в себе	9	16
17	по себе	2	16
18	и проч	1	16
19	и не	19	15
20	не в	4	15
21	в сознании	3	15
22	а не	2	15
23	таким образом	11	14
24	что и	3	13
25	так как	4	13
26	если бы	6	12
27	вместе с	4	12
28	а в	5	12
29	точно так	2	12
30	так и	1	11
31	что оно	3	11
32	этого слова	1	11
33	в этом	17	10
34	как и	4	10
35	в то	10	10
36	и что	2	10
37	мы не	1	9
38	только тогда	1	9
39	из этих	3	9
40	в нем	5	9
41	было бы	5	9
42	тогда когда	4	9
43	между тем	5	9
44	для него	6	9
45	и то	4	8
46	в ней	2	8
47	в самом	3	8
48	от того	4	8
49	что не	1	8
50	есть не	1	7
51	но не	4	7
52	с тем	6	7
53	и без	1	7
54	тем самым	2	7
55	тем что	3	7
56	как мы	1	7
57	так что	2	7
58	вовсе не	1	7
59	с другой	1	7
60	смысле этого	1	7
61	к тому	7	7
62	то это	3	6
63	с этим	2	6
64	с ним	2	6
65	и теперь	1	6
66	указывает на	2	6
67	те же	1	6
68	что он	6	6
69	уже не	2	6
70	то и	1	6
71	из них	3	6
72	а потому	5	6
73	зависит от	2	6
74	душевной жизни	1	6
75	не может	22	6
76	что только	2	6
77	но это	2	6
78	на деле	1	5
79	и т	3	5
80	еще не	3	5
81	по отношению	2	5
82	по которому	1	5
83	в своем	6	5
84	и как	3	5
85	не следует	1	5
86	к одному	1	5
87	заключает в	1	5
88	с другими	1	5
89	и тем	2	5
90	по крайней	1	5
91	вместе и	1	5
92	же время	10	5
93	к ней	1	5
94	как на	8	5
95	не могут	4	5
96	не менее	1	5
97	мысль о	1	5
98	крайней мере	1	5
99	очевидно что	1	5
100	есть только	1	5
101	отношению к	1	5
102	должно быть	3	5
103	говоря о	2	4
104	тем же	1	4
105	от своих	1	4
106	столь же	1	4
107	не было	3	4
108	что это	3	4
109	бы не	1	4
110	он не	5	4
111	не к	2	4
112	и по	3	4
113	в один	1	4
114	мысли что	1	4
115	и при	6	4
116	в котором	2	4
117	для того	6	4
118	на это	2	4
119	и это	1	4
120	в его	4	4
121	один из	1	4
122	все равно	1	4
123	себя и	5	4
124	что для	3	4
125	для человека	1	4
126	если не	2	4
127	и потому	3	4
128	все это	6	4
129	и от	2	4
130	тем более	1	4
131	мы должны	7	4
132	была бы	1	4
133	все что	4	4
134	и есть	2	3
135	говорить о	3	3
136	оно есть	1	3
137	бы ни	2	3
138	и на	5	3
139	а только	1	3
140	более или	4	3
141	не можем	2	3
142	при этом	5	3
143	смотреть как	1	3
144	в силу	2	3
145	на свое	1	3
146	возможно только	1	3
147	не будет	7	3
148	что все	3	3
149	его в	4	3
150	этого не	2	3
151	и тогда	2	3
152	или менее	4	3
153	как бы	4	3
154	представить себе	2	3
155	место в	2	3
156	что при	1	3
157	тем не	1	3
158	тому что	2	3
159	или что	1	3
160	на него	1	3
161	образом в	1	3
162	того чтобы	8	3
163	могут быть	1	3
164	для себя	2	3
165	свою очередь	1	3
166	из двух	1	3
167	или в	3	3
168	именно вследствие	1	3
169	быть может	1	3
170	со стороны	4	3
171	время в	2	3
172	никак не	1	3
173	можно сказать	1	3
174	к нему	2	3
175	на которой	2	3
176	же и	1	3
177	только на	2	3
178	в начале	2	3
179	за ним	1	3
