N	2gram	Nazirov_Tv_2	OGranits
1	и в	20	13
2	и его	9	12
3	прежде всего	8	9
4	может быть	8	8
5	не может	7	8
6	и не	9	8
7	в его	10	7
8	и их	1	7
9	только в	2	6
10	как бы	11	6
11	не только	13	6
12	то что	3	6
13	таким образом	10	6
14	художественного произведения	1	5
15	все же	5	5
16	и наконец	2	5
17	но ведь	2	5
18	в поэзии	1	5
19	метода в	1	5
20	в процессе	2	5
21	мы не	4	4
22	произведения как	1	4
23	на фоне	1	4
24	но в	4	4
25	то же	7	4
26	лишь в	1	4
27	в сознании	1	4
28	в своей	6	4
29	было бы	1	4
30	все это	6	4
31	не является	3	4
32	в каждом	1	4
33	вряд ли	1	3
34	связана с	1	3
35	в ее	2	3
36	самом деле	2	3
37	в пределах	1	3
38	так и	6	3
39	г в	1	3
40	экспрессии в	1	3
41	говорить о	2	3
42	в их	3	3
43	по отношению	3	3
44	общего с	1	3
45	с этим	1	3
46	в которой	2	3
47	в себе	3	3
48	к одному	1	3
49	в одном	2	3
50	так как	3	3
51	но и	8	3
52	как и	6	3
53	точку зрения	2	3
54	что же	1	3
55	не в	4	3
56	и для	1	3
57	никогда не	11	3
58	превращается в	3	3
59	отношению к	3	3
60	не столько	2	3
61	что в	7	3
62	в искусстве	2	3
63	ничего общего	1	3
64	для себя	1	2
65	и др	3	2
66	только его	1	2
67	роль в	2	2
68	мы уже	1	2
69	к анализу	2	2
70	мог бы	1	2
71	если бы	4	2
72	и делают	1	2
73	и стиль	1	2
74	с самого	1	2
75	и должно	1	2
76	в чем	4	2
77	мы понимаем	1	2
78	между тем	3	2
79	нуждается в	1	2
80	что они	4	2
81	чем же	1	2
82	как в	4	2
83	в которую	2	2
84	в этом	8	2
85	в том	8	2
86	мы видим	4	2
87	тот же	1	2
88	с ними	2	2
89	или иного	1	2
90	с г	1	2
91	и отчасти	3	2
92	в этот	2	2
93	в целом	6	2
94	все эти	4	2
95	с одной	1	2
96	думать что	1	2
97	уже в	2	2
98	в нем	3	2
99	при этом	8	2
100	школы и	1	2
101	для него	3	2
102	в другом	1	2
103	вовсе не	2	2
104	тем что	3	2
105	в них	1	2
106	в области	1	2
107	с другой	2	2
108	в самом	3	2
109	входит в	1	2
110	того или	1	2
111	соответствии с	4	2
112	более того	2	2
113	а не	6	2
114	другой стороны	2	2
115	не мог	1	2
116	несмотря на	1	2
117	в связи	1	2
118	том что	4	2
119	в г	1	2
120	от своего	1	2
121	и ее	2	2
122	так же	5	2
123	но такое	1	2
124	своего рода	3	2
125	в течение	1	2
126	которой является	1	2
127	с этой	3	2
128	не менее	2	2
129	самого начала	1	2
130	не имеет	1	2
131	в книге	1	2
132	в структуре	1	2
133	от всех	1	2
134	и является	1	2
135	а в	4	2
136	еще в	1	2
137	в целях	1	2
138	нет ничего	3	2
139	героя и	2	2
140	и к	1	2
141	могут быть	2	2
142	в своих	3	2
143	к тому	1	2
144	ну что	1	1
145	и это	3	1
146	можно говорить	1	1
147	одним из	3	1
148	же как	3	1
149	своего развития	1	1
150	человека и	3	1
151	и через	3	1
152	в виду	1	1
153	как известно	2	1
154	на основе	1	1
155	только потому	1	1
156	это и	1	1
157	и есть	2	1
158	в себя	1	1
159	ту же	1	1
160	включает в	2	1
161	и до	1	1
162	он всегда	2	1
163	вспомнить о	1	1
164	едва ли	2	1
165	в образе	3	1
166	можно было	1	1
167	особенно в	2	1
168	отождествляется с	1	1
169	когда в	1	1
170	вводит свою	1	1
171	и о	1	1
172	но у	4	1
173	в синтаксисе	1	1
174	на место	1	1
175	и всякого	1	1
176	быть может	3	1
177	по себе	1	1
178	по мере	1	1
179	на себя	1	1
180	сводится к	2	1
181	событий и	1	1
182	то это	1	1
183	приближается к	1	1
184	другом месте	1	1
185	в мире	5	1
186	он пытается	1	1
187	и он	2	1
188	всем протяжении	1	1
189	с большим	3	1
190	там нет	2	1
191	и что	2	1
192	почему же	1	1
193	еще не	5	1
194	они считают	1	1
195	нам представляется	1	1
196	столь же	1	1
197	в различных	1	1
198	в конечном	1	1
199	то мы	1	1
200	но не	5	1
201	а у	1	1
202	то он	1	1
203	переходит в	1	1
204	сознания не	1	1
205	может и	1	1
206	отношение к	1	1
207	тут же	2	1
208	сопоставляется с	1	1
209	нет и	2	1
210	или иное	1	1
211	и достоевский	4	1
212	значение имеет	1	1
213	на то	1	1
214	в художественной	1	1
215	и эстетического	1	1
216	в истории	2	1
217	в одной	3	1
218	не зная	1	1
219	и интересны	1	1
220	то или	1	1
221	один из	3	1
222	князь мышкин	6	1
223	и как	1	1
224	и превращается	1	1
225	его к	1	1
226	одной из	3	1
227	этот вопрос	3	1
228	что он	6	1
229	мы определяем	1	1
230	есть его	1	1
231	который в	1	1
232	или же	1	1
233	в выражении	1	1
234	чуть ли	1	1
235	так в	2	1
236	замысла и	1	1
237	момент как	1	1
238	в этой	5	1
239	с их	1	1
240	в дальнейшем	4	1
241	элементов в	1	1
242	на всем	1	1
243	литературы в	1	1
244	не можем	1	1
245	мы чувствуем	1	1
246	и у	2	1
247	если он	5	1
248	положение что	1	1
249	наук в	1	1
250	и если	2	1
251	этот момент	1	1
252	является не	1	1
253	что она	4	1
254	не из	1	1
255	в статье	2	1
256	или даже	2	1
257	и других	2	1
258	о стиле	1	1
259	его и	2	1
260	конечном счете	1	1
261	в виде	2	1
262	переходит от	1	1
263	в открытой	1	1
264	в конце	6	1
265	школы все	1	1
