N	3gram	Potebnia_M_1	EvropaiC
1	в том что	13	16
2	до сих пор	1	12
3	по отношению к	13	10
4	с точки зрения	3	8
5	а между тем	3	7
6	на самом деле	1	7
7	более или менее	1	7
8	на то что	1	7
9	друг от друга	2	6
10	что касается до	1	6
11	для того чтобы	2	6
12	лишь в том	1	5
13	с другой стороны	5	4
14	не может быть	9	4
15	о том что	1	4
16	тем не менее	6	4
17	и того же	2	3
18	как сказано выше	1	3
19	одного и того	2	3
20	так же как	1	3
21	в связи с	1	3
22	таким образом в	1	3
23	заключается в том	1	3
24	в том виде	1	2
25	и может быть	2	2
26	не в состоянии	1	2
27	но так как	1	2
28	в том и	2	2
29	только то что	1	2
30	бы то ни	2	2
31	заключает в себе	2	2
32	то же время	3	2
33	то ни было	1	2
34	с одной стороны	3	2
35	таким же образом	1	2
36	во всяком случае	1	2
37	что несмотря на	1	2
38	между этими двумя	1	2
39	как и в	2	2
40	в свою очередь	4	2
41	но все же	1	2
42	не более как	3	2
43	том что все	1	2
44	в то же	3	2
45	и в том	3	2
46	потому что как	2	1
47	том что при	1	1
48	из этого круга	1	1
49	а следовательно и	1	1
50	не во всех	1	1
51	того что в	1	1
52	психологической точки зрения	1	1
53	дело в том	2	1
54	а не в	1	1
55	и для самого	1	1
56	это было бы	1	1
57	не говоря уже	1	1
58	но при этом	1	1
59	согласно с этим	2	1
60	так что в	2	1
61	никто не может	1	1
62	имеют между собою	1	1
63	случаев в которых	1	1
64	между тем в	1	1
65	только в том	6	1
66	это не так	1	1
67	говоря уже о	1	1
68	не были бы	1	1
69	друг на друга	1	1
70	нет ничего общего	1	1
71	между тем как	1	1
72	из того что	1	1
73	том и другом	2	1
74	точно так же	1	1
75	видеть во всех	1	1
76	народа выше мы	1	1
77	по крайней мере	2	1
78	зависят от самого	1	1
79	но все они	1	1
80	и в жизни	1	1
81	прямого отношения к	1	1
82	что во всех	1	1
83	во внимание что	2	1
84	уже о том	1	1
85	что все они	1	1
86	может быть не	1	1
87	что входит в	1	1
88	выше мы видели	1	1
89	на задний план	1	1
90	с психологической точки	1	1
91	вполне отрешиться от	1	1
92	точке зрения по	1	1
93	в общих чертах	1	1
94	потому что при	1	1
95	мы видели выше	1	1
96	это не более	1	1
97	в его душе	1	1
98	и с этой	2	1
99	что в таком	2	1
100	не в том	4	1
101	столь же мало	1	1
102	от того будет	1	1
103	если бы при	1	1
104	на другую то	1	1
105	в одно целое	1	1
106	во всех их	1	1
107	того будет ли	1	1
108	и той же	3	1
109	и самого себя	1	1
110	все то что	2	1
111	именно в том	1	1
112	а так как	3	1
113	и таким образом	1	1
114	а в том	3	1
115	и все же	1	1
116	том виде в	1	1
117	что с течением	1	1
118	не есть нечто	1	1
119	но с другой	2	1
120	таким образом мы	1	1
121	в то время	1	1
122	разница лишь в	1	1
123	та же история	1	1
124	как бы ни	2	1
125	смысле этого слова	1	1
126	уже и без	1	1
127	и все это	1	1
128	с самого начала	3	1
129	между ними нет	1	1
130	может быть признана	1	1
131	не только не	2	1
132	при этом не	1	1
133	по его мнению	4	1
134	не менее в	1	1
135	несмотря на все	1	1
136	мы видели что	1	1
137	которые могут быть	1	1
138	не может вполне	1	1
139	к тому что	2	1
140	важную роль в	1	1
141	одной и той	3	1
142	но на деле	2	1
143	как мы видели	1	1
144	выйти из этого	1	1
145	что так как	1	1
146	только тогда когда	4	1
