N	2gram	Berdyaev_V_1	Sovremen
1	в результате	1	5
2	в этом	4	5
3	мы не	2	4
4	как бы	5	4
5	все эти	3	3
6	в целом	1	3
7	и мы	3	3
8	зависимости от	1	3
9	у нас	1	2
10	на этом	1	2
11	в одном	1	2
12	все же	1	2
13	и в	16	2
14	но в	3	2
15	в третьем	1	2
16	все это	5	2
17	тот же	3	2
18	и все	4	2
19	прежде всего	2	2
20	не только	2	2
21	в виде	1	2
22	наконец не	1	2
23	то же	1	2
24	не в	3	2
25	мы видим	1	2
26	уже на	2	1
27	и не	20	1
28	как мы	1	1
29	в процессе	1	1
30	таким же	1	1
31	мы будем	1	1
32	для их	2	1
33	и они	3	1
34	же они	1	1
35	роль в	1	1
36	их в	3	1
37	а в	2	1
38	в следующих	1	1
39	в своих	1	1
40	что уже	1	1
41	и свою	1	1
42	в которую	1	1
43	и путем	1	1
44	с другой	1	1
45	природы и	1	1
46	указать на	1	1
47	но все	1	1
48	как и	4	1
49	в которой	1	1
50	она не	1	1
51	еще не	8	1
52	жизни и	3	1
53	один из	2	1
54	его с	1	1
55	их на	1	1
56	он осуществляет	1	1
57	и потому	7	1
58	это как	1	1
59	ничего не	1	1
60	так же	1	1
61	для нас	2	1
62	что в	3	1
63	а не	7	1
64	окажется всего	1	1
65	этот третий	1	1
66	может быть	1	1
67	главах мы	1	1
68	видим что	1	1
69	а потом	1	1
70	все равно	2	1
71	часто бывают	1	1
72	следующих главах	1	1
73	кто же	1	1
74	но часто	1	1
75	в том	3	1
76	основной вопрос	1	1
77	в первый	3	1
78	это не	2	1
79	уже в	1	1
80	конечно не	2	1
81	одна из	2	1
82	и от	1	1
83	в этой	1	1
84	но это	3	1
85	так как	9	1
86	у него	1	1
87	что это	1	1
88	теперь только	2	1
89	на части	1	1
90	в нем	4	1
91	значение в	1	1
92	на которых	1	1
93	iii наконец	1	1
94	и всегда	1	1
95	и по	1	1
96	в конце	3	1
97	они не	1	1
98	том что	2	1
99	не могут	2	1
100	в своем	1	1
101	и будет	3	1
102	на котором	1	1
