N	2gram	Bakhtin_Fr_1	VelikijI
1	и не	22	20
2	и в	65	16
3	так как	6	9
4	то что	3	9
5	еще не	6	8
6	а не	1	7
7	и потому	10	7
8	к людям	1	6
9	человека и	1	6
10	но и	10	5
11	того что	2	5
12	хотя и	2	5
13	все это	9	5
14	как бы	22	5
15	говорить о	1	4
16	мира сего	1	4
17	в его	9	4
18	мы хотим	1	4
19	в этом	15	4
20	что он	3	4
21	потому что	5	4
22	в нем	13	4
23	так и	10	4
24	что все	1	4
25	что не	2	4
26	как и	5	4
27	что мы	2	4
28	в ней	6	4
29	и все	5	4
30	все что	1	4
31	от этого	1	3
32	людей он	1	3
33	нас и	1	3
34	хотя бы	1	3
35	лишь в	1	3
36	в чем	2	3
37	с его	5	3
38	во всех	9	3
39	что и	1	3
40	в том	16	3
41	но в	14	3
42	в вопросе	1	3
43	все эти	10	3
44	и вечной	1	3
45	и они	1	3
46	за ним	1	3
47	они в	2	3
48	в конце	1	3
49	их в	2	3
50	в своей	5	3
51	в жизни	4	3
52	в них	5	3
53	не было	1	3
54	в этих	2	3
55	нет ничего	3	3
56	не в	4	3
57	но это	3	3
58	никогда не	6	3
59	их от	1	3
60	превращается в	5	3
61	и для	2	3
62	к тому	2	3
63	жизни и	7	3
64	что в	3	3
65	людей в	1	3
66	оно не	1	3
67	а между	1	2
68	и это	2	2
69	нем нет	1	2
70	того чтобы	1	2
71	не имел	1	2
72	от своей	1	2
73	по которым	1	2
74	и сам	1	2
75	можно было	1	2
76	мы не	1	2
77	и новые	1	2
78	с ним	3	2
79	и во	3	2
80	страшный и	1	2
81	между тем	5	2
82	нет и	2	2
83	которые не	1	2
84	его к	2	2
85	только в	7	2
86	в себя	3	2
87	конечно не	1	2
88	уже не	3	2
89	не только	10	2
90	на этих	1	2
91	стало возможным	1	2
92	его и	1	2
93	превращаются в	1	2
94	для него	5	2
95	земли и	5	2
96	веков мы	1	2
97	не к	2	2
98	не могли	1	2
99	и вечно	1	2
100	людей не	1	2
101	вот почему	1	2
102	тем что	1	2
103	это не	3	2
104	истории и	2	2
105	и люди	1	2
106	прежде всего	11	2
107	мир от	2	2
108	мы и	3	2
109	один из	1	2
110	вопросе о	1	2
111	мира в	3	2
112	не могут	3	2
113	которой они	1	2
114	значения и	1	2
115	мир и	3	2
116	что было	1	2
117	да и	2	2
118	одна из	1	2
119	было еще	2	2
120	уже на	1	2
121	том что	6	2
122	для нас	4	2
123	полного и	1	2
124	от него	2	2
125	в форме	3	2
126	они и	1	2
127	до того	1	2
128	людей и	1	2
129	но не	2	2
130	в духе	8	2
131	могут быть	2	2
132	понимает и	1	2
133	во всяком	1	2
134	всегда в	3	1
135	от этой	1	1
136	эта идея	1	1
137	речь идет	1	1
138	как мы	6	1
139	в виду	3	1
140	в ее	3	1
141	старых форм	1	1
142	и говорит	1	1
143	и до	4	1
144	роль в	2	1
145	он всегда	1	1
146	полноту своего	1	1
147	его связь	2	1
148	среди людей	1	1
149	мы будем	3	1
150	то же	1	1
151	их и	1	1
152	от всякой	1	1
153	с универсальным	1	1
154	в результате	1	1
155	это только	1	1
156	которого они	2	1
157	самой жизни	3	1
158	и вообще	3	1
159	не была	2	1
160	с радостью	1	1
161	который был	2	1
162	находится в	1	1
163	и начало	2	1
164	реакция на	1	1
165	и ее	1	1
166	главах мы	1	1
167	целое и	1	1
168	в их	4	1
169	и на	11	1
170	он был	2	1
171	людей как	1	1
172	конечно это	1	1
173	жизни с	1	1
174	и единый	1	1
175	к нему	3	1
176	но как	3	1
177	от них	1	1
178	с которыми	1	1
179	менее всего	3	1
180	а потому	1	1
181	но нет	1	1
182	бы в	1	1
183	не просто	3	1
