N	3gram	Vinokur_St_2	slovoVRo
1	и т п	3	33
2	в отличие от	2	12
3	в этом случае	1	6
4	в значительной степени	2	6
5	по отношению к	1	4
6	в зависимости от	1	4
7	то же время	1	4
8	но все же	2	4
9	в то же	1	4
10	в отношении к	1	4
11	в том что	16	4
12	с точки зрения	2	3
13	в этом отношении	9	3
14	так и в	2	3
15	на границе между	1	2
16	в свою очередь	1	2
17	более или менее	2	2
18	и в особенности	1	2
19	до сих пор	5	2
20	тот факт что	4	2
21	во всяком случае	3	2
22	т п в	1	2
23	в связи с	1	2
24	для того чтобы	5	2
25	и т д	6	2
26	том что она	1	1
27	в этом его	1	1
28	точка зрения на	1	1
29	в чем же	1	1
30	иметь в виду	3	1
31	и как он	1	1
32	том что в	2	1
33	независимо от степени	1	1
34	в том числе	1	1
35	том что он	5	1
36	он не только	1	1
37	или в другом	1	1
38	на всем его	1	1
39	но все это	2	1
40	говорит о том	1	1
41	этом его основное	1	1
42	сами по себе	2	1
43	что язык не	1	1
44	подчеркнуть что в	1	1
45	на то что	2	1
46	всем его протяжении	1	1
47	он никогда не	1	1
48	смысловые и экспрессивные	1	1
49	века и в	2	1
50	на этой почве	1	1
51	для него самого	2	1
52	в ту же	1	1
53	к сожалению не	1	1
54	xix века это	1	1
55	в той же	1	1
56	все это и	1	1
57	что он не	4	1
58	настолько велико что	1	1
59	не до конца	2	1
60	всяком случае не	2	1
61	лежащий в основе	1	1
62	при этом и	1	1
63	слово должно было	1	1
64	с другой стороны	3	1
65	тем не менее	2	1
66	о том что	11	1
67	очень похоже на	2	1
68	друг к другу	1	1
69	таким образом в	1	1
70	в этом жанре	1	1
71	с самого начала	3	1
72	не только не	2	1
73	в процессе работы	1	1
74	поэтому и в	1	1
75	речь идет о	3	1
76	нужно сказать что	1	1
77	что как раз	1	1
78	такое отношение к	1	1
79	но именно в	1	1
80	свое выражение в	2	1
81	как мы видели	1	1
