N	2gram	Trubetskoy_1	KFilosof
1	может быть	9	43
2	в его	4	39
3	в нем	5	31
4	не может	22	27
5	и не	19	26
6	по отношению	2	25
7	и в	14	22
8	в себе	9	21
9	отношению к	1	21
10	в котором	2	21
11	не есть	3	19
12	в ее	1	17
13	а не	2	17
14	только в	5	16
15	точки зрения	11	13
16	в этом	17	13
17	для него	6	12
18	ни в	2	12
19	и это	1	12
20	но не	4	12
21	все эти	2	11
22	к нему	2	11
23	не в	4	11
24	в своей	5	11
25	во всех	5	10
26	это не	1	10
27	с точки	9	10
28	в своем	6	10
29	все это	6	10
30	и все	1	9
31	его целом	1	9
32	и для	6	9
33	но и	10	9
34	для нее	2	9
35	в их	4	9
36	и есть	2	9
37	бытия и	1	9
38	как бы	4	9
39	жизни и	4	8
40	не было	3	8
41	со стороны	4	8
42	лишь в	3	8
43	если бы	6	8
44	было бы	5	8
45	вовсе не	1	7
46	в себя	1	7
47	то что	13	7
48	во всем	4	7
49	что и	3	7
50	должен быть	1	7
51	себя в	4	7
52	конечно не	5	7
53	и действительно	1	6
54	и их	1	6
55	совершенно не	2	6
56	в том	17	6
57	и только	5	6
58	в мире	4	6
59	отнюдь не	7	6
60	в действительном	1	6
61	уже не	2	6
62	он не	5	6
63	но это	2	6
64	все же	4	5
65	жизни в	5	5
66	как и	4	5
67	для себя	2	5
68	хотя бы	5	5
69	с ним	2	5
70	и единственный	1	5
71	но все	1	5
72	никогда не	5	5
73	но как	1	5
74	должно быть	3	5
75	но ведь	1	5
76	в основе	1	5
77	именно в	3	5
78	то же	11	5
79	ее и	1	5
80	но в	2	5
81	от своей	2	5
82	его в	4	5
83	не только	9	5
84	ко всему	1	5
85	все попытки	1	4
86	входит в	1	4
87	место в	2	4
88	при этом	5	4
89	не по	1	4
90	тем самым	2	4
91	нисколько не	2	4
92	а в	5	4
93	для нас	2	4
94	что в	4	4
95	здесь мы	1	4
96	между тем	5	4
97	могло бы	1	4
98	и т.д	4	4
99	ни было	1	4
100	к ним	1	4
101	отношению ко	1	4
102	в своих	6	4
103	время и	1	4
104	том что	9	4
105	с ними	1	4
106	и этот	3	3
107	еще не	3	3
108	в другом	3	3
109	и ни	3	3
110	людей и	2	3
111	могла бы	1	3
112	и тем	2	3
113	тогда когда	4	3
114	должна быть	2	3
115	не менее	1	3
116	что это	3	3
117	мы не	1	3
118	бы не	1	3
119	от него	2	3
120	того или	2	3
121	к чему	2	3
122	того что	3	3
123	а лишь	4	3
124	в корне	4	3
125	на самом	6	3
126	нет и	1	3
127	не быть	1	3
128	и весь	1	3
129	что не	1	3
130	но можно	1	3
131	в то	10	3
132	только с	2	3
133	для того	6	3
134	для которой	1	3
135	ясно что	2	3
136	данный момент	1	3
137	тем что	3	3
138	по своему	1	3
139	не должен	2	3
140	всех этих	3	3
141	от того	4	3
142	могут быть	1	3
143	о том	7	3
144	и на	5	3
145	себя не	1	3
146	культуры и	2	3
147	до конца	1	3
148	ближе к	1	3
149	быть и	2	3
150	или иного	2	3
151	а следовательно	3	3
152	самом деле	7	3
153	в ней	2	3
154	себе и	4	3
155	лишь при	5	3
156	в свою	1	3
157	и тот	2	2
158	войти в	1	2
159	может не	3	2
160	лишь постольку	1	2
161	т.е действительно	1	2
162	отношении к	2	2
163	и того	1	2
164	же время	10	2
165	вопрос о	5	2
166	говорить о	3	2
167	отказаться от	4	2
168	бы то	4	2
169	самого факта	1	2
170	от этого	1	2
171	принципиально не	1	2
172	прежде всего	8	2
173	не будет	7	2
174	а это	1	2
175	и себе	1	2
176	это есть	2	2
177	котором мы	1	2
178	так и	1	2
179	жизни является	1	2
180	и просто	1	2
181	с психическим	1	2
182	в виде	3	2
183	в жизни	1	2
184	быть не	1	2
185	в сознании	3	2
186	будет ли	2	2
187	его и	2	2
188	что эта	1	2
189	того чтобы	8	2
190	при условии	3	2
191	по себе	2	2
192	и мы	1	2
193	на нем	1	2
194	и постоянное	1	2
195	вследствие этого	1	2
196	во главе	2	2
197	то ни	4	2
198	которой он	4	2
199	с тем	6	2
200	ли это	4	2
201	что только	2	2
202	в принципе	1	2
203	были бы	2	2
204	выход из	1	2
205	сводится к	3	2
206	ибо нет	1	2
207	потому что	5	2
208	чтобы стать	1	2
209	и конечно	1	2
210	постольку поскольку	1	2
211	это только	2	2
212	чему не	1	2
213	он имеет	1	2
214	он может	1	2
215	это значило	1	2
216	именно на	2	2
217	мышление и	1	2
218	человек и	1	2
219	ни одна	3	2
220	дело в	1	2
221	в определенной	1	2
222	в единое	2	2
223	это и	1	2
224	и потому	3	2
225	вся эта	2	2
226	можно ли	3	2
227	к которой	6	2
228	тем не	1	2
229	что значит	1	2
230	не о	2	2
231	может иметь	1	2
232	для этого	3	2
233	ни у	1	2
234	этого слова	1	2
235	из нее	1	2
236	и других	1	2
237	в этой	4	2
238	значило бы	2	2
239	тому что	2	2
240	а по	1	2
241	поскольку она	1	2
242	себя как	2	2
243	и когда	1	2
244	в качестве	3	2
245	его действительно	1	2
246	себя и	5	2
247	нас важно	1	2
248	лишь с	1	2
249	если не	2	2
250	и эти	1	2
251	в области	2	2
252	его жизни	1	2
253	к этому	1	2
254	что он	6	2
255	как оно	1	2
256	и то	4	2
257	к себе	2	2
258	или иной	5	2
259	а с	2	2
260	и как	3	2
261	ни к	7	2
262	она могла	1	2
263	жизни но	1	2
264	но для	2	2
265	той или	3	2
266	в данном	7	2
267	если и	1	1
268	в которой	1	1
269	мысли что	1	1
270	и экономической	1	1
271	главным образом	3	1
272	где есть	1	1
273	приводит к	4	1
274	для решения	1	1
275	в значительной	3	1
276	на его	1	1
277	самого познания	1	1
278	особенно часто	1	1
279	и с	7	1
280	субъект но	1	1
281	самого себя	7	1
282	к той	2	1
283	и наконец	2	1
284	во всяком	9	1
285	то-то и	1	1
286	должны быть	1	1
287	наличности в	1	1
288	она будет	2	1
289	большинстве случаев	2	1
290	можно сказать	1	1
291	вместе с	4	1
292	исходит из	1	1
293	делает возможным	1	1
294	и индивидуальную	1	1
295	он есть	1	1
296	даже к	1	1
297	т.е к	2	1
298	связи между	1	1
299	или в	3	1
300	индивидуальным и	2	1
301	того же	1	1
302	и вопрос	1	1
303	на том	3	1
304	или не	1	1
305	понятие о	1	1
306	создать и	1	1
307	этих последних	1	1
308	отличается от	2	1
309	такому же	1	1
310	в один	1	1
311	не была	1	1
312	только от	1	1
313	этой задачи	1	1
314	только тогда	1	1
315	себя от	3	1
316	не к	2	1
317	но при	1	1
318	а то	1	1
319	к другим	1	1
320	смысл бытия	1	1
