1	может быть	23	45
2	в его	2	40
3	в нем	9	28
4	не может	12	27
5	и не	19	26
6	по отношению	2	26
7	в котором	4	24
8	и в	24	24
9	в себе	10	21
10	не есть	6	20
11	для меня	4	20
12	а не	18	17
13	и его	2	17
14	в ее	1	16
15	только в	11	16
16	в этом	8	14
17	ни в	1	12
18	и это	2	12
19	к нему	1	12
20	но не	12	12
21	не в	13	12
22	во всех	7	11
23	все эти	2	10
24	все это	2	10
25	в целом	3	10
26	от себя	2	10
27	это не	3	10
28	с точки	1	9
29	и есть	2	9
30	и для	3	9
31	как бы	9	9
32	но и	9	9
33	для него	10	8
34	если бы	11	8
35	было бы	13	8
36	лишь в	1	8
37	жизни и	1	8
38	в их	1	8
39	быть только	2	8
40	не было	6	8
41	из себя	2	8
42	и здесь	2	7
43	конечно не	1	7
44	уже не	4	7
45	и все	3	7
46	во всем	2	7
47	для нее	2	7
48	то что	20	7
49	со стороны	3	7
50	что и	11	7
51	должен быть	1	7
52	вовсе не	9	7
53	в единстве	1	7
54	в себя	2	7
55	и их	5	6
56	и действительно	1	6
57	должно быть	2	6
58	в том	18	6
59	он не	1	6
60	но это	3	6
61	и только	6	6
62	но все	2	5
63	то же	12	5
64	с ним	5	5
65	я могу	1	5
66	бы быть	3	5
67	место в	4	5
68	но в	4	5
69	никогда не	4	5
70	не имеет	6	5
71	его в	3	5
72	что я	1	5
73	именно в	1	5
74	но эта	1	5
75	ни одно	1	5
76	для себя	1	5
77	его как	1	5
78	там где	4	5
79	время и	2	5
80	не только	15	5
81	отношение к	1	5
82	как и	7	5
83	все же	5	5
84	но как	1	5
85	могло бы	1	4
86	ни было	3	4
87	для нас	31	4
88	бытие как	1	4
89	только как	6	4
90	могла бы	3	4
91	что в	16	4
92	тем самым	4	4
93	при этом	13	4
94	между тем	6	4
95	должна быть	1	4
96	не как	3	4
97	еще не	4	4
98	том что	8	4
99	а в	8	4
100	к ним	1	4
101	в каком	3	4
102	в чем	7	4
103	быть в	1	4
104	в одном	6	4
105	хотя бы	2	4
106	времени и	1	4
107	его жизни	1	3
108	ясно и	1	3
109	от него	4	3
110	себе и	1	3
111	в своих	1	3
112	входит в	1	3
113	где он	1	3
114	в каждом	2	3
115	от того	5	3
116	не я	1	3
117	что это	3	3
118	здесь не	1	3
119	из него	1	3
120	а эта	1	3
121	могут быть	8	3
122	с ними	3	3
123	не должно	2	3
124	ничего не	1	3
125	с человеком	1	3
126	только с	1	3
127	не дает	2	3
128	в ней	3	3
129	сознания и	1	3
130	рядом с	3	3
131	и тем	3	3
132	бы и	1	3
133	к чему	1	3
134	жизни но	1	3
135	на самом	2	3
136	тем как	2	3
137	что не	5	3
138	и совершенно	1	3
139	бы не	5	3
140	тем что	7	3
141	самом деле	2	3
142	не менее	5	3
143	не имеем	3	3
144	этом смысле	2	3
145	и на	8	3
146	тогда когда	10	3
147	меня и	1	3
148	всех этих	2	3
149	и ни	1	3
150	в то	6	3
151	но конечно	1	3
152	того что	7	3
153	для того	5	3
154	в другом	2	3
155	и может	3	3
156	в свою	6	3
157	о том	5	3
158	мы не	11	3
159	независимо от	9	3
160	от этого	1	2
161	и чувство	1	2
162	бы он	1	2
163	и время	1	2
164	и того	6	2
165	дело в	1	2
166	быть не	3	2
167	а с	2	2
168	я и	1	2
169	только по	3	2
170	совсем не	2	2
171	раз и	1	2
172	а как	1	2
173	в определенное	1	2
174	дело с	1	2
175	места как	1	2
176	того чтобы	2	2
