N	3gram	Tiupa_Teor_1	Freidism
1	с точки зрения	3	11
2	по отношению к	4	8
3	не может быть	4	7
4	в большинстве случаев	1	5
5	– все это	1	5
6	в то же	5	4
7	можно сказать что	2	4
8	то же время	5	4
9	в данном случае	5	4
10	бы то ни	1	3
11	в следующей главе	1	3
12	– один из	1	3
13	для того чтобы	1	3
14	в конечном счете	6	3
15	в свою очередь	2	3
16	с одной стороны	2	2
17	в таких случаях	1	2
18	во внешнем мире	1	2
19	но в то	1	2
20	может быть и	2	2
21	то ни было	1	2
22	может быть это	1	2
23	а с другой	2	2
24	с другой –	1	2
25	внутренней и внешней	2	2
26	в отличие от	6	2
27	все то что	1	2
28	не могут быть	2	2
29	то же самое	1	2
30	то или иное	1	2
31	тем не менее	3	2
32	о том что	1	1
33	из этих двух	1	1
34	его роли в	1	1
35	том что в	1	1
36	пределы всего что	1	1
37	– не менее	1	1
38	ни в коем	2	1
39	из того что	1	1
40	до известной степени	2	1
41	не только не	2	1
42	во внутренней речи	1	1
43	таким образом и	1	1
44	имея в виду	1	1
45	отношений внешнего мира	1	1
46	в целом ряде	1	1
47	в этом смысле	2	1
48	имеем в виду	3	1
49	для искусства в	1	1
50	все что может	1	1
51	можно говорить о	1	1
52	в том что	8	1
53	это уже не	1	1
54	в то время	1	1
55	со всех сторон	1	1
56	оно и в	1	1
57	за пределы всего	1	1
58	миф – это	1	1
59	той или иной	1	1
60	все без исключения	1	1
61	мы имеем в	3	1
62	это было бы	1	1
63	и для других	1	1
64	в основе своей	1	1
65	в широком и	1	1
66	мы видим в	1	1
67	но в отличие	1	1
68	коем случае не	2	1
69	и его роли	1	1
70	мы нигде не	1	1
71	является одним из	1	1
72	только то что	1	1
73	но прежде всего	1	1
74	между собой в	1	1
75	и внутренней речи	1	1
76	по крайней мере	1	1
77	как и ее	1	1
78	на первый взгляд	1	1
79	в коем случае	2	1
