N	2gram	Medvedev_F_3	Istorich
1	т е	32	29
2	что он	6	24
3	и т	11	19
4	не только	9	18
5	т д	6	18
6	может быть	25	17
7	мы имеем	1	15
8	и в	27	15
9	никогда не	5	15
10	так как	9	14
11	но и	10	14
12	так же	9	13
13	знаем что	2	12
14	что в	8	12
15	то что	8	12
16	а в	1	12
17	в этом	18	11
18	об этом	1	11
19	в этих	3	11
20	мы знаем	4	11
21	и не	30	11
22	то же	15	10
23	что они	5	10
24	его в	7	10
25	этих случаях	1	10
26	еще не	6	9
27	все же	6	9
28	с тем	7	9
29	и здесь	1	9
30	потому что	7	9
31	должны были	1	8
32	он не	1	8
33	связи с	5	8
34	один из	1	8
35	мы увидим	2	8
36	мы можем	4	8
37	мы видим	1	8
38	в нем	15	7
39	таким образом	18	7
40	том что	4	7
41	не в	12	7
42	ничего не	2	7
43	и пр	15	7
44	вместе с	6	7
45	сих пор	1	7
46	то это	1	6
47	но в	6	6
48	что это	3	6
49	и что	3	6
50	в его	7	6
51	что и	2	6
52	мы уже	3	6
53	так что	1	6
54	до сих	1	6
55	как бы	8	6
56	в том	7	6
57	только в	8	6
58	же как	3	5
59	как в	4	5
60	с этим	1	5
61	имеем в	1	5
62	что она	2	5
63	но все	1	5
64	было бы	6	5
65	в котором	2	5
66	на него	1	5
67	что при	1	5
68	можно было	1	5
69	так и	21	5
70	говорят что	1	5
71	она не	4	5
72	в одном	1	5
73	прежде всего	4	5
74	к которому	2	5
75	а не	17	5
76	в связи	4	5
77	не может	24	5
78	этом случае	1	5
79	к тому	4	5
80	со всех	1	4
81	всех сторон	2	4
82	в ней	5	4
83	и на	3	4
84	в одной	5	4
85	в себе	3	4
86	все эти	6	4
87	в этой	2	4
88	три года	1	4
89	при этом	8	4
90	и с	3	4
91	но он	1	4
92	дело не	2	4
93	того как	1	4
94	для нас	3	4
95	о нем	3	4
96	или на	2	4
97	с одной	1	4
98	его и	3	4
99	тем что	5	4
100	и др	2	4
101	а потом	1	4
102	но это	2	4
103	как она	1	4
104	не должен	1	4
105	мы должны	2	4
106	одной из	2	4
107	они не	4	4
108	в доме	1	3
109	мы не	4	3
110	не происходит	1	3
111	он был	4	3
112	видели что	2	3
113	эта связь	2	3
114	увидим что	2	3
115	из этих	2	3
116	как он	2	3
117	на то	1	3
118	всех этих	2	3
119	подобно тому	4	3
120	в работе	1	3
121	уже знаем	2	3
122	должен был	1	3
123	он и	3	3
124	в их	1	3
125	что этот	2	3
126	и его	19	3
127	и это	2	3
128	но по	1	3
129	в каких	2	3
130	в себя	1	3
131	так в	2	3
132	роль в	4	3
133	по мере	1	3
134	о том	4	3
135	если это	1	3
136	того что	3	3
137	в качестве	1	3
138	же и	4	3
139	по отношению	3	3
140	в других	1	3
141	одной стороны	1	3
142	что мы	1	3
143	как это	4	3
144	тому как	5	3
145	все это	7	3
146	но если	2	3
147	отношению к	3	3
148	а другой	1	3
149	также что	1	2
150	к материалу	3	2
151	самом деле	16	2
152	на самом	14	2
153	они никогда	1	2
154	и для	6	2
155	в сущности	2	2
156	хотя бы	6	2
157	не знают	2	2
158	и то	1	2
159	в которых	3	2
160	во всех	3	2
161	то мы	3	2
162	но не	5	2
163	не просто	1	2
164	материал в	4	2
165	его на	1	2
166	говорят о	2	2
167	не могла	1	2
168	приобщившись к	1	2
169	главным образом	2	2
170	так сказать	5	2
171	и если	1	2
172	и по	1	2
173	человека в	2	2
174	он знал	1	2
175	и может	1	2
176	из них	2	2
177	той же	3	2
178	его не	1	2
179	с другими	1	2
180	это не	3	2
181	в жизни	11	2
182	ни в	8	2
183	он является	2	2
184	как и	14	2
185	мы видели	4	2
186	заставляют нас	1	2
187	ключ к	1	2
188	такой же	2	2
189	нисколько не	2	2
190	этот материал	1	2
191	в эту	2	2
192	и ее	6	2
193	и эти	1	2
194	и более	3	2
195	их в	3	2
196	тем самым	1	2
197	самого начала	1	2
198	одна из	2	2
199	и именно	2	2
200	тогда и	1	2
201	иметь в	1	2
202	другой стороны	5	2
203	нам важно	2	2
204	кроме того	1	2
205	когда ему	1	2
206	был бы	2	2
207	же мы	1	2
208	в нее	1	2
209	в америке	1	2
210	могут быть	4	2
211	того чтобы	5	2
212	с ее	2	2
213	в виду	3	2
214	здесь не	2	2
215	совершенно ясно	1	2
216	с самого	1	2
217	это только	2	2
218	что под	1	2
219	одно из	1	2
220	в разных	1	2
221	с другой	6	2
222	что эта	1	2
223	в него	3	2
224	но с	1	2
225	историческую действительность	1	2
226	и так	1	2
227	уже в	4	2
228	в нашей	1	2
229	является не	2	2
230	а то	1	2
231	и их	5	2
232	слова в	1	2
233	и вместе	1	2
234	и только	2	2
235	не было	1	2
236	и из	2	2
237	именно в	1	2
238	здесь в	1	2
239	превращается в	2	2
240	зависит от	1	2
241	самый факт	2	2
242	нет ничего	1	2
243	где же	1	2
244	смысле этого	2	2
245	происходит в	1	2
