N	2gram	Tiupa_Disk_2	EvropaiC
1	таким образом	1	32
2	в том	8	31
3	и в	16	24
4	том что	10	20
5	все эти	3	19
6	не может	9	18
7	то что	5	17
8	может быть	16	15
9	все же	6	15
10	точки зрения	4	13
11	самом деле	1	12
12	в своем	5	12
13	в этом	16	12
14	между тем	2	11
15	все это	2	11
16	во всех	1	10
17	по отношению	4	10
18	так и	9	10
19	как бы	4	10
20	отношению к	4	10
21	того же	2	9
22	при этом	17	9
23	как и	16	9
24	в результате	2	9
25	что в	5	9
26	в самом	1	8
27	чем у	1	8
28	с точки	2	8
29	не в	3	8
30	и все	3	8
31	а между	1	7
32	из этих	3	7
33	в силу	1	7
34	не менее	7	7
35	по своей	6	7
36	к тому	1	7
37	для этого	1	7
38	о том	4	7
39	и что	1	7
40	что он	2	7
41	но и	11	7
42	и не	15	7
43	из этого	1	7
44	должна быть	2	6
45	в каждый	1	6
46	еще не	6	6
47	и на	5	6
48	тогда как	11	6
49	что касается	1	6
50	в этой	4	6
51	в мире	11	6
52	несмотря на	1	6
53	от друга	1	6
54	с ним	1	6
55	что и	2	6
56	того что	1	6
57	только в	3	6
58	так что	1	6
59	друг от	1	6
60	с другой	5	6
61	вместе с	2	6
62	отличается от	1	6
63	как на	3	6
64	столь же	3	5
65	но в	11	5
66	в которой	1	5
67	в целом	2	5
68	в себе	19	5
69	не только	10	5
70	но все	1	5
71	и с	2	5
72	лишь в	1	5
73	его в	3	5
74	так называемого	1	5
75	в то	5	5
76	как будто	3	5
77	в его	3	5
78	потому что	4	5
79	и их	1	5
80	именно в	2	5
81	далеко не	2	5
82	другой стороны	2	5
83	по своему	1	5
84	быть и	1	5
85	и для	2	5
86	и от	1	5
87	к этому	4	5
88	одним из	1	4
89	в такой	1	4
90	и то	4	4
91	то же	6	4
92	из того	1	4
93	отношение к	2	4
94	что как	2	4
95	хотя и	1	4
96	ни один	1	4
97	он не	3	4
98	из них	3	4
99	должно быть	2	4
100	иначе говоря	3	4
101	тем не	1	4
102	том же	1	4
103	из которых	1	4
104	никогда не	2	4
105	и т.д	1	4
106	от современной	1	4
107	не есть	1	4
108	в области	2	4
109	а с	5	4
110	в в	1	4
111	как сказано	1	4
112	не могут	1	4
113	в европейской	1	4
114	самого себя	1	4
115	в состоянии	1	4
116	этом случае	2	4
117	же как	2	3
118	вопрос о	1	3
119	не вполне	1	3
120	но даже	1	3
121	в данном	7	3
122	в истории	1	3
123	и наконец	3	3
124	этого круга	1	3
125	в нашем	1	3
126	к которой	2	3
127	в нем	7	3
128	и может	3	3
129	это не	3	3
130	на почве	2	3
131	в жизни	1	3
132	и того	3	3
133	одного и	3	3
134	в этих	3	3
135	даже в	1	3
136	в разных	1	3
137	во всем	1	3
138	и это	2	3
139	то ни	1	3
140	данном случае	6	3
141	сказано выше	1	3
142	с одной	4	3
143	может не	1	3
144	у обоих	1	3
145	даже если	1	3
146	может служить	1	3
147	каждый из	1	3
148	отличие от	12	3
149	как у	1	3
150	прежде всего	7	3
151	не подлежит	2	3
152	не то	1	3
153	а в	2	3
154	можно назвать	4	3
155	и развитие	1	2
156	тех же	1	2
157	в котором	3	2
158	и до	1	2
159	со своей	1	2
160	также и	3	2
161	особенностями в	1	2
162	и состоит	2	2
163	время от	1	2
164	в сущности	1	2
165	а для	1	2
166	с ее	2	2
167	и ее	3	2
168	в ней	2	2
169	двух или	1	2
170	в а	1	2
171	бы то	1	2
172	тем как	1	2
173	во всяком	1	2
174	в сторону	1	2
175	есть в	2	2
176	то в	1	2
177	и там	1	2
178	но на	1	2
179	вследствие этого	2	2
180	в культурной	1	2
181	не следует	3	2
182	однако при	3	2
183	о которой	1	2
184	он должен	1	2
185	одной и	1	2
186	же касается	2	2
187	круга в	1	2
188	то есть	12	2
189	в глазах	1	2
190	в них	3	2
191	такой же	2	2
192	на первый	2	2
193	которую он	1	2
194	но если	1	2
195	на каждом	1	2
196	от времени	1	2
197	в которых	1	2
198	совершенно иной	1	2
199	и более	1	2
200	она не	1	2
201	тем самым	6	2
202	одна из	1	2
203	на него	1	2
204	в процессе	1	2
205	в основе	4	2
206	говорить о	2	2
207	мы все	1	2
208	на этом	1	2
209	заключает в	2	2
210	что на	2	2
211	имеет место	1	2
212	о них	1	2
213	должен быть	1	2
214	рассматривать как	1	2
215	в себя	2	2
216	или нескольких	1	2
217	и сам	1	2
218	а к	2	2
219	все дело	1	2
220	сводится к	2	2
221	в другом	3	2
222	не стоит	1	2
223	же время	5	2
224	во втором	1	2
225	сил и	1	2
226	исторического развития	1	2
227	но с	1	2
228	и так	1	2
229	жизни и	3	2
230	ни было	1	2
231	к своим	2	2
232	одно из	4	2
233	для него	5	2
234	всяком случае	1	2
235	вовсе не	1	2
236	при отсутствии	1	2
237	как при	1	2
238	к той	1	2
239	и только	1	2
240	не было	3	2
241	которые по	1	2
242	однако это	1	2
243	себя и	1	2
244	одной стороны	4	2
245	отнюдь не	6	2
246	ближе к	1	2
247	в одно	1	2
248	в частности	12	2
249	все то	1	2
250	но не	7	2
251	что же	2	2
252	только то	1	2
253	с этой	1	2
254	ни для	4	2
255	но для	1	2
256	в индивидуальном	1	2
257	гораздо менее	2	2
258	не более	2	2
259	между ними	1	2
260	не знает	3	2
261	себя как	1	1
262	я и	4	1
263	например в	3	1
264	потом и	2	1
265	оказался столь	1	1
266	и весьма	1	1
267	а позднее	2	1
268	это и	1	1
269	на деле	1	1
270	из народа	1	1
271	в первом	1	1
272	эпохи то	1	1
273	для этих	1	1
274	той же	2	1
275	есть не	1	1
276	мы не	1	1
277	этом не	1	1
278	благодаря тому	1	1
279	с детства	1	1
280	должен не	1	1
281	на практике	1	1
282	я не	1	1
283	начала в	1	1
284	к своему	2	1
285	с народом	1	1
286	он сам	1	1
287	на их	1	1
288	с его	6	1
289	бы не	1	1
290	не требует	2	1
291	друг на	1	1
292	если в	1	1
