N	2gram	Kanaev_Sov_1	slovoVRo
1	и в	7	41
2	в нем	3	30
3	могут быть	2	19
4	во всех	1	17
5	не только	4	16
6	и не	6	16
7	точки зрения	12	16
8	а не	3	15
9	то же	3	14
10	в то	1	14
11	и его	1	14
12	может быть	12	14
13	не может	17	14
14	в его	2	13
15	в этом	7	12
16	же время	1	12
17	как бы	4	12
18	в большинстве	1	10
19	все эти	5	9
20	таким образом	11	9
21	той или	1	9
22	или иной	2	9
23	точка зрения	1	8
24	но в	3	8
25	на его	2	8
26	с точки	5	8
27	как мы	2	8
28	или в	1	8
29	может не	3	8
30	прежде всего	5	8
31	все же	3	7
32	не в	3	7
33	вовсе не	1	7
34	с ним	1	7
35	и следовательно	1	7
36	все они	1	7
37	во всяком	2	7
38	того же	1	6
39	при этом	3	6
40	это не	4	6
41	только в	1	6
42	и даже	2	6
43	по своим	1	6
44	а в	4	6
45	и к	3	5
46	в самом	2	5
47	он в	3	5
48	так сказать	2	5
49	всяком случае	2	5
50	все это	3	5
51	к нему	1	5
52	как его	1	5
53	с другой	1	5
54	своего предмета	2	5
55	еще более	2	5
56	по преимуществу	1	4
57	в ней	1	4
58	еще не	3	4
59	с его	1	4
60	и наконец	5	4
61	в которой	2	4
62	в каждом	8	4
63	как и	6	4
64	в процессе	1	4
65	и для	1	4
66	с ее	1	4
67	ничего не	6	4
68	все его	1	4
69	один из	1	4
70	ли он	1	4
71	с одной	2	4
72	рядом с	1	4
73	одной стороны	1	4
74	и все	3	4
75	там где	1	4
76	и потому	3	4
77	и от	1	4
78	кроме того	1	4
79	здесь в	1	4
80	быть и	2	4
81	в первом	3	3
82	в зависимости	4	3
83	зависимости от	4	3
84	данном случае	1	3
85	в своем	1	3
86	из этих	2	3
87	в себе	3	3
88	и может	1	3
89	его в	1	3
90	было бы	3	3
91	он не	1	3
92	от его	1	3
93	точку зрения	4	3
94	которые в	1	3
95	она не	1	3
96	никогда не	1	3
97	не могут	2	3
98	о том	1	3
99	и во	2	3
100	те или	1	3
101	или иные	1	3
102	все время	1	3
103	в том	4	3
104	конечно не	1	3
105	и чисто	1	3
106	из них	4	3
107	его и	1	3
108	так как	4	3
109	у него	2	3
110	именно в	1	3
111	в свою	2	3
112	не было	1	3
113	с этим	2	3
114	в данном	1	3
115	по существу	1	3
116	в результате	6	3
117	одной из	1	3
118	в свое	1	3
119	которая не	1	3
120	на самом	1	2
121	мы уже	1	2
122	той же	2	2
123	мы не	9	2
124	же как	1	2
125	свою очередь	2	2
126	между собой	3	2
127	различия между	1	2
128	он может	3	2
129	но не	1	2
130	и речи	1	2
131	сих пор	1	2
132	хотя и	1	2
133	именно эта	1	2
134	в целом	4	2
135	у каждого	3	2
136	в известном	1	2
137	нами в	1	2
138	и те	1	2
139	и по	2	2
140	на этом	2	2
141	одному и	1	2
142	не из	1	2
143	его почве	1	2
144	те же	1	2
145	для них	1	2
146	том что	1	2
147	в эту	1	2
148	и той	1	2
149	без всяких	1	2
150	зрения и	1	2
151	xviii века	1	2
152	все свои	1	2
153	на язык	1	2
154	для нас	3	2
155	у нас	3	2
156	ни о	1	2
157	в духе	1	2
158	правда не	1	2
159	оно может	1	2
160	так в	1	2
161	роль в	2	2
162	можно было	1	2
163	из одного	2	2
164	и вообще	1	2
165	в другом	1	2
166	одного из	1	2
167	жизни но	1	2
168	известном смысле	1	2
169	мы видим	2	2
170	из многих	1	2
171	связи с	1	2
172	уже не	2	2
173	и у	1	2
174	если мы	4	2
175	только на	1	2
176	в виде	2	2
177	в одном	3	2
178	до сих	1	2
179	с другом	2	2
180	на которые	1	2
181	а на	2	2
182	совершенно не	2	2
183	что все	2	2
184	так же	1	2
185	такого рода	2	2
186	быть только	1	2
187	друг с	2	2
188	должно быть	1	2
189	этом случае	1	2
190	в условиях	5	2
191	не является	1	2
192	одна из	3	2
193	ни было	1	2
194	между ними	1	2
195	сказать что	1	2
196	и эта	1	2
197	к этому	1	2
198	как известно	2	1
199	с жизнью	1	1
200	лишь там	1	1
201	но этим	1	1
202	между всеми	2	1
203	и есть	2	1
204	в своеобразную	1	1
205	и до	1	1
206	не имеют	1	1
207	конечно в	2	1
208	иметь место	1	1
209	входящих в	1	1
210	из всех	1	1
211	для своего	1	1
212	мы имеем	1	1
213	и ничего	1	1
214	обладает способностью	1	1
215	что уже	1	1
216	двух и	1	1
217	именно к	1	1
218	совсем иное	1	1
219	своим особым	2	1
220	на другом	2	1
221	именно эти	1	1
222	на их	2	1
223	бы то	1	1
224	своем основном	1	1
225	но как	1	1
226	со всеми	2	1
227	отличие от	2	1
228	один и	1	1
229	конечно совершенно	1	1
230	в течение	1	1
231	стороны и	1	1
232	в очень	1	1
233	в действительности	1	1
234	и свою	1	1
235	в этот	1	1
236	за все	1	1
237	к другому	1	1
238	в этой	3	1
239	и тот	1	1
240	только один	2	1
241	вследствие этого	1	1
242	и если	1	1
243	сохраняя при	1	1
244	что она	3	1
245	он должен	2	1
246	всеми этими	1	1
247	к одному	1	1
248	характерное для	1	1
249	какой бы	1	1
250	одной и	1	1
251	по аналогии	1	1
252	в основу	1	1
253	человека в	1	1
254	то ни	2	1
255	совпадают с	1	1
256	а затем	1	1
257	поэтому мы	3	1
258	не стать	1	1
259	же просто	1	1
260	не дает	2	1
261	есть не	1	1
262	может стать	1	1
263	форму и	1	1
264	в ином	1	1
265	только одно	1	1
266	ни в	1	1
267	но уже	1	1
268	этого не	1	1
269	всегда и	1	1
270	несмотря на	1	1
271	мы видели	4	1
272	как целого	1	1
273	чем в	1	1
274	на этот	2	1
275	в один	2	1
276	и становится	1	1
277	но если	1	1
278	таким же	1	1
279	выработанные в	1	1
280	наших дней	1	1
281	мы называем	3	1
282	в отличие	2	1
283	тем не	2	1
284	по крайней	1	1
285	и более	1	1
286	же мы	2	1
287	оно конечно	1	1
288	и вся	1	1
289	от различных	1	1
290	не менее	2	1
291	невозможным и	1	1
292	свое время	1	1
293	самого начала	3	1
294	прошлого века	1	1
295	но только	1	1
296	только не	1	1
297	остановимся здесь	1	1
298	на котором	2	1
299	дело в	1	1
300	только и	1	1
301	и подходы	1	1
302	находиться в	1	1
303	к концу	1	1
304	видим что	1	1
305	плоскость в	1	1
306	так называемый	1	1
307	от общего	1	1
308	системы без	1	1
309	очень часто	1	1
310	не знаем	2	1
311	единства в	1	1
312	отличается от	3	1
313	нечто совсем	1	1
314	этого и	1	1
315	его с	1	1
316	системы не	1	1
317	на это	1	1
318	должен быть	1	1
319	и это	1	1
320	с самого	3	1
321	приводит к	2	1
322	каждого из	2	1
323	в споре	1	1
324	в социальном	1	1
325	в субъективном	1	1
326	это только	1	1
327	если бы	1	1
328	только так	2	1
329	на предметы	1	1
330	и что	2	1
331	она всегда	1	1
332	в вопросах	1	1
333	как у	1	1
334	во втором	1	1
335	и только	1	1
336	крайней мере	1	1
337	совершенно невозможно	1	1
338	может иметь	2	1
339	например при	1	1
340	целого из	1	1
341	тот же	2	1
342	реагирует на	1	1
343	данного элемента	1	1
344	или же	2	1
345	одни и	1	1
346	до наших	1	1
347	ведь в	1	1
348	из каждого	1	1
349	и они	2	1
350	в начале	1	1
351	не принимает	1	1
352	конечно нет	1	1
353	и их	1	1
354	в первый	1	1
355	из одной	1	1
356	но что	1	1
357	случае не	1	1
358	а потому	1	1
359	нет и	4	1
360	с общим	2	1
361	и прежде	1	1
362	может находиться	1	1
363	то и	2	1
364	на эту	1	1
365	больших и	1	1
366	с помощью	4	1
367	вместе с	4	1
368	совершенно иными	1	1
369	понимания живого	1	1
370	образом на	1	1
371	системы в	4	1
372	аналогии с	1	1
373	и нет	1	1
374	но это	1	1
375	например у	1	1
376	которых он	1	1
377	конечно для	1	1
378	отдельных конкретных	1	1
379	в отдельных	1	1
380	между различными	1	1
381	для его	2	1
382	же в	1	1
383	в системе	3	1
384	всеми его	1	1
385	помощью которых	2	1
386	не знает	1	1
387	состоит из	3	1
388	развиваются в	1	1
389	связей и	1	1
390	равно как	1	1
391	та же	1	1
392	в какой	1	1
393	жизни и	4	1
394	значение в	2	1
395	в таком	2	1
396	все что	1	1
397	они не	1	1
