N	2gram	Bakhtin_Pr_1	Poddanst
1	не только	9	17
2	и в	38	14
3	и не	42	12
4	в области	11	11
5	в этом	15	10
6	но в	4	9
7	то же	5	9
8	в том	8	9
9	в пределах	6	8
10	хотя бы	4	8
11	только в	13	7
12	в то	4	7
13	же время	3	7
14	в ней	4	6
15	было бы	8	6
16	но и	9	6
17	в смысле	1	6
18	отношении к	1	5
19	в которых	1	5
20	с другой	7	5
21	может быть	26	5
22	и пр	2	5
23	не в	7	5
24	и о	5	5
25	н о	1	5
26	если бы	3	4
27	а также	1	4
28	в своем	5	4
29	и к	3	4
30	как бы	22	4
31	и если	1	4
32	том что	3	4
33	не может	27	4
34	и потому	4	4
35	в котором	2	4
36	по себе	1	4
37	с т	1	4
38	что в	7	4
39	мы должны	2	4
40	а в	6	4
41	то что	8	4
42	и т	14	3
43	столь же	2	3
44	между тем	7	3
45	это не	5	3
46	хотя и	3	3
47	и как	8	3
48	с ними	4	3
49	с одной	3	3
50	в себе	4	3
51	в нем	15	3
52	сами по	1	3
53	в россии	2	3
54	для того	2	3
55	прежде всего	13	3
56	одной стороны	3	3
57	с тем	1	3
58	что мы	1	3
59	и без	1	3
60	с точки	6	3
61	но не	12	3
62	она есть	1	3
63	могут быть	5	3
64	тем самым	4	3
65	точки зрения	8	3
66	и это	3	2
67	отношения к	6	2
68	например в	3	2
69	в сфере	1	2
70	в ее	4	2
71	о с	1	2
72	и есть	2	2
73	в мире	3	2
74	было в	1	2
75	есть не	2	2
76	осуществляется в	1	2
77	которую мы	3	2
78	по сравнению	1	2
79	которое в	1	2
80	не нужно	5	2
81	время в	1	2
82	в значительной	2	2
83	во всех	11	2
84	в которую	1	2
85	говорить о	3	2
86	если в	1	2
87	в общем	1	2
88	во всей	1	2
89	из важнейших	3	2
90	отнюдь не	19	2
91	пути в	1	2
92	того что	2	2
93	стороны и	1	2
94	помнить что	3	2
95	как мир	1	2
96	к чему	2	2
97	бы ни	1	2
98	есть в	1	2
99	в начале	2	2
100	и других	2	2
101	в его	43	2
102	из них	1	2
103	потому в	1	2
104	в виде	2	2
105	не к	6	2
106	и вот	1	2
107	именно как	1	2
108	и с	17	2
109	точек зрения	1	2
110	именно в	1	2
111	и мы	1	2
112	и тем	3	2
113	для них	1	2
114	в них	5	2
115	не было	2	2
116	а не	5	2
117	должно быть	5	2
118	не будем	3	2
119	творчества и	5	2
120	в тот	1	2
121	не менее	4	2
122	все это	3	2
123	не о	1	2
124	одна из	2	2
125	слова но	3	2
126	при посредстве	2	2
127	да и	3	2
128	еще более	1	2
129	для нас	1	2
130	может и	4	2
131	в частности	2	2
132	так называемые	1	2
133	в применении	3	1
134	также и	3	1
135	должны здесь	1	1
136	на основе	6	1
137	в иных	3	1
138	воплощения и	1	1
139	в определенный	2	1
140	и этим	6	1
141	в себя	2	1
142	культуры и	3	1
143	идет речь	1	1
144	применении к	3	1
145	должна быть	4	1
146	стремиться к	1	1
147	поскольку она	1	1
148	на нее	1	1
149	целому ряду	1	1
150	не с	4	1
151	особенно в	2	1
152	как таковую	1	1
153	ибо только	2	1
154	что дело	1	1
155	бы что	1	1
156	что уже	1	1
157	два направления	1	1
158	не вполне	2	1
159	на себя	1	1
160	план в	1	1
161	с ее	1	1
162	и ее	2	1
163	эти явления	1	1
164	и здесь	2	1
165	подчеркнуть что	1	1
166	настоящее время	1	1
167	как мастер	1	1
168	и что	2	1
169	как таковые	1	1
170	еще не	7	1
171	и на	3	1
172	без которой	1	1
173	с его	2	1
174	вопросу о	1	1
175	это имеет	1	1
176	за последние	2	1
177	различия между	1	1
178	можно наметить	1	1
179	стремления и	1	1
180	момента и	1	1
181	с трудом	1	1
182	не все	2	1
183	более как	1	1
184	что и	2	1
185	отличие от	5	1
186	не просто	1	1
187	них в	1	1
188	в истории	2	1
189	не входят	4	1
190	и мир	2	1
191	эта проблема	1	1
192	в современной	2	1
193	все же	6	1
194	и где	1	1
195	у в	3	1
196	обе эти	1	1
197	вопросом о	1	1
198	в какой	2	1
199	бы из	1	1
200	и живое	1	1
201	должен быть	2	1
202	поскольку мы	1	1
203	в самом	7	1
204	но как	2	1
205	в которой	1	1
206	бы и	1	1
207	что это	2	1
208	технике в	1	1
209	формы в	1	1
210	могли бы	1	1
211	есть для	1	1
212	именно на	1	1
213	человека с	1	1
214	себя в	2	1
215	только один	1	1
216	говорить об	1	1
217	в большинстве	5	1
218	только на	1	1
219	на то	2	1
220	если он	1	1
221	в наших	1	1
222	как оно	1	1
223	не могла	1	1
224	т д	1	1
225	к миру	3	1
226	есть оценка	1	1
227	связывается с	1	1
228	мир в	2	1
229	есть как	1	1
230	эмпирической науки	1	1
231	есть та	1	1
232	не как	1	1
233	значения но	1	1
234	и должна	3	1
235	последние годы	2	1
236	вся в	1	1
237	что каждая	1	1
238	к ним	1	1
239	друг друга	1	1
240	мы можем	6	1
241	ему на	1	1
242	и только	4	1
243	дело идет	2	1
244	от нее	1	1
245	в каждом	2	1
246	имеют в	1	1
247	не были	1	1
248	и некоторой	1	1
249	или иной	2	1
250	из всех	1	1
251	большинстве случаев	5	1
252	ясно что	3	1
253	его в	9	1
254	в душе	1	1
255	ощущается как	1	1
256	или чисто	1	1
257	поэзии с	1	1
258	чем тот	1	1
259	связаны с	2	1
260	и иных	1	1
261	и быть	1	1
262	что не	4	1
263	или хотя	1	1
264	т и	1	1
265	обратиться к	1	1
266	далеко не	5	1
267	суть формы	1	1
268	в этой	1	1
269	и техники	1	1
270	как и	7	1
271	и уже	1	1
272	с которым	1	1
273	имеет к	1	1
274	как ни	1	1
275	и я	1	1
276	мы вполне	1	1
277	воля и	1	1
278	нисколько не	1	1
279	эти суждения	1	1
280	в творчестве	1	1
281	и при	2	1
282	творчестве достоевского	1	1
283	значение которого	1	1
284	так же	1	1
285	и особенно	1	1
