N	2gram	Losev_Dial_2	Problemy
1	и в	19	46
2	и не	30	27
3	может быть	20	23
4	не может	9	19
5	как бы	14	19
6	в нем	10	17
7	в этом	8	16
8	у достоевского	1	16
9	не только	19	14
10	перед нами	2	12
11	как мы	3	12
12	но и	12	12
13	как и	10	12
14	и на	1	11
15	точки зрения	12	11
16	в одном	4	11
17	а не	16	11
18	не в	8	10
19	и к	7	9
20	в самом	5	9
21	с точки	8	9
22	и все	12	9
23	в его	1	9
24	в том	14	9
25	вовсе не	13	9
26	прежде всего	8	9
27	достоевского в	1	8
28	до сих	2	8
29	конечно не	6	8
30	сих пор	2	8
31	или в	2	8
32	в сущности	2	7
33	свой предмет	1	7
34	еще не	4	7
35	в себе	15	7
36	и с	5	7
37	слово и	1	7
38	по себе	18	7
39	как раз	5	7
40	слова и	1	7
41	то же	12	6
42	никогда не	9	6
43	и он	1	6
44	но в	2	6
45	в каждом	2	6
46	ни в	10	6
47	что я	2	6
48	но это	7	6
49	на свой	1	6
50	и его	5	6
51	на предмет	1	6
52	что он	6	6
53	только в	5	6
54	есть в	2	6
55	друг друга	1	6
56	все это	4	6
57	в котором	1	5
58	ведь и	1	5
59	во всех	2	5
60	за пределы	4	5
61	так сказать	1	5
62	при этом	4	5
63	это не	10	5
64	в жизни	2	5
65	в то	6	5
66	это слово	1	5
67	если же	1	5
68	о том	5	5
69	же время	5	5
70	к нему	4	5
71	если мы	2	5
72	мы находим	3	5
73	так как	14	5
74	у него	1	5
75	с другом	1	5
76	друг с	1	5
77	жизни и	6	5
78	например в	2	4
79	самом деле	4	4
80	в их	2	4
81	мы не	1	4
82	но не	6	4
83	как в	2	4
84	все же	4	4
85	кроме того	3	4
86	все эти	2	4
87	он не	4	4
88	таким образом	4	4
89	том что	10	4
90	в этих	3	4
91	и время	4	4
92	во всем	1	4
93	потому что	14	4
94	здесь не	1	4
95	приводит к	1	4
96	так и	10	4
97	всех возможных	1	4
98	по мере	1	4
99	в виду	5	4
100	и здесь	1	4
101	можно сказать	5	4
102	же и	9	4
103	уже не	3	4
104	уже в	4	4
105	к ним	1	4
106	мы можем	1	4
107	еще и	1	4
108	превращается в	1	4
109	себе самому	1	4
110	на границе	1	4
111	да и	6	4
112	должно быть	7	4
113	и нет	2	4
114	то что	14	4
115	не знает	1	4
116	совершенно не	7	4
117	что в	7	4
118	но эти	1	4
119	также и	2	3
120	человека и	2	3
121	сам по	3	3
122	и понимает	1	3
123	и это	5	3
124	тем же	2	3
125	между двумя	1	3
126	и до	1	3
127	тут в	1	3
128	мы уже	8	3
129	мы имеем	3	3
130	всех его	1	3
131	и о	1	3
132	так чтобы	2	3
133	мы и	1	3
134	то это	2	3
135	себе и	3	3
136	отличие от	1	3
137	в той	3	3
138	в своем	4	3
139	более или	2	3
140	из этих	1	3
141	в этой	3	3
142	как он	4	3
143	на то	1	3
144	направлено на	1	3
145	не к	1	3
146	их в	2	3
147	на этом	2	3
148	реакции на	1	3
149	в мире	2	3
150	было бы	3	3
151	далеко не	1	3
152	или менее	2	3
153	но если	1	3
154	и при	2	3
155	и их	3	3
156	в своей	8	3
157	не как	2	3
158	смех в	1	3
159	образом и	1	3
160	но он	4	3
161	она не	8	3
162	по своей	4	3
163	на него	2	3
164	у меня	3	3
165	не могут	4	3
166	с ее	2	3
167	но при	1	3
168	здесь нет	1	3
169	даны в	3	3
170	и что	5	3
171	в различных	1	3
172	и во	1	3
173	и только	4	3
174	отличается от	1	3
175	себя в	2	3
176	только на	1	3
177	ведь это	3	3
178	в конце	2	3
179	что и	5	3
180	бытия и	1	3
181	тем что	2	3
182	и даже	14	3
183	с другой	5	3
184	себя и	1	3
185	жизнь в	2	3
186	так же	2	3
187	жизнь и	5	3
188	что же	2	3
189	по существу	1	3
190	обычной жизни	1	3
191	но для	1	3
192	другой стороны	4	3
193	того же	1	3
194	но этот	1	3
195	и идеи	2	3
196	уже после	1	3
197	смысле слова	1	2
198	же как	3	2
199	самый предмет	1	2
200	вопрос о	3	2
201	не была	1	2
202	и говорить	2	2
203	он сам	1	2
204	мы будем	1	2
205	если в	2	2
206	в общем	2	2
207	нужно быть	1	2
208	ведь мы	2	2
209	нет и	1	2
210	сама по	7	2
211	в одной	4	2
212	с этим	3	2
213	стороны и	1	2
214	и слова	3	2
215	когда он	1	2
216	и как	10	2
217	не было	3	2
218	от этого	3	2
219	себе как	3	2
220	бы и	2	2
221	этот смех	1	2
222	на некоторых	1	2
223	но ведь	2	2
224	в братьях	1	2
225	но на	1	2
226	широком смысле	2	2
227	иногда же	1	2
228	бы ни	2	2
229	время и	2	2
230	должна быть	5	2
231	равно и	1	2
232	в узком	2	2
233	оно должно	2	2
234	свое время	1	2
235	у пушкина	2	2
236	и по	4	2
237	но дело	1	2
238	но все	2	2
239	об этом	3	2
240	на все	2	2
241	хотя бы	4	2
242	может стать	1	2
243	на почве	1	2
244	он есть	3	2
245	этом смысле	1	2
246	и тем	1	2
247	этом мы	1	2
248	все равно	5	2
249	вернемся к	1	2
250	что такое	3	2
251	почти не	1	2
252	есть свой	1	2
253	себе а	1	2
254	и другого	1	2
255	не менее	3	2
256	уже сказали	1	2
257	зрения и	1	2
258	того как	2	2
259	одна из	1	2
260	братьях карамазовых	1	2
261	но она	1	2
262	того и	2	2
263	ничего не	3	2
264	только и	2	2
265	своей природе	2	2
266	и любовь	1	2
267	то и	1	2
268	в стиле	1	2
269	могут быть	4	2
270	всем их	1	2
271	к тому	2	2
272	той или	4	2
273	не случайное	1	2
274	без всякого	4	2
275	и совершенно	2	2
276	в другом	4	2
277	те же	1	2
278	времени и	9	2
279	это вовсе	2	2
280	из одного	1	2
281	с ним	4	2
282	быть ни	1	2
283	только так	1	2
284	почему же	1	2
