N	2gram	Bakhtin_fo_1	ViktorSh
1	в том	9	2
2	и в	50	2
3	в конце	9	2
4	том что	4	2
5	дело в	2	1
6	же все	1	1
7	только в	4	1
8	и не	14	1
9	в другом	1	1
10	то же	11	1
11	же месте	1	1
12	этом и	1	1
13	ясно что	2	1
14	так как	6	1
15	а только	2	1
16	другом месте	1	1
17	и его	16	1
18	в которых	2	1
19	к этому	3	1
20	так в	1	1
21	да и	3	1
22	одном и	1	1
23	для них	3	1
24	в этом	25	1
25	главным образом	1	1
26	говорили в	1	1
27	с большой	2	1
28	том же	2	1
29	в их	6	1
30	именно в	3	1
31	ни к	3	1
32	и только	1	1
33	и то	4	1
34	в частности	6	1
35	потому что	4	1
36	в теории	1	1
37	далеко не	2	1
38	хотя бы	2	1
39	в значительной	2	1
40	в самом	8	1
41	совершенно ясно	1	1
42	и составляет	1	1
43	время в	6	1
44	все то	2	1
45	и т.д	1	1
46	на одном	1	1
47	от других	1	1
48	по существу	12	1
49	даже не	2	1
50	все это	4	1
51	гораздо более	1	1
52	и том	1	1
53	ведь это	1	1
54	одно и	3	1
55	самом деле	1	1
56	значительной степени	1	1
57	тем более	1	1
58	я не	1	1
