N	3gram	Bakhtin_Pr_1	Tragedij
1	то же время	7	5
2	в то же	7	5
3	так и в	1	3
4	по замыслу достоевского	1	2
5	в отличие от	2	2
6	точно так же	1	2
7	не мудрено что	1	2
8	и в частности	1	2
9	в данном случае	2	2
10	но в то	2	2
11	и как бы	1	2
12	о том что	2	2
13	но все же	1	2
14	в том что	7	2
15	как и его	1	1
16	одно из самых	1	1
17	том что он	4	1
18	творческий процесс у	1	1
19	и не может	2	1
20	в своей книге	1	1
21	хотя бы и	2	1
22	в столкновение с	1	1
23	роман достоевского и	1	1
24	в той же	3	1
25	романа достоевского в	3	1
26	но как в	1	1
27	но несмотря на	1	1
28	и то что	1	1
29	из подполья это	1	1
30	также что все	1	1
31	но у него	1	1
32	создается впечатление что	1	1
33	во всяком случае	3	1
34	в высшей степени	1	1
35	в конце концов	4	1
36	смысле этого слова	1	1
37	кто он есть	1	1
38	по нашему мнению	3	1
39	и в этом	3	1
40	по сравнению с	1	1
41	не могут быть	1	1
42	прежде всего необходимо	1	1
43	у достоевского не	3	1
44	по природе своей	1	1
45	все же не	1	1
46	то что он	1	1
47	не только к	1	1
48	в мире достоевского	4	1
49	не может быть	3	1
50	для самого автора	1	1
51	он сам сознает	1	1
52	процесс у достоевского	1	1
53	это и есть	3	1
54	в одном из	2	1
55	с самого начала	2	1
56	не только не	1	1
57	в самом деле	2	1
58	в братьях карамазовых	1	1
59	к тому что	1	1
60	роль в романе	1	1
61	для него была	1	1
62	значение для понимания	1	1
63	друг друга и	1	1
