N	3gram	Vinokur_St_2	OGranits
1	с точки зрения	2	5
2	по отношению к	1	3
3	одно и то	1	3
4	в пределах данной	1	2
5	в г в	3	2
6	в самом деле	2	2
7	в зависимости от	1	2
8	в данном случае	1	2
9	и то же	1	2
10	с другой стороны	3	2
11	ничего общего с	1	2
12	с самого начала	3	2
13	в том что	16	2
14	в другом месте	2	1
15	том что в	2	1
16	что в этом	1	1
17	только потому что	2	1
18	в чем же	1	1
19	иметь в виду	3	1
20	там где нет	1	1
21	в виду что	1	1
22	более или менее	2	1
23	на самом деле	1	1
24	в отличие от	2	1
25	в этом отношении	9	1
26	то что в	2	1
27	нужно сказать что	1	1
28	и пр на	1	1
29	и в области	1	1
30	но одно дело	1	1
31	для того чтобы	5	1
32	нужно отметить еще	1	1
33	так же как	3	1
34	тем не менее	2	1
35	и вместе с	1	1
36	в связи с	1	1
37	собою разумеется что	2	1
38	потому что они	1	1
39	но столь же	1	1
40	то же время	1	1
41	что в ней	1	1
42	на то что	2	1
43	в то же	1	1
44	к тому что	5	1
45	в предисловии к	2	1
46	пр на самом	1	1
47	само собою разумеется	2	1
