N	3gram	Berdyaev_M_2	Komedia
1	до сих пор	3	9
2	в том что	2	9
3	для того чтобы	4	6
4	о том что	2	4
5	по отношению к	2	3
6	с точки зрения	1	3
7	по сравнению с	1	2
8	что он не	1	2
9	в этом отношении	1	2
10	т е в	2	2
11	в конце концов	1	2
12	выходит из себя	1	2
13	что и в	4	2
14	именно потому что	1	2
15	сам не знает	1	1
16	потому что он	2	1
17	отрезает себе путь	1	1
18	себе путь к	1	1
19	отрекается от своей	1	1
20	и эта мысль	1	1
21	подобно тому как	2	1
22	так и не	1	1
23	и там и	6	1
24	мы еще вернемся	2	1
25	которой мы еще	1	1
26	к человеку и	3	1
27	на то что	1	1
28	нас в этом	1	1
29	его отношение к	4	1
30	о чем они	1	1
31	там не останется	1	1
32	из любви к	1	1
33	все равно что	2	1
34	к которой мы	1	1
35	чем они будут	1	1
36	и сам он	1	1
37	сих пор не	1	1
38	там и здесь	6	1
39	отношение к человеку	1	1
40	и никогда не	2	1
41	что у него	1	1
42	и не знает	1	1
43	но все равно	1	1
44	если бы не	1	1
45	все что у	1	1
46	после того как	2	1
47	он так же	1	1
48	но подобно тому	1	1
49	к тому что	3	1
50	в отношении к	2	1
51	и в этом	3	1
52	так как он	2	1
