N	3gram	Medvedev_S_1	Problemy
1	в то же	1	12
2	то же время	1	12
3	по отношению к	2	5
4	во всяком случае	1	5
5	и в то	1	5
6	в конце концов	2	3
7	а между тем	1	3
8	бы он ни	1	3
9	по крайней мере	1	3
10	что все это	1	2
11	и в этом	1	2
12	и наконец в	1	2
13	сама по себе	1	2
14	выходит за пределы	1	2
15	бы они ни	1	1
16	главным образом в	1	1
17	в том что	2	1
18	в каждом своем	1	1
19	но только в	1	1
20	то что в	1	1
21	в том и	1	1
22	благодаря тому что	1	1
23	они ни были	1	1
24	прежде всего не	1	1
25	это вовсе не	1	1
