N	3gram	Medvedev_S_1	Myshleni
1	в том что	2	31
2	с одной стороны	1	9
3	то же самое	1	7
4	на первый план	1	4
5	во всяком случае	1	3
6	в связи с	1	3
7	в настоящее время	1	2
8	не может не	1	2
9	а с другой	1	2
10	в этой области	1	2
11	чуть ли не	1	1
12	развития и затем	1	1
13	о том как	1	1
14	том что это	1	1
15	в систему его	1	1
16	так и остаются	1	1
17	все эти вопросы	1	1
18	в конце концов	2	1
19	благодаря тому что	1	1
20	только то что	1	1
21	по отношению к	2	1
22	то что в	1	1
23	бы они ни	1	1
24	они ни были	1	1
25	друг от друга	1	1
26	он различает два	1	1
