N	3gram	Tiupa_Narr_1	VeschiIm
1	и т д	1	20
2	не может быть	4	18
3	бы то ни	1	9
4	то ни было	1	9
5	что иное как	1	8
6	по крайней мере	1	6
7	в том что	5	6
8	на то что	2	6
9	одно и то	2	5
10	содержит в себе	1	5
11	и то же	2	5
12	в свою очередь	2	5
13	тем не менее	3	5
14	с точки зрения	1	4
15	и то что	1	4
16	не только в	6	4
17	то же время	4	4
18	в то же	4	4
19	более или менее	1	3
20	в самом деле	2	3
21	подобно тому как	3	3
22	и не только	1	3
23	и в то	1	3
24	сам по себе	1	3
25	из того что	1	3
26	только то что	1	3
27	само по себе	1	3
28	в отрыве от	1	3
29	можно сказать что	2	2
30	дело в том	2	2
31	быть не только	1	2
32	то что не	1	2
33	в данном случае	8	2
34	в первом случае	3	2
35	и даже не	1	2
36	к тому что	1	2
37	и того же	1	1
38	отождествление с ним	1	1
39	как она есть	1	1
40	это уже не	1	1
41	качестве одного из	1	1
42	только потому что	1	1
43	а за ними	1	1
44	а не в	1	1
45	не годится в	1	1
46	в ней есть	1	1
47	как это было	1	1
48	до сих пор	2	1
49	и не может	1	1
50	в сущности в	1	1
51	в зависимости от	2	1
52	и со стороны	1	1
53	сами по себе	2	1
54	в смысловом отношении	1	1
55	в той же	1	1
56	не то что	1	1
57	он и не	1	1
58	в самом общем	1	1
59	что не только	1	1
60	она может быть	1	1
61	не могла бы	1	1
62	может быть и	1	1
63	как раз в	2	1
64	в самом начале	1	1
65	уже не мог	2	1
66	мы не знаем	1	1
67	с одной стороны	1	1
68	это вовсе еще	1	1
69	оно не только	1	1
70	имя может быть	1	1
71	и потому что	1	1
72	поэтому в качестве	1	1
73	во втором случае	1	1
74	и как бы	1	1
75	в качестве одного	1	1
76	какой бы то	1	1
77	тем же самым	1	1
78	еще и потому	1	1
79	с другой стороны	1	1
80	первом случае мы	1	1
81	вовсе еще не	1	1
82	речь идет о	3	1
83	не мог бы	1	1
84	тем более не	1	1
85	и все же	2	1
86	не просто слово	1	1
87	в третьем случае	1	1
88	во всяком случае	2	1
89	мы не можем	1	1
90	о том что	2	1
91	ли в самом	1	1
92	но все же	1	1
93	ни о чем	1	1
94	одного и того	1	1
95	для того чтобы	3	1
96	предполагает со стороны	1	1
97	однако подобное рассуждение	1	1
98	друг с другом	1	1
