N	4gram	Vinokur_Vv_1	Psycholo
1	с этой точки зрения	1	4
2	одной и той же	2	3
3	заключается в том чтобы	1	3
4	заключается в том что	2	3
5	что в этом отношении	1	2
6	в собственном смысле слова	1	2
7	и в самом деле	3	2
8	и тем не менее	3	1
9	т д все это	1	1
10	с одной стороны и	3	1
11	дело в том что	2	1
12	вопрос о том что	3	1
13	в отличие от других	1	1
14	в той мере в	4	1
15	одного и того же	2	1
16	если принять во внимание	1	1
17	виде в каком он	1	1
18	до тех пор пока	1	1
19	той мере в какой	4	1
20	и т д и	1	1
21	одно и то же	1	1
22	в том или ином	1	1
23	не что иное как	4	1
24	и т д все	2	1
25	и т д при	1	1
26	по самой своей природе	2	1
27	на вопрос о том	4	1
28	но вместе с тем	1	1
29	состоит в том что	2	1
30	было бы сказать что	1	1
31	точно так же как	1	1
32	и для того чтобы	1	1
33	одном и том же	1	1
34	и в конце концов	1	1
35	в широком смысле слова	4	1
36	приходит к выводу что	1	1
