N	2gram	Tiupa_Disk_2	Myshleni
1	письменной речи	1	39
2	то что	5	26
3	в этом	16	25
4	что он	2	25
5	устной речи	1	24
6	потому что	4	21
7	таким образом	1	19
8	точки зрения	4	18
9	в том	8	18
10	не может	9	18
11	и развитие	1	17
12	не только	10	16
13	и в	16	16
14	того что	1	16
15	что в	5	16
16	том что	10	15
17	в сущности	1	13
18	в процессе	1	13
19	сказать что	1	13
20	вопрос о	1	12
21	по отношению	4	12
22	в ходе	2	12
23	в области	2	12
24	и что	1	12
25	и не	15	12
26	и развития	1	12
27	отношению к	4	12
28	из того	1	11
29	отношение к	2	11
30	в его	3	11
31	но не	7	10
32	в силу	1	10
33	только в	3	10
34	а не	14	10
35	с точки	2	9
36	может быть	16	9
37	то же	6	8
38	должно быть	2	8
39	как и	16	8
40	тем самым	6	8
41	в основе	4	8
42	о том	4	8
43	он не	3	8
44	точка зрения	1	8
45	как это	1	8
46	же как	2	7
47	того же	2	7
48	переход от	1	7
49	и есть	1	7
50	представляет собой	11	7
51	внутренней речи	3	7
52	в нем	7	7
53	приводит к	3	7
54	так и	9	7
55	и на	5	6
56	но в	11	6
57	в этой	4	6
58	состоит в	16	6
59	в другом	3	6
60	но если	1	6
61	не в	3	6
62	речи в	2	6
63	языка и	1	6
64	и следовательно	1	6
65	но и	11	6
66	речи и	1	6
67	в той	2	6
68	в какой	1	6
69	к тому	1	6
70	в такой	1	5
71	мере в	1	5
72	должна быть	2	5
73	как в	8	5
74	в своем	5	5
75	в которой	1	5
76	он должен	1	5
77	с ним	1	5
78	самого начала	1	5
79	в то	5	5
80	того как	1	5
81	никогда не	2	5
82	ничего не	1	5
83	этом отношении	4	5
84	с самого	1	5
85	же мере	1	5
86	можно сказать	3	5
87	для него	5	5
88	тем что	1	5
89	как бы	4	5
90	не является	4	5
91	еще более	1	5
92	не знает	3	5
93	и то	4	4
94	той же	2	4
95	не то	1	4
96	друг от	1	4
97	за пределы	1	4
98	опирается на	1	4
99	в самом	1	4
100	все эти	3	4
101	с их	2	4
102	при этом	17	4
103	подобно тому	2	4
104	мы его	1	4
105	это не	3	4
106	такой же	2	4
107	проистекает из	1	4
108	мысли в	1	4
109	мышления и	1	4
110	в самых	1	4
111	могут быть	3	4
112	не есть	1	4
113	от друга	1	4
114	в пределах	4	4
115	еще не	6	4
116	другом месте	1	4
117	и т.д	1	4
118	в качестве	16	4
119	так что	1	4
120	и их	1	4
121	не могут	1	4
122	точек зрения	1	4
123	с другой	5	4
124	именно в	2	4
125	на этот	1	4
126	и составляет	1	4
127	вместе с	2	4
128	в меру	1	4
129	тому как	2	4
130	в состоянии	1	4
131	с этой	1	4
132	в целом	2	4
133	в результате	2	4
134	по самой	1	4
135	самом деле	1	3
136	это и	1	3
