N	3gram	Potebnia_M_2	Myshleni
1	в том что	7	21
2	для того чтобы	2	10
3	с одной стороны	3	7
4	в связи с	1	6
5	во всяком случае	7	6
6	не может быть	2	6
7	на то что	3	6
8	по сравнению с	1	5
9	из того что	1	4
10	в том чтобы	1	4
11	о том что	1	4
12	состоит в том	1	3
13	в отличие от	1	3
14	в собственном смысле	1	3
15	смысле этого слова	3	3
16	мы видели что	1	3
17	с таким образом	2	3
18	мы не можем	3	3
19	более или менее	8	2
20	на самом деле	2	2
21	подобно тому как	4	2
22	в этом смысле	2	2
23	одной стороны и	1	2
24	не потому что	1	2
25	но на деле	2	2
26	нам известно из	1	2
27	то что он	1	2
28	само по себе	2	2
29	на вопрос о	1	2
30	и в самом	1	2
31	вопрос о том	1	2
32	друг от друга	1	2
33	сама по себе	2	2
34	только тогда когда	2	2
35	потому что его	2	1
36	если бы он	1	1
37	потому что как	1	1
38	друг к другу	1	1
39	было бы невозможно	5	1
40	что в истории	1	1
41	у нас в	1	1
42	мере того как	4	1
43	дело в том	1	1
44	здесь может быть	1	1
45	но так как	1	1
46	это было бы	1	1
47	как и во	2	1
48	вопрос о причинах	1	1
49	и той степени	1	1
50	по мере того	4	1
51	о том как	1	1
52	один и тот	1	1
53	до сих пор	4	1
54	сам по себе	4	1
55	которой было бы	1	1
56	друг на друга	1	1
57	бы то ни	1	1
58	о которой мы	2	1
59	то что в	2	1
60	в переводе на	1	1
61	с тем что	1	1
62	на каждом шагу	1	1
63	том что его	1	1
64	а и б	1	1
65	только для самого	1	1
66	отношения в этом	1	1
67	то и другое	4	1
68	только для того	1	1
69	в том случае	1	1
70	и тогда когда	2	1
71	в применении к	1	1
72	что мы не	1	1
73	в таких случаях	1	1
74	и что наконец	1	1
75	не в том	2	1
76	сами по себе	7	1
77	то ни было	1	1
78	мы не знаем	1	1
79	не может ни	1	1
80	что для нас	1	1
81	и тот же	1	1
82	к которому мы	1	1
83	мы тем самым	1	1
84	не могут быть	3	1
85	сходятся и расходятся	1	1
86	и тем самым	1	1
87	от того же	1	1
88	могла бы быть	1	1
89	потому что мы	1	1
90	с другой стороны	2	1
91	но мы видели	1	1
92	те же звуки	1	1
93	не отличается от	1	1
94	книги в которой	1	1
95	по себе не	3	1
96	пространство и время	1	1
97	том смысле что	1	1
98	том случае если	1	1
99	ничего общего с	1	1
100	с самого начала	2	1
101	как бы ни	3	1
102	мысли и не	1	1
103	только в том	1	1
104	этого слова а	1	1
105	после того как	2	1
106	в том смысле	4	1
107	вот все что	1	1
108	не только от	1	1
109	том что он	1	1
110	на все остальные	1	1
111	как и в	1	1
112	они не имеют	1	1
113	в целом как	1	1
114	вовсе не встречается	1	1
115	но в чем	1	1
