N	2gram	Medvedev_S_1	RusskieA
1	и в	3	36
2	не только	3	22
3	том что	2	19
4	что в	2	19
5	в том	5	17
6	но и	2	16
7	в этом	5	12
8	это не	1	10
9	как и	1	10
10	а в	1	9
11	и по	1	8
12	о том	1	8
13	один из	1	8
14	может быть	2	8
15	так и	1	7
16	между тем	1	7
17	полагает что	1	6
18	мы не	1	6
19	в виде	1	6
20	таким образом	2	6
21	в них	1	6
22	и не	1	6
23	все это	7	6
24	для нас	3	6
25	то что	2	6
26	все же	1	5
27	как будто	2	5
28	как бы	2	5
29	еще не	2	4
30	их на	1	4
31	тому что	1	4
32	связи с	1	4
33	что на	1	4
34	и что	2	4
35	тем что	1	4
36	а с	1	4
37	по существу	2	4
38	в связи	1	4
39	не может	1	4
40	только в	2	4
41	что это	1	3
42	то же	2	3
43	далеко не	2	3
44	в этих	1	3
45	ничего не	1	3
46	настоящее время	1	3
47	в области	1	3
48	на этот	1	3
49	в настоящее	1	3
50	на тех	1	2
51	но она	1	2
52	но не	1	2
53	отнюдь не	1	2
54	и как	1	2
55	в целом	1	2
56	все эти	1	2
57	что она	1	2
58	в силу	1	2
59	в каждом	1	2
60	же не	1	2
61	главным образом	2	2
62	и более	1	2
63	для этого	1	2
64	у него	1	2
65	ни одно	1	2
66	с ним	1	2
67	на все	1	2
68	на что	1	2
69	должно было	1	2
70	связь между	1	2
71	в его	3	2
72	не было	1	2
73	для наших	1	2
74	в частности	2	2
75	и потому	1	2
76	какие же	1	2
77	только для	1	2
78	между собой	1	2
79	мы должны	1	2
80	у которых	1	2
81	что эти	1	1
82	противном случае	1	1
83	должна быть	2	1
84	этом не	1	1
85	в чем	1	1
86	не без	1	1
87	по отношению	2	1
88	очевидно что	2	1
89	и должны	1	1
90	в противном	1	1
91	перед нами	1	1
92	и наконец	1	1
93	тем же	1	1
94	собой не	1	1
95	что все	1	1
96	те же	1	1
97	его в	1	1
98	в этой	1	1
99	на основании	1	1
100	со своими	1	1
101	никак не	1	1
102	место в	1	1
103	в то	1	1
104	хотелось бы	1	1
105	дело не	2	1
106	должны служить	1	1
107	к изучению	1	1
108	в труде	1	1
109	и его	1	1
110	так называемым	1	1
111	и о	1	1
112	и мы	2	1
113	ли не	1	1
114	наконец в	1	1
115	было бы	2	1
116	всего не	1	1
117	что он	1	1
118	в область	1	1
119	или не	1	1
120	только тогда	1	1
121	будто говорит	1	1
122	не дает	1	1
123	всяком случае	1	1
124	может служить	1	1
125	нет его	1	1
126	которая должна	1	1
127	к которому	2	1
128	еще и	1	1
129	мы еще	1	1
130	исторического развития	2	1
131	в любой	1	1
132	можно будет	1	1
133	представить себе	1	1
134	в данном	1	1
135	быть не	1	1
136	как только	2	1
137	на определенных	1	1
138	это как	1	1
139	или нет	1	1
140	и стало	1	1
141	утверждение будто	1	1
142	между ними	1	1
143	только как	2	1
144	им не	2	1
145	отношению к	2	1
146	в заключение	1	1
147	дерево или	1	1
148	они не	1	1
149	во всяком	1	1
