N	2gram	Potebnia_M_4	DiskursI
1	в качестве	1	34
2	не только	10	28
3	в том	23	23
4	а не	12	22
5	то есть	34	20
6	тогда как	4	19
7	том что	12	19
8	может быть	26	17
9	как и	14	16
10	и в	23	16
11	в этом	23	15
12	еще не	3	14
13	но и	11	14
14	при этом	15	13
15	но не	1	11
16	прежде всего	1	11
17	и не	18	11
18	как в	7	10
19	далеко не	1	10
20	с другой	2	10
21	по отношению	10	9
22	в нем	7	9
23	не может	11	9
24	состоит в	2	9
25	с одной	1	9
26	одной стороны	1	9
27	в частности	1	9
28	отношению к	8	9
29	но в	8	8
30	своего рода	1	8
31	о том	8	8
32	так и	6	8
33	а также	1	8
34	не было	12	7
35	в себе	14	7
36	то же	14	7
37	не в	11	7
38	роль в	1	7
39	со стороны	3	7
40	в его	5	7
41	только в	15	7
42	в своем	8	6
43	и как	2	6
44	ни к	2	6
45	и на	3	5
46	во всех	1	5
47	отличие от	1	5
48	в силу	7	5
49	в котором	4	5
50	в их	1	5
51	в процессе	3	5
52	в себя	1	5
53	можно сказать	4	5
54	а с	1	5
55	в данном	4	5
56	как бы	5	5
57	к тому	3	5
58	а в	5	5
59	то что	29	5
60	в своей	1	5
61	втором значении	1	4
62	и о	4	4
63	в которых	3	4
64	отношение к	2	4
65	в истории	4	4
66	и к	6	4
67	уже не	3	4
68	на его	3	4
69	не как	2	4
70	лишь в	3	4
71	в них	3	4
72	потому что	33	4
73	могут быть	7	4
74	внимание на	5	4
75	же время	3	4
76	между тем	9	4
77	во втором	1	4
78	одной из	1	4
79	что он	4	4
80	для него	5	4
81	что не	6	4
82	связи с	3	4
83	что в	17	4
84	того же	1	3
85	и потому	10	3
86	в первом	3	3
87	имеет свою	2	3
88	в каждой	1	3
89	во мне	1	3
90	столь же	2	3
91	той или	1	3
92	различия между	1	3
93	с этим	7	3
94	перед нами	1	3
95	в самом	3	3
96	заключается в	1	3
97	это не	7	3
98	ведет к	3	3
99	и того	1	3
100	точки зрения	4	3
101	в своих	2	3
102	бы быть	1	3
103	по себе	11	3
104	в то	4	3
105	таким образом	24	3
106	должны быть	3	3
107	они и	1	3
108	как не	1	3
109	свою очередь	1	3
110	но при	1	3
111	в ее	2	3
112	в произведении	1	3
113	времени и	1	3
114	не с	2	3
115	и даже	2	3
116	что и	7	3
117	хотя бы	4	3
118	из них	1	3
119	к ним	2	3
120	тем что	10	3
121	именно в	3	3
122	при всей	1	3
123	понятие о	1	3
124	к содержанию	1	3
125	по своему	2	3
126	для обозначения	1	3
127	тому как	2	3
128	того что	14	3
129	один из	2	3
130	все же	1	3
131	как уже	1	3
132	в свою	2	3
133	сказать что	8	3
134	другой стороны	1	3
135	говорящего к	1	3
136	в действительности	3	3
137	одним из	1	2
138	например в	3	2
139	языка с	3	2
140	и есть	3	2
141	к другому	1	2
142	для своего	1	2
143	мы имеем	4	2
144	в сущности	2	2
145	ему в	1	2
146	в виду	3	2
147	слово не	1	2
148	влияния на	1	2
149	в различных	2	2
150	действующее лицо	1	2
151	сказать и	1	2
152	но как	1	2
153	в новом	1	2
154	за пределы	1	2
155	хотя и	5	2
156	с понятием	1	2
157	то ли	1	2
158	в этой	1	2
159	так сказать	5	2
160	в значении	3	2
161	своем распоряжении	2	2
162	не следует	2	2
163	он ни	1	2
164	том чтобы	1	2
165	подобно тому	2	2
166	и по	3	2
167	на этом	1	2
168	человека в	2	2
169	исходя из	1	2
170	в каждом	3	2
171	об этом	2	2
172	прибавить ни	1	2
173	и тем	4	2
174	не всегда	3	2
175	с человеком	1	2
176	одного и	1	2
177	и без	2	2
178	не от	3	2
179	мысли и	7	2
180	по крайней	5	2
181	и относительно	2	2
182	возможно только	3	2
183	по мере	7	2
184	не менее	5	2
185	но они	1	2
186	что с	1	2
187	дело не	2	2
188	в науке	3	2
189	не могло	1	2
190	а о	1	2
191	имеем дело	2	2
192	в наше	1	2
193	и его	2	2
194	крайней мере	5	2
195	его понимании	1	2
196	же самое	4	2
197	числе и	1	2
198	значительной степени	2	2
199	мысли о	2	2
200	не есть	9	2
201	оно не	2	2
202	как мы	2	2
203	говорит и	1	2
