N	3gram	Tiupa_Disk_1	Problemy
1	с точки зрения	1	9
2	до сих пор	1	8
3	не может быть	3	8
4	в большинстве случаев	1	8
5	и не может	1	7
6	по отношению к	9	5
7	то же время	4	5
8	в то же	3	5
9	в том числе	2	4
10	как и все	1	4
11	то есть в	2	4
12	более или менее	2	3
13	как раз и	1	3
14	в отличие от	4	3
15	том числе и	2	3
16	сам по себе	1	3
17	с другой стороны	3	3
18	как и в	1	3
19	нет и не	1	2
20	по своей природе	2	2
21	дело в том	1	2
22	большей или меньшей	2	2
23	в этом смысле	1	2
24	сами по себе	2	2
25	в строгом смысле	1	2
26	в том что	13	2
27	в большей или	1	2
28	или меньшей степени	1	2
29	о том что	5	2
30	в свое время	1	2
31	можно сказать что	2	2
32	той или иной	3	2
33	во всех его	1	2
34	к собственному слову	1	1
35	по своей жанровой	1	1
36	прежде всего как	1	1
37	и диалогические отношения	1	1
38	строгом смысле а	1	1
39	прежде всего в	1	1
40	одним и тем	1	1
41	в известной степени	1	1
42	в этом последнем	1	1
43	в котором он	1	1
44	не сводятся к	1	1
45	авторства могут быть	1	1
46	и даже не	1	1
47	также и в	1	1
48	как точка зрения	1	1
49	том что он	1	1
50	в этом случае	1	1
51	одной стороны и	2	1
52	языка и не	1	1
53	всех его разновидностях	1	1
54	не было и	1	1
55	не могли быть	1	1
56	и в то	1	1
57	хотя бы и	1	1
58	том что было	1	1
59	в пиковой даме	1	1
60	рассказ о том	1	1
61	отношения в том	1	1
62	говорящего к собственному	1	1
63	из уст в	1	1
64	одно и то	1	1
65	к себе и	1	1
66	в значительной степени	2	1
67	в том или	1	1
68	в данном случае	2	1
69	и тем же	1	1
70	с одной стороны	9	1
71	дистанцию по отношению	1	1
72	и то же	1	1
73	но при этом	3	1
74	отношения говорящего к	3	1
75	предмет о котором	1	1
76	в xix веке	1	1
77	в связи с	1	1
78	а не как	1	1
79	числе и диалогические	1	1
80	к тому же	4	1
81	во всяком случае	1	1
82	до настоящего времени	1	1
83	перед нами два	1	1
84	в произведении и	1	1
85	уст в уста	1	1
86	было и не	1	1
87	пространственную и временную	1	1
88	не могло быть	1	1
89	диалогические отношения говорящего	1	1
90	так и в	1	1
91	с самого начала	1	1
92	не только в	2	1
93	но все же	1	1
94	чужой речи и	1	1
95	времени и пространства	1	1
96	диалогические отношения в	1	1
97	что он ничего	1	1
98	слово не становится	1	1
99	дело не в	1	1
100	лицом к лицу	1	1
101	и не могло	1	1
102	в этом пункте	1	1
103	то есть к	1	1
