N	4gram	Bakhtin_sl_1	SlovoVZh
1	дело в том что	1	4
2	бы то ни было	1	3
3	одно и то же	2	2
4	в то время как	2	1
5	мы имеем в виду	1	1
6	в какой степени не	1	1
7	и с другой стороны	1	1
8	находит свое выражение в	1	1
9	как мы уже сказали	2	1
10	бы они ни были	1	1
11	но в то же	4	1
12	каковы бы они ни	1	1
13	а между тем это	1	1
14	каково бы оно ни	1	1
15	на самом же деле	1	1
16	в то же время	12	1
17	не может находиться в	1	1
18	бы оно ни было	1	1
19	имеем в виду не	1	1
20	быть более или менее	1	1
21	какая бы то ни	1	1
22	но и в истории	1	1
23	ни в какой степени	1	1
