N	2gram	Propp_Russ_2	SlovoVZh
1	не может	5	16
2	может быть	13	14
3	как бы	18	13
4	и его	1	13
5	таким образом	6	12
6	и в	29	12
7	и не	1	10
8	если бы	1	9
9	так как	13	9
10	прежде всего	2	8
11	сказать что	1	7
12	для нас	6	7
13	в ней	1	6
14	в том	22	6
15	только в	1	6
16	при этом	6	6
17	в нем	1	6
18	все время	1	6
19	то же	4	5
20	в виду	2	5
21	можно сказать	1	5
22	отнюдь не	1	5
23	как в	7	5
24	но в	5	5
25	и др	1	5
26	а не	4	5
27	как и	11	5
28	и следовательно	1	5
29	том что	22	5
30	никогда не	2	5
31	то что	5	5
32	на самом	2	4
33	к нему	4	4
34	в литературе	1	4
35	в этом	11	4
36	все же	2	4
37	в самом	1	4
38	уже не	4	4
39	не только	10	4
40	отношение к	1	4
41	так и	1	4
42	с другой	2	4
43	не в	4	4
44	его в	8	4
45	дело в	1	4
46	и является	1	4
47	и на	6	4
48	здесь не	1	3
49	в котором	3	3
50	в пределах	1	3
51	еще не	6	3
52	мы не	6	3
53	и вообще	1	3
54	о том	9	3
55	но и	8	3
56	между тем	3	3
57	того что	3	3
58	быть и	1	3
59	когда он	1	3
60	и наконец	1	3
61	и ее	2	3
62	все эти	3	3
63	только на	1	3
64	для него	1	3
65	он должен	1	3
66	не к	2	3
67	и по	3	3
68	и с	10	3
69	в некоторых	9	3
70	и пр	2	3
71	в них	4	3
72	двух направлениях	1	3
73	в своей	2	3
74	так же	4	3
75	в такой	1	3
76	тем не	2	3
77	и более	1	3
78	из этого	2	3
79	не менее	2	3
80	все это	10	3
81	и для	2	3
82	ее и	2	3
83	с ним	1	3
84	или не	1	3
85	и то	2	2
86	как это	4	2
87	и совершенно	1	2
88	мы имеем	6	2
89	совпадает с	1	2
90	и здесь	1	2
91	настоящее время	1	2
92	и что	5	2
93	между собой	2	2
94	тем как	1	2
95	данном случае	7	2
96	в данном	6	2
97	к слову	1	2
98	в его	1	2
99	что и	2	2
100	в форме	2	2
101	относится к	1	2
102	независимо от	1	2
103	в своем	1	2
104	кроме того	2	2
105	как уже	2	2
106	его к	1	2
107	в какой	1	2
108	и потому	1	2
109	и так	1	2
110	несколько подробнее	1	2
111	сливается с	1	2
112	в настоящее	1	2
113	с одной	2	2
114	какой степени	1	2
115	выражение в	1	2
116	уже в	1	2
117	тому же	1	2
118	не так	1	2
119	к ним	1	2
120	но все	1	2
121	в особенности	1	2
122	на все	1	2
123	влияние на	2	2
124	с другими	3	2
125	это не	5	2
126	и дает	1	2
127	оно не	1	2
128	одной стороны	2	2
129	зависит от	1	2
130	до конца	3	2
131	другой стороны	1	2
132	там где	2	2
133	имеет место	1	2
134	в момент	2	2
135	связь с	3	2
136	вместе с	6	2
137	можно найти	1	2
138	но не	5	2
139	место в	1	2
140	быть только	2	2
141	с этой	2	2
142	она не	3	2
143	такой же	1	2
144	в основном	1	2
145	тогда когда	4	2
146	в то	2	2
147	и притом	1	2
148	на него	1	2
149	ничего не	1	2
150	а к	2	2
151	и все	4	2
152	в этих	3	2
153	есть уже	1	2
154	но это	1	2
155	же относится	1	2
156	стороны и	1	2
157	им не	1	2
158	могут быть	2	2
159	как только	1	2
160	что в	22	2
161	как на	1	2
162	и другие	14	2
163	к этому	5	2
164	а между	1	1
165	и это	1	1
166	ту же	1	1
167	например в	1	1
168	же как	4	1
169	как мы	3	1
170	и о	3	1
171	совпадают с	1	1
172	мы здесь	2	1
173	свою очередь	1	1
174	на основе	1	1
175	ее до	1	1
176	это и	2	1
177	показать что	1	1
178	в приведенном	1	1
179	то время	2	1
180	идет речь	1	1
181	смысла слова	1	1
182	похожее на	1	1
183	с таким	1	1
184	по аналогии	1	1
185	можно было	2	1
186	мы уже	1	1
187	характер этих	1	1
188	на которую	1	1
189	другая форма	1	1
190	это только	1	1
191	жизнь и	2	1
192	та же	2	1
193	для этого	5	1
194	из одного	1	1
195	так именно	1	1
196	на себя	2	1
197	сводится к	1	1
198	полное и	1	1
199	так называемые	1	1
200	за пределами	2	1
201	стороны его	1	1
202	что каждый	1	1
203	на них	4	1
204	из особенностей	1	1
205	там же	12	1
206	аналогии с	1	1
207	во всех	3	1
208	и во	1	1
209	все в	2	1
210	он употребляет	1	1
211	только там	1	1
212	того в	2	1
213	что они	1	1
214	именно в	4	1
215	в одной	1	1
216	если она	2	1
217	что именно	1	1
218	и мир	1	1
219	так называемая	1	1
220	в современной	1	1
221	она как	2	1
222	что здесь	3	1
223	как например	3	1
224	на которой	1	1
225	все остальные	1	1
226	перед нами	1	1
227	в новой	2	1
228	хотя и	1	1
229	в двух	1	1
230	вообще за	1	1
231	тот же	1	1
232	на другие	1	1
233	мы увидим	1	1
234	ли он	1	1
235	более или	1	1
236	следующим образом	5	1
237	увидим что	1	1
238	случае она	1	1
239	можно в	1	1
240	тому как	3	1
241	может дать	1	1
242	что это	3	1
243	более широком	1	1
244	более подробно	1	1
245	в эти	1	1
246	где они	2	1
247	развитие по	1	1
248	есть в	2	1
249	не можем	2	1
250	совершенно отчетливо	1	1
251	во многих	9	1
252	в большинстве	1	1
253	значение и	1	1
254	в виде	4	1
255	что она	3	1
256	на этих	1	1
257	ей в	1	1
258	к живым	1	1
259	или даже	3	1
260	при помощи	1	1
261	и обратно	1	1
262	или просто	2	1
263	одно из	2	1
264	себе в	1	1
265	всяком случае	1	1
266	в одном	1	1
267	в пространстве	1	1
268	части и	2	1
269	ничего общего	1	1
270	друг друга	3	1
271	что называется	1	1
272	как его	1	1
273	из нее	2	1
274	она будет	1	1
275	подобно тому	3	1
276	кто же	1	1
277	на этом	3	1
278	эта же	1	1
279	это по	1	1
280	самом же	2	1
281	само собой	1	1
282	том же	4	1
283	здесь мы	2	1
284	что все	1	1
285	образом к	1	1
286	же деле	2	1
287	в другом	1	1
288	связанных с	1	1
289	этих форм	1	1
290	должно быть	2	1
291	входит в	1	1
292	мы указывали	2	1
293	было бы	3	1
294	имеет и	1	1
295	но есть	1	1
296	что для	3	1
297	говорит о	2	1
298	для них	2	1
299	от нее	1	1
300	не было	2	1
301	рядом с	1	1
302	а с	2	1
303	далеко не	4	1
304	не на	1	1
305	в ее	3	1
306	не всегда	3	1
307	несмотря на	1	1
308	в руках	2	1
309	значения не	1	1
310	человек но	1	1
311	при более	1	1
