1	не что иное как	2	3
2	с одной стороны и	1	3
3	один и тот же	1	2
4	одной и той же	2	2
5	заключается в том что	4	2
6	если иметь в виду	1	1
7	что в конце концов	1	1
8	мы и хотели бы	1	1
9	как только мы пытаемся	1	1
10	несмотря на то что	1	1
11	но как только мы	1	1
12	одна из самых важных	1	1
13	в том что в	1	1
14	о котором мы говорили	2	1
15	а с другой стороны	2	1
16	так же как и	1	1
17	в то время как	1	1
18	в самом деле если	2	1
19	ни о чем не	1	1
20	всегда одним и тем	1	1
21	одним и тем же	3	1
22	с одной стороны это	1	1
23	в том или ином	1	1
24	в том что всякое	1	1
25	и то что в	1	1
