N	2gram	Trubetskoy_1	ViktorSh
1	конце концов	4	2
2	и в	23	2
3	том что	19	2
4	в том	30	2
5	в конце	4	2
6	и только	2	1
7	крайней мере	1	1
8	тем более	3	1
9	которые они	1	1
10	все дело	1	1
11	в другом	2	1
12	хотя бы	4	1
13	и не	8	1
14	и его	1	1
15	потому что	9	1
16	я не	2	1
17	сводится к	2	1
18	и то	4	1
19	самом деле	12	1
20	другом месте	1	1
21	и т.д	4	1
22	все это	11	1
23	положений которые	1	1
24	совершенно ясно	2	1
25	значит и	1	1
26	именно в	5	1
27	главным образом	1	1
28	этом и	1	1
29	в их	4	1
30	как же	1	1
31	дело в	1	1
32	техники и	1	1
33	говорили в	1	1
34	с большой	1	1
35	в частности	2	1
36	так в	1	1
37	одно и	1	1
38	стоит на	1	1
39	все то	2	1
40	столь же	5	1
41	время в	1	1
42	же все	1	1
43	говоря о	1	1
44	в которых	2	1
45	в значительной	1	1
46	не играет	2	1
47	в самом	8	1
48	зависят от	1	1
49	только в	6	1
50	то же	4	1
51	ясно что	8	1
52	так как	7	1
53	и мало	1	1
54	этому и	1	1
55	далеко не	5	1
56	в этом	12	1
57	да и	1	1
58	чем больше	4	1
59	по крайней	1	1
60	а только	1	1
61	на одном	2	1
62	и заключается	1	1
63	по существу	6	1
64	то я	1	1
65	к этому	5	1
66	гораздо более	2	1
67	том же	4	1
