N	2gram	Medvedev_I_1	Psycholo
1	и в	1	33
2	в этом	2	28
3	для того	1	23
4	того чтобы	1	22
5	что в	2	21
6	только что	1	15
7	и не	2	13
8	все это	1	13
9	он не	2	11
10	если бы	1	10
11	все эти	1	6
12	нисколько не	1	5
13	что для	1	5
14	в целом	1	5
15	никогда не	1	5
16	жизни и	1	4
17	утверждает что	1	4
18	а в	1	4
19	того что	1	4
20	и о	1	4
21	это было	1	4
22	по поводу	1	4
23	я не	1	4
24	себя в	1	4
25	говорить о	1	3
26	от этого	1	3
27	эпизод с	1	3
28	так и	1	3
29	видит в	1	3
30	тем что	1	3
31	в основе	1	3
32	могло бы	1	3
33	бы его	1	3
34	и с	3	2
35	о ней	1	2
36	характера самого	1	2
37	в художественном	1	2
38	когда его	1	2
39	стороны он	1	2
40	что при	1	2
41	в руки	1	2
42	ничего не	2	2
43	а с	1	2
44	как только	1	2
45	нам в	1	2
46	в них	1	2
47	другой стороны	1	2
48	и та	1	2
49	с другой	1	2
50	по существу	1	2
51	автор не	1	2
52	есть только	1	2
53	самого себя	2	1
54	того же	1	1
55	и со	1	1
56	и чрезвычайно	1	1
57	бы что	2	1
58	произведения и	1	1
59	не так	1	1
60	и без	1	1
61	ну конечно	1	1
62	бы в	1	1
63	с а	1	1
64	в эту	1	1
65	для него	1	1
66	и очень	1	1
67	более чем	1	1
68	по отношению	1	1
69	следовательно в	1	1
70	и сам	1	1
71	не остается	1	1
72	о жизни	1	1
73	сомневаюсь что	1	1
74	них не	1	1
75	так то	1	1
76	и еще	1	1
77	очевидно что	1	1
78	и др	1	1
79	с жизнью	1	1
80	та и	1	1
81	отношению к	1	1
82	должен быть	2	1
83	только для	1	1
84	а также	1	1
85	от нее	1	1
86	не сомневаюсь	1	1
87	его произведения	1	1
88	мышь и	1	1
