N	3gram	Tiupa_Narr_1	RusskieA
1	в том что	8	18
2	состоит в том	3	13
3	в данном случае	4	6
4	так же как	2	4
5	о том что	6	4
6	в отличие от	5	3
7	не может быть	5	3
8	подобно тому как	2	3
9	тем не менее	3	2
10	что иное как	2	2
11	же как и	1	2
12	может быть только	1	2
13	это пока еще	1	2
14	не что иное	2	2
15	в том чтобы	1	2
16	умирающего и воскресающего	1	2
17	с одной стороны	7	2
18	на другой день	2	2
19	пока еще не	1	2
20	том что в	1	1
21	не может не	2	1
22	а на другой	1	1
23	что каждый из	1	1
24	с таким же	1	1
25	когда-то и в	1	1
26	на себя внимание	3	1
27	иметь в виду	1	1
28	более или менее	2	1
29	что один из	1	1
30	в том же	1	1
31	но далеко не	1	1
32	мы не имеем	1	1
33	как мы увидим	1	1
34	в первую очередь	1	1
35	в этом отношении	3	1
36	по аналогии с	1	1
37	но это не	1	1
38	можно было бы	2	1
39	у нас нет	1	1
40	а иногда и	1	1
41	может быть и	1	1
42	он приходится на	1	1
43	на первый взгляд	2	1
44	всякую связь с	1	1
45	не входит в	1	1
46	что именно в	1	1
47	в западной европе	1	1
48	и совершенно иной	1	1
49	а именно с	1	1
50	дело в том	1	1
51	с другой стороны	4	1
52	все то что	1	1
53	далеко не все	1	1
54	быть не только	1	1
55	в свою очередь	3	1
56	один из них	1	1
57	в церкви и	1	1
58	братьев и сестер	1	1
59	можно сказать что	4	1
60	тем более что	1	1
61	совершенно очевидно что	1	1
62	как мы уже	1	1
63	фаза в развитии	1	1
64	как символ бессмертия	1	1
65	как и в	1	1
66	в мировом фольклоре	1	1
67	как мы видели	1	1
