N	3gram	Savitsky_P_1	UchenyiS
1	не может быть	1	4
2	в то же	7	3
3	то же время	7	3
4	с другой стороны	1	3
5	в этом смысле	1	2
6	и то что	1	2
7	и в частности	1	2
8	хотя бы и	1	2
9	в том что	4	2
10	в значительной мере	2	1
11	с одной стороны	3	1
12	в отдельности и	1	1
13	для тех кто	1	1
14	не было бы	1	1
15	более или менее	1	1
16	не только в	4	1
17	и только к	1	1
18	друг с другом	1	1
19	что мы и	1	1
20	между тем в	1	1
21	сводится к следующему	1	1
22	и в то	2	1
23	но в то	1	1
24	все это в	1	1
25	в последние годы	1	1
26	и не только	2	1
27	она должна была	1	1
28	в ней не	2	1
29	не в том	1	1
30	само по себе	1	1
