N	3gram	Tiupa_Disk_1	Russkaja
1	то же время	4	10
2	в то же	3	10
3	с точки зрения	1	9
4	в том что	13	7
5	на самом деле	1	6
6	во всяком случае	1	6
7	до сих пор	1	5
8	более или менее	2	4
9	на то что	1	4
10	в том случае	1	4
11	не может быть	3	4
12	в этом случае	1	3
13	том случае если	1	3
14	вместе с тем	1	3
15	и не может	1	3
16	в данном случае	2	3
17	той или иной	3	3
18	в том и	1	2
19	только в том	2	2
20	они принадлежат к	1	2
21	что он не	1	2
22	таким же образом	1	2
23	в этом направлении	1	2
24	том и в	1	2
25	и в том	1	2
26	того или иного	1	2
27	о том что	5	2
28	ни к чему	1	2
29	в другом случае	1	2
30	в большинстве случаев	1	2
31	но и к	1	2
32	и в другом	1	2
33	и того же	2	1
34	никогда не было	1	1
35	состоит в том	2	1
36	прежде всего в	1	1
37	дело в том	1	1
38	в свою очередь	3	1
39	по отношению к	9	1
40	в том числе	2	1
41	то же самое	2	1
42	он не может	1	1
43	и не только	2	1
44	том что вся	1	1
45	до известной степени	1	1
46	только то что	1	1
47	в этом отношении	1	1
48	что не только	1	1
49	том числе и	2	1
50	перед нами не	1	1
51	тот или иной	2	1
52	в противном случае	1	1
53	таком взгляде на	1	1
54	по крайней мере	2	1
55	во всех областях	1	1
56	к себе и	1	1
57	при таком взгляде	1	1
58	в значительной степени	2	1
59	и т.д эта	1	1
60	в том чтобы	2	1
61	тем что он	1	1
62	к чему не	1	1
63	еще не было	1	1
64	в этом состоит	1	1
65	но при этом	3	1
66	во всех этих	1	1
67	и как бы	3	1
68	в связи с	1	1
69	не может ли	1	1
70	существуют во всех	1	1
71	к мысли что	1	1
72	в полной мере	1	1
73	она могла бы	1	1
74	а в том	2	1
75	между собой и	1	1
76	заключается в том	1	1
77	тех или иных	1	1
78	это и есть	1	1
79	с самого начала	1	1
80	речь идет о	1	1
81	в результате этого	1	1
82	но все же	1	1
83	несмотря на все	1	1
84	одного и того	2	1
85	тем не менее	1	1
86	и прежде всего	1	1
87	к той или	2	1
88	к тому же	4	1
89	дальше отстоит от	1	1
