N	3gram	Medvedev_F_3	Vladivir
1	в том что	3	10
2	тем не менее	2	9
3	о том что	1	8
4	вместе с тем	3	6
5	с точки зрения	14	6
6	не может быть	14	6
7	в конце концов	2	5
8	дело в том	2	5
9	что же касается	1	5
10	с одной стороны	1	3
11	в этом смысле	2	3
12	в то же	7	3
13	бы то ни	4	3
14	хотя бы и	1	3
15	в настоящее время	1	3
16	в конце жизни	1	3
17	как мы видели	2	3
18	в отличие от	2	3
19	во всяком случае	6	3
20	так или иначе	1	2
21	в таком случае	1	2
22	так же как	1	2
23	сам по себе	1	2
24	в это время	1	2
25	ни в каком	1	2
26	и в то	2	2
27	вовсе не есть	1	2
28	и в том	1	2
29	с другой стороны	5	2
30	иметь в виду	1	2
31	на первый план	1	2
32	что в этом	1	2
33	сводится к тому	1	2
34	к тому что	2	2
35	оно не может	1	2
36	как мы знаем	4	2
37	на то что	1	2
38	на самом же	2	2
39	в этом отношении	3	2
40	в связи с	4	2
41	то же время	7	2
42	и вместе с	1	2
43	самом же деле	2	2
44	по себе в	1	2
45	а не только	1	2
46	ни в каких	2	2
47	в данном случае	4	2
48	в этом же	1	1
49	и притом в	1	1
50	мы не можем	2	1
51	для него это	1	1
52	до конца однако	1	1
53	таким образом есть	1	1
54	являются для нас	1	1
55	вовсе не являются	1	1
56	с самого начала	1	1
57	это вполне понятно	1	1
58	каждой из этих	1	1
59	в том же	1	1
60	не соглашаться с	1	1
61	в том числе	1	1
62	самом деле ведь	1	1
63	одна из них	1	1
64	так а не	1	1
65	мы мыслим и	2	1
66	так и его	1	1
67	а следовательно и	1	1
68	можно не соглашаться	1	1
69	если они не	1	1
70	но и здесь	1	1
71	он говорит о	1	1
72	раз и навсегда	3	1
73	только при условии	1	1
74	является для них	1	1
75	потому что они	1	1
76	в противном случае	1	1
77	это учение об	1	1
78	он не был	1	1
79	то ни было	4	1
80	не выходит за	1	1
81	в смысле совокупности	1	1
82	так же и	2	1
83	может и не	1	1
84	в этом случае	1	1
85	в нашем кратком	1	1
86	с тем что	1	1
87	но в данном	1	1
88	но и самая	1	1
89	то же самое	3	1
90	и сводится к	1	1
91	невольно возникает вопрос	1	1
92	так и с	1	1
93	мы уже знаем	2	1
94	как впрочем и	1	1
95	возникает вопрос почему	1	1
96	можно было бы	1	1
97	но уже в	2	1
98	не только не	2	1
99	но никак не	1	1
100	все то что	1	1
101	для того чтобы	4	1
102	и тем не	1	1
103	не только в	1	1
104	оно вовсе не	1	1
105	и даже в	1	1
106	а не иначе	1	1
107	и в жизни	1	1
108	но оно не	1	1
109	только то что	2	1
110	же именно в	1	1
111	какой бы то	1	1
112	в самом деле	4	1
113	как это делают	1	1
114	уже знаем что	2	1
115	сказать что ни	1	1
116	сама по себе	1	1
117	не дала бы	1	1
118	в виду что	1	1
119	он пишет в	1	1
120	не только на	1	1
121	как не может	1	1
122	невозможно было бы	1	1
123	кроме того в	1	1
124	в самом процессе	1	1
125	выходит за пределы	1	1
126	в последнее время	1	1
127	том что это	1	1
128	конечно это не	1	1
129	так как здесь	1	1
130	но вовсе не	2	1
131	а вместе с	1	1
132	в этом рассуждении	1	1
133	да и не	2	1
134	и что в	1	1
135	ровно ничего не	2	1
136	того чтобы не	1	1
137	той или иной	1	1
138	потому что он	3	1
139	и в философии	1	1
140	этой точки зрения	1	1
141	и в данном	2	1
142	с этой точки	1	1
143	о том как	2	1
144	до сих пор	1	1
