N	3gram	Propp_Isto_6	Tvorches
1	в том что	5	6
2	о том что	4	5
3	том что в	2	2
4	в одной из	1	2
5	при этом он	1	2
6	в свою противоположность	1	2
7	точно так же	2	2
8	в данном случае	3	2
9	не только в	4	2
10	можно сказать что	1	2
11	тем не менее	1	2
12	что иное как	1	1
13	еще далеко не	1	1
14	но кто же	1	1
15	с ним на	1	1
16	в прямом смысле	1	1
17	как один из	1	1
18	нам кажется что	1	1
19	человеком и богом	1	1
20	о котором говорилось	1	1
21	по отношению к	2	1
22	до сих пор	4	1
23	может происходить и	1	1
24	друг на друга	1	1
25	что в одном	1	1
26	только то что	2	1
27	к мысли о	1	1
28	то и другое	1	1
29	вместе с тем	3	1
30	и тем не	1	1
31	заранее обречены на	2	1
32	это прежде всего	1	1
33	с одной стороны	7	1
34	но в целом	1	1
35	но при этом	1	1
36	котором говорилось выше	1	1
37	между человеком и	1	1
38	такой же как	2	1
39	это не значит	1	1
40	мы уже говорили	1	1
41	свою противоположность в	1	1
42	что у него	1	1
43	у него в	1	1
44	не означает что	1	1
45	это значит что	1	1
46	но даже в	1	1
47	мы имеем в	4	1
48	с другой стороны	8	1
49	таким образом и	2	1
50	но это не	1	1
51	не значит что	1	1
52	не что иное	1	1
53	как и в	2	1
54	на первый взгляд	1	1
55	и т д	8	1
