N	3gram	Propp_Russ_2	Morfolog
1	и т д	5	47
2	в этих случаях	3	13
3	в этом случае	6	9
4	не может быть	3	8
5	подобно тому как	3	5
6	с другой стороны	1	4
7	тем не менее	2	4
8	далеко не все	1	3
9	как мы увидим	1	3
10	можно наблюдать что	1	3
11	как и в	1	3
12	состоит в том	13	2
13	отсюда видно что	1	2
14	более или менее	1	2
15	в тех случаях	1	2
16	в настоящее время	1	2
17	и в других	4	2
18	может быть и	1	2
19	то время как	1	2
20	с одной стороны	2	2
21	на первый взгляд	1	2
22	и таким образом	1	2
23	с того что	1	2
24	есть и другие	1	2
25	в то время	2	2
26	тем и другим	1	2
27	можно показать что	1	2
28	тех случаях когда	1	2
29	то же происходит	1	2
30	для того чтобы	6	2
31	в том что	18	2
32	вне связи с	1	2
33	к этому же	1	1
34	одна из них	1	1
35	к земле и	2	1
36	бросается в глаза	2	1
37	могут рассматриваться как	1	1
38	в церковь и	1	1
39	нужно иметь в	1	1
40	он показывает что	1	1
41	о том как	1	1
42	что иное как	2	1
43	мы должны будем	1	1
44	нужно заметить что	1	1
45	животных и т	1	1
46	бы пойти в	1	1
47	для этой цели	2	1
48	в какой степени	1	1
49	они представляют собой	2	1
50	но это не	1	1
51	можно было бы	1	1
52	правильнее было бы	1	1
53	сюда же можно	1	1
54	в научной литературе	1	1
55	если это не	1	1
56	и в некоторых	2	1
57	в применении к	1	1
58	там где есть	1	1
59	отличие от других	1	1
60	и многие другие	2	1
61	в данном случае	6	1
62	к заключению что	1	1
63	один из них	1	1
64	на этом основании	1	1
65	не входит в	1	1
66	можно предположить что	3	1
67	в некоторых случаях	1	1
68	т е на	1	1
69	т д с	1	1
70	иметь в виду	1	1
71	этот случай встречается	1	1
72	и сл в	1	1
73	во всяком случае	1	1
74	но так как	1	1
75	которые таким образом	1	1
76	сюда же относится	1	1
77	в поле или	1	1
78	во всех этих	1	1
79	в точности соответствует	1	1
80	о том что	4	1
81	ни одна из	1	1
82	т е не	1	1
83	можно сказать что	1	1
84	или во всяком	1	1
85	оно как бы	1	1
86	на то что	1	1
87	так как эти	1	1
88	за тридевять земель	1	1
89	не что иное	2	1
90	может быть поставлен	1	1
91	во многих отношениях	1	1
92	дело не в	1	1
93	всех этих случаях	1	1
94	все же в	1	1
95	бы совсем не	1	1
96	того или другого	1	1
