N	3gram	Tiupa_Lite_2	Morfolog
1	в этом случае	2	9
2	не может быть	7	8
3	подобно тому как	2	5
4	по отношению к	3	4
5	с точки зрения	3	4
6	с другой стороны	4	4
7	тем не менее	2	4
8	не могут быть	1	3
9	в последнем случае	1	3
10	на самом деле	1	3
11	состоит в том	4	2
12	с одной стороны	6	2
13	для того чтобы	1	2
14	в том что	5	2
15	то с другой	1	1
16	которые не могут	1	1
17	но то что	1	1
18	на свой вопрос	1	1
19	что же касается	1	1
20	во всей своей	1	1
21	бы то ни	1	1
22	можно было бы	1	1
23	в бою и	1	1
24	одно и то	2	1
25	эти и подобные	1	1
26	в данном случае	3	1
27	в первый раз	2	1
28	и то же	2	1
29	в дальний путь	1	1
30	имеет ничего общего	1	1
31	по существу мысль	1	1
32	не имеет ничего	1	1
33	во всех этих	1	1
34	то же время	9	1
35	по тем же	1	1
36	о том что	2	1
37	уже отмечалось выше	1	1
38	он не может	1	1
39	той или иной	1	1
40	но и его	1	1
41	то же в	1	1
42	в то же	9	1
43	может быть названа	1	1
44	к тому что	1	1
45	ответ на свой	1	1
46	во многих отношениях	1	1
