N	3gram	Tiupa_Anal_1	Problemy
1	с точки зрения	4	13
2	в этом смысле	1	10
3	то же время	6	9
4	в то же	8	9
5	по отношению к	5	8
6	в том что	9	6
7	в зависимости от	1	5
8	но в то	2	5
9	том что он	2	4
10	между тем как	1	4
11	не может быть	16	4
12	подобно тому как	3	3
13	как раз и	1	3
14	и т п	3	3
15	сами по себе	2	3
16	в этом отношении	2	3
17	во всяком случае	1	3
18	с другой стороны	2	3
19	и в сущности	1	2
20	оно может быть	1	2
21	в самом деле	2	2
22	он может быть	1	2
23	до сих пор	1	2
24	и не может	4	2
25	в самом произведении	1	2
26	в той же	1	2
27	бы то ни	3	2
28	лишь одним из	1	2
29	в данном случае	2	2
30	не только в	1	2
31	уже не могут	1	2
32	с ним и	1	2
33	пределы одного сознания	1	2
34	в пределы одного	1	2
35	но и не	4	2
36	все же не	1	2
37	а в то	2	2
38	как и его	1	1
39	оно и не	1	1
40	так что оно	1	1
41	а вовсе не	1	1
42	событийна и рождается	1	1
43	в свою очередь	1	1
44	большей или меньшей	4	1
45	в том и	2	1
46	то же самое	2	1
47	что же касается	1	1
48	как если бы	1	1
49	героев но не	1	1
50	и сам автор	1	1
51	лишь одна из	1	1
52	самим по себе	1	1
53	именно в качестве	1	1
54	не утратили своего	1	1
55	в противном случае	1	1
56	могла бы быть	1	1
57	она может быть	1	1
58	но и как	1	1
59	по крайней мере	1	1
60	по этому пути	1	1
61	и в частности	1	1
62	при условии что	1	1
63	и рождается в	1	1
64	какой бы то	2	1
65	в точке соприкосновения	1	1
66	в первом случае	2	1
67	то ни было	3	1
68	на первый взгляд	1	1
69	тех или иных	2	1
70	и не могут	1	1
71	не столько в	1	1
72	и в пределах	1	1
73	как будто бы	1	1
74	в известном смысле	1	1
75	не могут быть	2	1
76	соприкосновения разных сознаний	1	1
77	же время оно	1	1
78	в большей или	1	1
79	или меньшей степени	1	1
80	не в том	3	1
81	бы оно ни	1	1
82	в себе все	1	1
83	этой точки зрения	1	1
84	о том что	3	1
85	того или иного	3	1
86	оно ни было	1	1
87	более или менее	1	1
88	один из возможных	1	1
89	имеем в виду	1	1
90	выходит за пределы	1	1
91	точке соприкосновения разных	1	1
92	в художественном произведении	1	1
93	рождается в точке	1	1
94	мы имеем в	1	1
95	быть понято как	1	1
96	как и сам	1	1
97	в полной мере	3	1
98	к тому что	1	1
99	друг с другом	1	1
100	быть не может	3	1
101	для того чтобы	3	1
102	в себе в	1	1
103	или лучше сказать	1	1
104	слова о нем	1	1
