N	4gram	Voloshinov_1	OGranits
1	одно и то же	3	2
2	не что иное как	2	2
3	то же слово в	1	2
4	и то же слово	2	2
5	есть не что иное	2	2
6	вне материального выражения нет	1	1
7	и т.д и т.д	1	1
8	мы должны перейти теперь	1	1
9	и к тому что	1	1
10	живых организующих сил которые	1	1
11	распадаются на две группы	1	1
12	представим себе что мы	1	1
13	и не может быть	1	1
14	в том что язык	1	1
15	мог протекать ни один	1	1
16	в собственном смысле слова	1	1
17	иметь в виду что	1	1
18	не протекал и не	1	1
19	подойти и к тому	1	1
20	не мог протекать ни	1	1
21	и является нашей задачей	1	1
22	но в то же	2	1
23	нет и не может	1	1
24	должны перейти теперь к	1	1
25	и не мог протекать	1	1
26	ведь в самом деле	1	1
27	в то же время	7	1
28	протекал и не мог	1	1
29	и есть не что	1	1
30	в тех случаях когда	2	1
31	никакого отношения не имеют	1	1
