N	2gram	Medvedev_I_1	Dialekti
1	и не	2	27
2	и в	1	24
3	ничего не	2	17
4	есть только	1	12
5	того что	1	12
6	стало быть	1	9
7	в этом	2	8
8	никогда не	1	7
9	что в	2	7
10	я не	1	6
11	и с	3	6
12	если бы	1	6
13	все это	1	6
14	он не	2	5
15	так и	1	5
16	в них	1	5
17	что для	1	5
18	жизни и	1	5
19	и ничего	1	4
20	говорить о	1	4
21	как о	1	4
22	с другой	1	4
23	для него	1	4
24	только что	1	4
25	все эти	1	3
26	и без	1	3
27	в основе	1	3
28	и о	1	3
29	утверждает что	1	3
30	это было	1	3
31	то и	1	3
32	тем что	1	3
33	для того	1	3
34	а если	1	3
35	ибо и	1	3
36	странное и	1	2
37	на котором	1	2
38	а для	1	2
39	о ней	1	2
40	нечто и	1	2
41	и многое	1	2
42	к отцу	1	2
43	со всеми	1	2
44	себя в	1	2
45	факты и	1	2
46	по существу	1	2
47	бы в	1	2
48	а в	1	2
49	другой стороны	1	2
50	бы его	1	2
51	о жизни	1	1
52	от этого	1	1
53	же это	1	1
54	от нее	1	1
55	нисколько не	1	1
56	хорошо знать	1	1
57	вплоть до	1	1
58	так то	1	1
59	как только	1	1
60	должен быть	2	1
61	он с	1	1
62	и сам	1	1
63	во многом	1	1
64	не смерть	1	1
65	увидел бы	1	1
66	и имеется	1	1
67	и та	1	1
68	у всех	1	1
69	не так	1	1
70	бы все	1	1
71	самого себя	2	1
72	оба они	2	1
73	понятий и	1	1
74	но когда	1	1
75	и очень	1	1
