N	2gram	Savitsky_P_1	KulturaY
1	и т	3	39
2	потому что	3	25
3	и в	14	23
4	т е	3	22
5	не только	17	20
6	в том	9	19
7	в этом	10	18
8	и не	12	16
9	было бы	6	15
10	может быть	5	15
11	ни к	1	15
12	т д	1	14
13	точки зрения	3	14
14	если бы	4	12
15	в самом	1	12
16	но в	9	11
17	том что	4	11
18	того чтобы	1	11
19	в области	11	11
20	по себе	4	10
21	в русском	2	10
22	а не	2	10
23	что в	4	10
24	вопрос о	1	9
25	хотя бы	8	9
26	то что	4	9
27	для того	3	9
28	не может	4	9
29	с точки	3	8
30	не в	5	8
31	иными словами	1	8
32	и что	1	8
33	в качестве	9	8
34	прежде всего	3	8
35	с другой	5	8
36	и пр	5	8
37	что это	1	7
38	все же	1	7
39	в силу	2	7
40	и с	2	7
41	не менее	2	7
42	но и	6	7
43	другой стороны	1	7
44	то же	9	6
45	и на	1	6
46	но не	3	6
47	в этой	1	6
48	да и	2	6
49	это не	3	6
50	между тем	3	6
51	что не	1	6
52	что мы	3	6
53	и то	1	5
54	также и	1	5
55	еще не	1	5
56	должна быть	1	5
57	и вот	2	5
58	что все	1	5
59	и тем	2	5
60	и здесь	1	5
61	ясно что	1	5
62	в его	2	5
63	тот же	3	5
64	только в	7	5
65	должен быть	1	5
66	всяком случае	1	5
67	само по	1	5
68	там где	1	5
69	вместе с	1	5
70	все это	2	5
71	этом смысле	1	5
72	во всяком	1	5
73	говорить о	2	4
74	в данном	1	4
75	со стороны	2	4
76	отнюдь не	2	4
77	хотя и	3	4
78	бы и	1	4
79	если мы	1	4
80	на то	1	4
81	в нем	3	4
82	на этой	1	4
83	должно быть	2	4
84	эта не	1	4
85	в то	7	4
86	не имеет	1	4
87	но также	4	4
88	и о	5	4
89	в пределах	8	4
90	могут быть	3	4
91	для нас	2	4
92	мы знаем	1	4
93	в них	2	4
94	в каком	1	4
95	не было	2	4
96	как бы	4	4
97	в результате	1	4
98	этой области	1	4
99	так же	1	4
100	в сфере	2	3
101	не все	1	3
102	с этим	2	3
103	главным образом	2	3
104	в статье	2	3
105	ни были	1	3
106	и по	1	3
107	нисколько не	1	3
108	в которые	1	3
109	знаем что	1	3
110	казалось бы	1	3
111	же время	7	3
112	что оно	1	3
113	в ней	6	3
114	а в	4	3
115	те же	1	3
116	для этого	1	3
117	сводится к	3	3
118	никак не	2	3
119	а также	4	3
120	вопросу о	1	3
121	что и	1	3
122	того что	2	3
123	есть в	2	3
124	уже в	1	3
125	же в	4	3
126	как раз	2	3
127	именно в	2	3
128	на фоне	1	3
129	но для	1	3
130	к этой	1	3
131	и это	2	3
132	гораздо более	1	3
133	также что	1	2
134	отношения к	2	2
135	же как	1	2
136	и потому	4	2
137	и есть	2	2
138	тем же	1	2
139	можно говорить	1	2
140	по преимуществу	1	2
141	что если	1	2
142	конечно и	1	2
143	так называемые	2	2
144	отличие от	1	2
145	не просто	1	2
146	в своем	4	2
147	и где	1	2
148	могли бы	1	2
149	и если	4	2
150	рабочих и	1	2
151	не как	1	2
152	связанные с	1	2
153	заключается в	3	2
