N	2gram	Propp_Isto_2	slovoVRo
1	и в	15	39
2	может быть	17	37
3	и т	19	35
4	и его	3	33
5	не только	18	24
6	и не	11	22
7	но и	14	21
8	не может	5	20
9	в нем	7	19
10	до конца	1	17
11	в этом	11	16
12	все это	3	16
13	так и	5	15
14	а не	5	14
15	отличие от	1	13
16	как в	5	13
17	в процессе	1	13
18	в пределах	1	13
19	слова в	2	13
20	во всех	2	12
21	в отличие	1	12
22	в истории	1	11
23	вовсе не	1	10
24	к своему	1	9
25	и с	4	9
26	не в	7	9
27	таким образом	7	8
28	прежде всего	5	8
29	еще не	9	7
30	с его	1	7
31	в него	2	7
32	при этом	4	7
33	в этих	11	7
34	с ним	1	7
35	никогда не	15	7
36	могут быть	2	7
37	как мы	1	7
38	в его	6	7
39	и потому	1	7
40	как бы	6	7
41	в сущности	2	6
42	но не	2	6
43	все же	9	6
44	и к	1	6
45	но в	6	6
46	все эти	4	6
47	так сказать	2	6
48	в них	1	6
49	как и	2	6
50	она не	5	6
51	там где	1	6
52	этом случае	5	6
53	например в	2	5
54	человека в	2	5
55	это не	2	5
56	том что	7	5
57	по себе	1	5
58	слово и	1	5
59	не могут	1	5
60	но все	5	5
61	мира и	1	5
62	с другой	2	5
63	один из	8	5
64	в том	6	5
65	с ними	2	5
66	с одной	4	5
67	уже не	1	5
68	и их	2	5
69	одной стороны	3	5
70	остается в	1	5
71	и для	2	5
72	только в	6	5
73	для нас	4	5
74	от него	1	5
75	и наконец	5	5
76	в зависимости	1	4
77	его не	2	4
78	и на	4	4
79	по отношению	3	4
80	связанные с	1	4
81	всех этих	3	4
82	то же	10	4
83	его в	10	4
84	входит в	1	4
85	с другими	2	4
86	и иных	1	4
87	ни в	2	4
88	слова могут	1	4
89	не менее	1	4
90	в то	1	4
91	одна из	2	4
92	эти формы	1	4
93	во всем	1	4
94	зависимости от	1	4
95	здесь не	2	4
96	на образ	2	4
97	для всех	1	4
98	и других	1	4
99	так как	14	4
100	и др	4	4
101	себя и	2	4
102	xix века	1	4
103	в той	1	4
104	в основном	2	4
105	в чужом	1	4
106	а в	12	4
107	отношению к	3	4
108	в таком	1	4
109	как это	3	3
110	той же	2	3
111	говорить о	1	3
112	перед нами	2	3
113	и как	1	3
114	и социальной	2	3
115	не столько	2	3
116	связи с	8	3
117	в ней	4	3
118	а также	2	3
119	к нему	5	3
120	что и	6	3
121	в свете	2	3
122	быть и	1	3
123	у него	4	3
124	отметить что	1	3
125	в особенности	2	3
126	связан с	5	3
127	здесь в	2	3
128	в свою	1	3
129	может иметь	1	3
130	в некоторых	2	3
131	материал в	2	3
132	материал и	1	3
133	как к	1	3
134	но это	4	3
135	и часто	2	3
136	что в	12	3
137	хотя бы	2	3
138	сказать что	2	3
139	героя в	1	3
140	можно говорить	1	2
141	это и	1	2
142	к материалу	2	2
143	оно было	1	2
144	мы уже	6	2
145	мы не	3	2
146	при его	1	2
147	но она	1	2
148	с ее	2	2
149	всех сторон	4	2
150	но как	1	2
151	не все	2	2
152	из важнейших	1	2
153	связи и	1	2
154	с этим	5	2
155	кроме того	2	2
156	лежит на	1	2
157	в себе	4	2
158	роль в	3	2
159	как он	3	2
160	на его	2	2
161	т д	18	2
162	он не	8	2
163	и более	2	2
164	и связанные	1	2
165	из него	2	2
166	в нее	2	2
167	формах в	1	2
168	далеко не	1	2
169	и вне	1	2
170	мы видели	2	2
171	чем в	1	2
172	и другие	4	2
173	в их	3	2
174	слова при	1	2
175	но эта	1	2
176	которые в	1	2
177	но он	4	2
178	даже в	1	2
179	на котором	2	2
180	того как	4	2
181	которого он	1	2
182	того чтобы	2	2
183	в одном	5	2
184	с одним	3	2
185	к ней	2	2
186	входят в	1	2
187	и оно	1	2
188	значение как	1	2
189	должен быть	1	2
190	без всякого	1	2
191	необходимо еще	1	2
192	в себя	3	2
193	так в	3	2
194	в дальнейшем	1	2
195	в другом	9	2
196	особенно в	1	2
197	и магическое	1	2
198	о нем	4	2
199	и здесь	9	2
200	на него	5	2
201	о том	3	2
202	или на	4	2
203	нуждается в	1	2
204	еще более	1	2
205	ни к	1	2
206	что он	24	2
207	мы увидим	8	2
208	это очень	1	2
209	на мир	1	2
210	именно на	1	2
211	же и	3	2
212	уже в	2	2
213	его и	4	2
214	в прошлом	1	2
215	параллельно с	1	2
216	то что	12	2
217	не было	2	2
218	именно как	1	2
219	до сих	6	2
220	именно в	2	2
221	а именно	3	2
222	и между	1	2
223	них и	1	2
224	и материала	1	2
225	как о	1	2
226	и непосредственно	1	2
227	не всегда	1	2
228	в одно	1	2
229	в связи	5	2
230	входить в	1	2
231	эти слова	3	2
232	вместе с	7	2
233	требует от	1	2
234	есть на	2	2
235	материал для	1	2
236	сих пор	7	2
237	вокруг него	1	2
238	от нас	1	2
239	например у	1	2
240	в более	1	2
241	этих случаях	10	2
242	не знаем	1	2
243	в точном	1	2
244	или в	2	2
245	в результате	1	2
246	все они	1	2
247	только с	2	2
248	не знает	2	2
249	только о	1	2
250	они не	4	2
251	и наиболее	1	1
252	себя как	1	1
253	совсем как	1	1
254	но их	1	1
255	только самый	1	1
